   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_38.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0310678, 57.1495, 0, 0, 7.69087, 57.1495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0231758, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0152838, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00739174, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000500291, 0, 6.93134e-21, 0, 1.41421, -6.93134e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92094e-23, 0, 0, 1.02615e-25, 0, 0, 6.90203e-21, 0, 0, 0
0.00839233, 0, 1.57281e-20, 0, 1.41421, -1.57281e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62798e-23, 0, 0, 2.36918e-25, 0, 0, 1.56616e-20, 0, 0, 0
0.0162844, 0, 3.51645e-20, 0, 1.41421, -3.51645e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48187e-22, 0, 0, 5.38959e-25, 0, 0, 3.50158e-20, 0, 0, 0
0.0241764, 0, 7.75217e-20, 0, 1.41421, -7.75217e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26685e-22, 0, 0, 1.20895e-24, 0, 0, 7.71938e-20, 0, 0, 0
0.0320684, 0, 1.68619e-19, 0, 1.41421, -1.68619e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10579e-22, 0, 0, 2.6757e-24, 0, 0, 1.67906e-19, 0, 0, 0
0.0399605, 0, 3.6208e-19, 0, 1.41421, -3.6208e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52584e-21, 0, 0, 5.84659e-24, 0, 0, 3.60549e-19, 0, 0, 0
0.0478525, 0, 7.67954e-19, 0, 1.41421, -7.67954e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23624e-21, 0, 0, 1.26191e-23, 0, 0, 7.64705e-19, 0, 0, 0
0.0557445, 0, 1.60974e-18, 0, 1.41421, -1.60974e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78363e-21, 0, 0, 2.69256e-23, 0, 0, 1.60293e-18, 0, 0, 0
0.0636366, 0, 3.3356e-18, 0, 1.41421, -3.3356e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40566e-20, 0, 0, 5.67975e-23, 0, 0, 3.32149e-18, 0, 0, 0
0.0715286, 0, 6.99182e-18, 0, 1.41421, -6.99182e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94642e-20, 0, 0, 1.21918e-22, 0, 0, 6.96223e-18, 0, 0, 0
0.0794206, 0, 1.41391e-17, 0, 1.41421, -1.41391e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95833e-20, 0, 0, 2.50943e-22, 0, 0, 1.40792e-17, 0, 0, 0
0.0873127, 0, 2.83e-17, 0, 1.41421, -2.83e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19259e-19, 0, 0, 5.11303e-22, 0, 0, 2.81803e-17, 0, 0, 0
0.0952047, 0, 5.60786e-17, 0, 1.41421, -5.60786e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36321e-19, 0, 0, 1.03156e-21, 0, 0, 5.58413e-17, 0, 0, 0
0.103097, 0, 1.1004e-16, 0, 1.41421, -1.1004e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63719e-19, 0, 0, 2.06121e-21, 0, 0, 1.09574e-16, 0, 0, 0
0.110989, 0, 2.13863e-16, 0, 1.41421, -2.13863e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.01237e-19, 0, 0, 4.07999e-21, 0, 0, 2.12957e-16, 0, 0, 0
0.118881, 0, 4.1175e-16, 0, 1.41421, -4.1175e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73515e-18, 0, 0, 8.00188e-21, 0, 0, 4.10007e-16, 0, 0, 0
0.126773, 0, 7.85452e-16, 0, 1.41421, -7.85452e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30996e-18, 0, 0, 1.55524e-20, 0, 0, 7.82127e-16, 0, 0, 0
0.134665, 0, 1.48478e-15, 0, 1.41421, -1.48478e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.257e-18, 0, 0, 2.99607e-20, 0, 0, 1.4785e-15, 0, 0, 0
