   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_187.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0276764, 281.236, 0, 0, 16.8296, 281.236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0198078, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119391, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00407046, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0037982, 0, 6.55466e-23, 0, 1.41421, -6.55466e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45292e-25, 0, 0, 4.14701e-28, 0, 0, 6.53009e-23, 0, 0, 0
0.0116669, 0, 1.67944e-22, 0, 1.41421, -1.67944e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2849e-25, 0, 0, 1.07195e-27, 0, 0, 1.67314e-22, 0, 0, 0
0.0195355, 0, 4.21169e-22, 0, 1.41421, -4.21169e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57612e-24, 0, 0, 2.71271e-27, 0, 0, 4.1959e-22, 0, 0, 0
0.0274042, 0, 1.03541e-21, 0, 1.41421, -1.03541e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87479e-24, 0, 0, 6.73135e-27, 0, 0, 1.03153e-21, 0, 0, 0
0.0352728, 0, 2.4987e-21, 0, 1.41421, -2.4987e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35079e-24, 0, 0, 1.64002e-26, 0, 0, 2.48933e-21, 0, 0, 0
0.0431415, 0, 5.92584e-21, 0, 1.41421, -5.92584e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2176e-23, 0, 0, 3.92768e-26, 0, 0, 5.90363e-21, 0, 0, 0
0.0510102, 0, 1.38244e-20, 0, 1.41421, -1.38244e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17345e-23, 0, 0, 9.25531e-26, 0, 0, 1.37726e-20, 0, 0, 0
0.0588788, 0, 3.1752e-20, 0, 1.41421, -3.1752e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18824e-22, 0, 0, 2.14774e-25, 0, 0, 3.1633e-20, 0, 0, 0
0.0667475, 0, 7.18833e-20, 0, 1.41421, -7.18833e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69006e-22, 0, 0, 4.91515e-25, 0, 0, 7.16138e-20, 0, 0, 0
0.0746162, 0, 1.66367e-19, 0, 1.41421, -1.66367e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22587e-22, 0, 0, 1.15574e-24, 0, 0, 1.65743e-19, 0, 0, 0
0.0824848, 0, 3.64804e-19, 0, 1.41421, -3.64804e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36519e-21, 0, 0, 2.56248e-24, 0, 0, 3.63436e-19, 0, 0, 0
0.0903535, 0, 7.89825e-19, 0, 1.41421, -7.89825e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95573e-21, 0, 0, 5.61115e-24, 0, 0, 7.86863e-19, 0, 0, 0
0.0982221, 0, 1.68913e-18, 0, 1.41421, -1.68913e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32114e-21, 0, 0, 1.214e-23, 0, 0, 1.68279e-18, 0, 0, 0
0.106091, 0, 3.56958e-18, 0, 1.41421, -3.56958e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33583e-20, 0, 0, 2.59615e-23, 0, 0, 3.55619e-18, 0, 0, 0
0.113959, 0, 7.45653e-18, 0, 1.41421, -7.45653e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79042e-20, 0, 0, 5.48943e-23, 0, 0, 7.42857e-18, 0, 0, 0
0.121828, 0, 1.54012e-17, 0, 1.41421, -1.54012e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76353e-20, 0, 0, 1.14803e-22, 0, 0, 1.53435e-17, 0, 0, 0
0.129697, 0, 3.14623e-17, 0, 1.41421, -3.14623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1774e-19, 0, 0, 2.37533e-22, 0, 0, 3.13443e-17, 0, 0, 0
0.137565, 0, 6.35843e-17, 0, 1.41421, -6.35843e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37949e-19, 0, 0, 4.86357e-22, 0, 0, 6.33459e-17, 0, 0, 0
0.145434, 0, 1.27154e-16, 0, 1.41421, -1.27154e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75844e-19, 0, 0, 9.85712e-22, 0, 0, 1.26678e-16, 0, 0, 0
0.153303, 0, 2.51667e-16, 0, 1.41421, -2.51667e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41802e-19, 0, 0, 1.97789e-21, 0, 0, 2.50723e-16, 0, 0, 0
0.161171, 0, 4.93078e-16, 0, 1.41421, -4.93078e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84522e-18, 0, 0, 3.93009e-21, 0, 0, 4.91229e-16, 0, 0, 0
0.16904, 0, 9.56486e-16, 0, 1.41421, -9.56486e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57941e-18, 0, 0, 7.73449e-21, 0, 0, 9.52898e-16, 0, 0, 0
