   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.366771, 0, 2.15688e-09, 8.7568e-37, 1.41421, -2.15688e-09, 8.7568e-37, 0, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 8.7568e-37, 1.38521e-11, 8.7568e-37, 8.7568e-37, 3.00416e-14, 8.7568e-37, 8.10881e-14, 8.7568e-37, 2.14291e-09, 8.7568e-37, 8.7568e-37, 8.7568e-37
0.374638, 0, 3.32917e-09, 7.32221e-36, 1.41421, -3.32917e-09, 7.32221e-36, 0, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 7.32221e-36, 2.14009e-11, 7.32221e-36, 7.32221e-36, 4.92851e-14, 7.32221e-36, 1.33303e-13, 7.32221e-36, 3.30759e-09, 7.32221e-36, 7.32221e-36, 7.32221e-36
0.382506, 0, 5.09868e-09, 5.62684e-35, 1.41421, -5.09868e-09, 5.62684e-35, 0, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 5.62684e-35, 3.28129e-11, 5.62684e-35, 5.62684e-35, 8.07085e-14, 5.62684e-35, 2.18476e-13, 5.62684e-35, 5.06557e-09, 5.62684e-35, 5.62684e-35, 5.62684e-35
0.390373, 0, 7.74838e-09, 3.99147e-34, 1.41421, -7.74838e-09, 3.99147e-34, 0, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 3.99147e-34, 4.99335e-11, 3.99147e-34, 3.99147e-34, 1.31995e-13, 3.99147e-34, 3.57149e-13, 3.99147e-34, 7.69796e-09, 3.99147e-34, 3.99147e-34, 3.99147e-34
0.398241, 0, 1.16847e-08, 2.74767e-33, 1.41421, -1.16847e-08, 2.74767e-33, 0, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 2.74767e-33, 7.54247e-11, 2.74767e-33, 2.74767e-33, 2.15688e-13, 2.74767e-33, 5.82594e-13, 2.74767e-33, 1.16085e-08, 2.74767e-33, 2.74767e-33, 2.74767e-33
0.406108, 0, 1.74867e-08, 1.66749e-32, 1.41421, -1.74867e-08, 1.66749e-32, 0, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.66749e-32, 1.13097e-10, 1.66749e-32, 1.66749e-32, 3.52273e-13, 1.66749e-32, 9.48701e-13, 1.66749e-32, 1.73723e-08, 1.66749e-32, 1.66749e-32, 1.66749e-32
0.413976, 0, 2.59717e-08, 9.49269e-32, 1.41421, -2.59717e-08, 9.49269e-32, 0, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 9.49269e-32, 1.68367e-10, 9.49269e-32, 9.49269e-32, 5.75207e-13, 9.49269e-32, 1.54274e-12, 9.49269e-32, 2.58012e-08, 9.49269e-32, 9.49269e-32, 9.49269e-32
0.421843, 0, 3.82847e-08, 5.27103e-31, 1.41421, -3.82847e-08, 5.27103e-31, 0, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 5.27103e-31, 2.48872e-10, 5.27103e-31, 5.27103e-31, 9.39104e-13, 5.27103e-31, 2.50595e-12, 5.27103e-31, 3.80324e-08, 5.27103e-31, 5.27103e-31, 5.27103e-31
0.429711, 0, 5.60157e-08, 2.78309e-30, 1.41421, -5.60157e-08, 2.78309e-30, 0, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 2.78309e-30, 3.6531e-10, 2.78309e-30, 2.78309e-30, 1.53298e-12, 2.78309e-30, 4.06674e-12, 2.78309e-30, 5.56447e-08, 2.78309e-30, 2.78309e-30, 2.78309e-30
0.437578, 0, 8.13546e-08, 1.38652e-29, 1.41421, -8.13546e-08, 1.38652e-29, 0, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 1.38652e-29, 5.32562e-10, 1.38652e-29, 1.38652e-29, 2.50163e-12, 1.38652e-29, 6.59387e-12, 1.38652e-29, 8.08129e-08, 1.38652e-29, 1.38652e-29, 1.38652e-29
0.445446, 0, 1.17293e-07, 6.5461e-29, 1.41421, -1.17293e-07, 6.5461e-29, 0, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 6.5461e-29, 7.71189e-10, 6.5461e-29, 6.5461e-29, 4.07993e-12, 6.5461e-29, 1.06814e-11, 6.5461e-29, 1.16507e-07, 6.5461e-29, 6.5461e-29, 6.5461e-29
0.453313, 0, 1.67887e-07, 2.96263e-28, 1.41421, -1.67887e-07, 2.96263e-28, 0, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 2.96263e-28, 1.10941e-09, 2.96263e-28, 2.96263e-28, 6.64741e-12, 2.96263e-28, 1.72836e-11, 2.96263e-28, 1.66753e-07, 2.96263e-28, 2.96263e-28, 2.96263e-28
0.461181, 0, 2.38585e-07, 1.27892e-27, 1.41421, -2.38585e-07, 1.27892e-27, 0, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.27892e-27, 1.58573e-09, 1.27892e-27, 1.27892e-27, 1.08147e-11, 1.27892e-27, 2.79267e-11, 1.27892e-27, 2.36961e-07, 1.27892e-27, 1.27892e-27, 1.27892e-27
0.469049, 0, 3.36657e-07, 5.25928e-27, 1.41421, -3.36657e-07, 5.25928e-27, 0, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 5.25928e-27, 2.25234e-09, 5.25928e-27, 5.25928e-27, 1.75591e-11, 5.25928e-27, 4.50406e-11, 5.25928e-27, 3.34342e-07, 5.25928e-27, 5.25928e-27, 5.25928e-27
0.476916, 0, 4.71721e-07, 2.06393e-26, 1.41421, -4.71721e-07, 2.06393e-26, 0, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 2.06393e-26, 3.17957e-09, 2.06393e-26, 2.06393e-26, 2.84359e-11, 2.06393e-26, 7.24717e-11, 2.06393e-26, 4.6844e-07, 2.06393e-26, 2.06393e-26, 2.06393e-26
0.484784, 0, 6.56405e-07, 7.74218e-26, 1.41421, -6.56405e-07, 7.74218e-26, 0, 7.74218e-26, 7.74218e-26, 7.74218e-26, 7.74218e-26, 7.74218e-26, 7.74218e-26, 7.74218e-26, 1.1441e-12, 7.74218e-26, 7.74218e-26, 7.74218e-26, 4.46163e-09, 7.74218e-26, 7.74218e-26, 4.59039e-11, 7.74218e-26, 1.16268e-10, 7.74218e-26, 6.51781e-07, 7.74218e-26, 7.74218e-26, 7.74218e-26
0.492651, 0, 9.07162e-07, 2.7815e-25, 1.41421, -9.07162e-07, 2.7815e-25, 0, 2.7815e-25, 2.7815e-25, 2.7815e-25, 2.7815e-25, 2.7815e-25, 2.7815e-25, 2.7815e-25, 3.93218e-12, 2.7815e-25, 2.7815e-25, 2.7815e-25, 6.22399e-09, 2.7815e-25, 2.7815e-25, 7.38242e-11, 2.7815e-25, 1.85869e-10, 2.7815e-25, 9.00674e-07, 2.7815e-25, 2.7815e-25, 2.7815e-25
0.500519, 0, 1.24888e-06, 9.69225e-25, 1.41421, -1.24888e-06, 3.03633e-12, 0, 3.66598e-14, 4.80907e-14, 1.57891e-14, 4.99105e-10, 1.60199e-11, 1.26987e-11, 4.27942e-12, 6.29286e-11, 1.99625e-09, 2.8321e-12, 8.47168e-10, 8.63295e-09, 1.72797e-12, 3.75784e-12, 1.18215e-10, 1.74795e-13, 2.95886e-10, 4.9448e-15, 1.23637e-06, 9.69225e-25, 9.69225e-25, 1.59223e-11
0.508386, 0, 1.71096e-06, 5.97301e-10, 1.41421, -1.71096e-06, 6.07689e-10, 5.97301e-10, 5.97426e-10, 5.97465e-10, 5.97355e-10, 2.30493e-09, 6.52111e-10, 6.40748e-10, 6.11942e-10, 8.02246e-10, 7.42721e-09, 6.06991e-10, 3.49578e-09, 1.25045e-08, 6.03213e-10, 6.10158e-10, 7.85699e-10, 5.9949e-10, 1.06604e-09, 5.97318e-10, 1.68655e-06, 5.97301e-10, 5.97301e-10, 6.51777e-10
0.516254, 0, 2.33513e-06, 2.03801e-09, 1.41421, -2.33513e-06, 2.06567e-09, 2.03801e-09, 2.03835e-09, 2.03845e-09, 2.03816e-09, 6.58428e-09, 2.18393e-09, 2.15368e-09, 2.07699e-09, 2.57483e-09, 2.02215e-08, 2.06381e-09, 9.75473e-09, 1.83709e-08, 2.05375e-09, 2.07224e-09, 2.33668e-09, 2.04665e-09, 2.77652e-09, 2.03806e-09, 2.28622e-06, 2.03801e-09, 2.03801e-09, 2.18305e-09
0.524121, 0, 3.18142e-06, 5.41453e-09, 1.41421, -3.18142e-06, 5.48168e-09, 5.41453e-09, 5.41534e-09, 5.41559e-09, 5.41488e-09, 1.64516e-08, 5.76879e-09, 5.69535e-09, 5.50917e-09, 6.70664e-09, 4.9559e-08, 5.47716e-09, 2.41486e-08, 2.76971e-08, 5.45274e-09, 5.49763e-09, 5.8853e-09, 5.43938e-09, 6.57095e-09, 5.41464e-09, 3.08094e-06, 5.41453e-09, 5.41453e-09, 5.76663e-09
0.531989, 0, 4.33892e-06, 1.31205e-08, 1.41421, -4.33892e-06, 1.32757e-08, 1.31205e-08, 1.31224e-08, 1.3123e-08, 1.31213e-08, 3.86279e-08, 1.39392e-08, 1.37695e-08, 1.33392e-08, 1.6089e-08, 1.15141e-07, 1.32652e-08, 5.6416e-08, 4.33584e-08, 1.32088e-08, 1.33126e-08, 1.3858e-08, 1.31838e-08, 1.49194e-08, 1.31208e-08, 4.1292e-06, 1.31205e-08, 1.31205e-08, 1.39342e-08
0.539856, 0, 5.94754e-06, 3.02755e-08, 1.41421, -5.94754e-06, 3.06221e-08, 3.02755e-08, 3.02797e-08, 3.0281e-08, 3.02773e-08, 8.72546e-08, 3.21044e-08, 3.17252e-08, 3.07641e-08, 3.68731e-08, 2.58172e-07, 3.05988e-08, 1.2699e-07, 7.10931e-08, 3.04728e-08, 3.07045e-08, 3.14235e-08, 3.04264e-08, 3.3054e-08, 3.02761e-08, 5.50757e-06, 3.02755e-08, 3.02755e-08, 3.20932e-08
0.547724, 0, 8.23845e-06, 6.75377e-08, 1.41421, -8.23845e-06, 6.82908e-08, 6.75377e-08, 6.75468e-08, 6.75497e-08, 6.75417e-08, 1.9132e-07, 7.15108e-08, 7.06871e-08, 6.85991e-08, 8.2802e-08, 5.62624e-07, 6.82401e-08, 2.77642e-07, 1.22351e-07, 6.79663e-08, 6.84697e-08, 6.93128e-08, 6.78822e-08, 7.18015e-08, 6.7539e-08, 7.31804e-06, 6.75377e-08, 6.75377e-08, 7.14866e-08
