   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_274.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0285169, 412.078, 0, 0, 20.3489, 412.078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0206512, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00491963, 0.486423, 0, 0, 1.57684, 0.486423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00294615, 0.513577, 1.66523e-23, 0, 1.58543, 0.513577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24134e-25, 0, 5.35544e-28, 0, 8.48213e-27, 0, 1.59192e-23, 0, 0, 0
0.0108119, 0, 4.37058e-23, 0, 1.41421, -4.37058e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90054e-24, 0, 1.42736e-27, 0, 2.28418e-26, 0, 4.1781e-23, 0, 0, 0
0.0186777, 0.479191, 1.12063e-22, 0, 1.57454, 0.479191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87297e-24, 0, 3.71651e-27, 0, 5.99721e-26, 0, 1.07126e-22, 0, 0, 0
0.0265435, 0.520809, 2.81235e-22, 0, 1.58771, 0.520809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22291e-23, 0, 9.47175e-27, 0, 1.53872e-25, 0, 2.68842e-22, 0, 0, 0
0.0344092, 0, 6.91907e-22, 0, 1.41421, -6.91907e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00863e-23, 0, 2.36653e-26, 0, 3.86524e-25, 0, 6.6141e-22, 0, 0, 0
0.042275, 0, 1.67099e-21, 0, 1.41421, -1.67099e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26591e-23, 0, 5.80448e-26, 0, 9.52134e-25, 0, 1.59732e-21, 0, 0, 0
0.0501408, 0, 3.96591e-21, 0, 1.41421, -3.96591e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72446e-22, 0, 1.39922e-25, 0, 2.30304e-24, 0, 3.79102e-21, 0, 0, 0
0.0580066, 0, 9.25921e-21, 0, 1.41421, -9.25921e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02606e-22, 0, 3.31825e-25, 0, 5.47614e-24, 0, 8.8508e-21, 0, 0, 0
0.0658723, 0, 2.12833e-20, 0, 1.41421, -2.12833e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25423e-22, 0, 7.74827e-25, 0, 1.28128e-23, 0, 2.03443e-20, 0, 0, 0
0.0737381, 0, 4.82014e-20, 0, 1.41421, -4.82014e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09583e-21, 0, 1.78281e-24, 0, 2.95246e-23, 0, 4.60743e-20, 0, 0, 0
0.0816039, 0, 1.07626e-19, 0, 1.41421, -1.07626e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67961e-21, 0, 4.04478e-24, 0, 6.70526e-23, 0, 1.02875e-19, 0, 0, 0
0.0894696, 0, 2.44934e-19, 0, 1.41421, -2.44934e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06496e-20, 0, 9.41717e-24, 0, 1.56182e-22, 0, 2.34119e-19, 0, 0, 0
0.0973354, 0, 5.30691e-19, 0, 1.41421, -5.30691e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3074e-20, 0, 2.07346e-23, 0, 3.43973e-22, 0, 5.07253e-19, 0, 0, 0
0.105201, 0, 1.1358e-18, 0, 1.41421, -1.1358e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93829e-20, 0, 4.51034e-23, 0, 7.48266e-22, 0, 1.08562e-18, 0, 0, 0
0.113067, 0, 2.4021e-18, 0, 1.41421, -2.4021e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04439e-19, 0, 9.69683e-23, 0, 1.60847e-21, 0, 2.29595e-18, 0, 0, 0
0.120933, 0, 5.02176e-18, 0, 1.41421, -5.02176e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18334e-19, 0, 2.06115e-22, 0, 3.41798e-21, 0, 4.7998e-18, 0, 0, 0
0.128799, 0, 1.03808e-17, 0, 1.41421, -1.03808e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51325e-19, 0, 4.33297e-22, 0, 7.18253e-21, 0, 9.92182e-18, 0, 0, 0
0.136664, 0, 2.12241e-17, 0, 1.41421, -2.12241e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22751e-19, 0, 9.0112e-22, 0, 1.49306e-20, 0, 2.02856e-17, 0, 0, 0
0.14453, 0, 4.29304e-17, 0, 1.41421, -4.29304e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86644e-18, 0, 1.85444e-21, 0, 3.07112e-20, 0, 4.10314e-17, 0, 0, 0
0.152396, 0, 8.59279e-17, 0, 1.41421, -8.59279e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73575e-18, 0, 3.77729e-21, 0, 6.25255e-20, 0, 8.21258e-17, 0, 0, 0
0.160262, 0, 1.70226e-16, 0, 1.41421, -1.70226e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40053e-18, 0, 7.6169e-21, 0, 1.26027e-19, 0, 1.62692e-16, 0, 0, 0
0.168127, 0, 3.33828e-16, 0, 1.41421, -3.33828e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45129e-17, 0, 1.52088e-20, 0, 2.51549e-19, 0, 3.19048e-16, 0, 0, 0
0.175993, 0, 6.48187e-16, 0, 1.41421, -6.48187e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81789e-17, 0, 3.00755e-20, 0, 4.9731e-19, 0, 6.1948e-16, 0, 0, 0
0.183859, 0, 1.24631e-15, 0, 1.41421, -1.24631e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41806e-17, 0, 5.89119e-20, 0, 9.7402e-19, 0, 1.1911e-15, 0, 0, 0
