   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_156.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.025226, 234.614, 0, 0, 15.3823, 234.614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0173596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00949319, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00162677, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00623964, 0, 4.99629e-21, 0, 1.41421, -4.99629e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91613e-23, 0, 0, 1.13559e-25, 0, 3.28573e-25, 0, 4.96669e-21, 0, 0, 0
0.0141061, 0, 1.13822e-20, 0, 1.41421, -1.13822e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64329e-23, 0, 0, 2.61758e-25, 0, 7.63455e-25, 0, 1.13147e-20, 0, 0, 0
0.0219725, 0, 2.55489e-20, 0, 1.41421, -2.55489e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49118e-22, 0, 0, 5.94594e-25, 0, 1.74679e-24, 0, 2.53975e-20, 0, 0, 0
0.0298389, 0, 5.65471e-20, 0, 1.41421, -5.65471e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30041e-22, 0, 0, 1.332e-24, 0, 3.93889e-24, 0, 5.62118e-20, 0, 0, 0
0.0377053, 0, 1.23485e-19, 0, 1.41421, -1.23485e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20726e-22, 0, 0, 2.94466e-24, 0, 8.75994e-24, 0, 1.22752e-19, 0, 0, 0
0.0455717, 0, 2.66213e-19, 0, 1.41421, -2.66213e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55376e-21, 0, 0, 6.42782e-24, 0, 1.92269e-23, 0, 2.64633e-19, 0, 0, 0
0.0534382, 0, 5.66859e-19, 0, 1.41421, -5.66859e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30849e-21, 0, 0, 1.38616e-23, 0, 4.16729e-23, 0, 5.63495e-19, 0, 0, 0
0.0613046, 0, 1.19274e-18, 0, 1.41421, -1.19274e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96148e-21, 0, 0, 2.95451e-23, 0, 8.92395e-23, 0, 1.18566e-18, 0, 0, 0
0.069171, 0, 2.48096e-18, 0, 1.41421, -2.48096e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44802e-20, 0, 0, 6.22672e-23, 0, 1.88897e-22, 0, 2.46623e-18, 0, 0, 0
0.0770374, 0, 5.10333e-18, 0, 1.41421, -5.10333e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97857e-20, 0, 0, 1.29807e-22, 0, 3.95407e-22, 0, 5.07302e-18, 0, 0, 0
0.0849038, 0, 1.03846e-17, 0, 1.41421, -1.03846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06097e-20, 0, 0, 2.67762e-22, 0, 8.18801e-22, 0, 1.03229e-17, 0, 0, 0
0.0927703, 0, 2.091e-17, 0, 1.41421, -2.091e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22041e-19, 0, 0, 5.46696e-22, 0, 1.67795e-21, 0, 2.07858e-17, 0, 0, 0
0.100637, 0, 4.16742e-17, 0, 1.41421, -4.16742e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4323e-19, 0, 0, 1.10512e-21, 0, 3.40398e-21, 0, 4.14264e-17, 0, 0, 0
0.108503, 0, 8.22307e-17, 0, 1.41421, -8.22307e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79937e-19, 0, 0, 2.21235e-21, 0, 6.83801e-21, 0, 8.17417e-17, 0, 0, 0
0.11637, 0, 1.60676e-16, 0, 1.41421, -1.60676e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37778e-19, 0, 0, 4.3871e-21, 0, 1.36058e-20, 0, 1.5972e-16, 0, 0, 0
