   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_217.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0280145, 326.354, 0, 0, 18.1205, 326.354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0201473, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.01228, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00441278, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00345446, 0, 1.80127e-23, 0, 1.41421, -1.80127e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53146e-25, 0, 0, 7.28689e-29, 2.91708e-28, 0, 1.78592e-23, 0, 0, 0
0.0113217, 0, 4.91128e-23, 0, 1.41421, -4.91128e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17562e-25, 0, 0, 2.01577e-28, 8.06758e-28, 0, 4.86943e-23, 0, 0, 0
0.0191889, 0, 1.30425e-22, 0, 1.41421, -1.30425e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10889e-24, 0, 0, 5.43094e-28, 2.17238e-27, 0, 1.29314e-22, 0, 0, 0
0.0270562, 0, 3.38197e-22, 0, 1.41421, -3.38197e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87538e-24, 0, 0, 1.42872e-27, 5.71015e-27, 0, 3.35314e-22, 0, 0, 0
0.0349234, 0, 8.58014e-22, 0, 1.41421, -8.58014e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29491e-24, 0, 0, 3.67749e-27, 1.46821e-26, 0, 8.50701e-22, 0, 0, 0
0.0427907, 0, 2.13335e-21, 0, 1.41421, -2.13335e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81379e-23, 0, 0, 9.27738e-27, 3.69928e-26, 0, 2.11517e-21, 0, 0, 0
0.0506579, 0, 5.20565e-21, 0, 1.41421, -5.20565e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42589e-23, 0, 0, 2.2971e-26, 9.1465e-26, 0, 5.16128e-21, 0, 0, 0
0.0585251, 0, 1.24808e-20, 0, 1.41421, -1.24808e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06113e-22, 0, 0, 5.58899e-26, 2.22192e-25, 0, 1.23744e-20, 0, 0, 0
0.0663924, 0, 2.94308e-20, 0, 1.41421, -2.94308e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50223e-22, 0, 0, 1.33762e-25, 5.30875e-25, 0, 2.918e-20, 0, 0, 0
0.0742596, 0, 6.83176e-20, 0, 1.41421, -6.83176e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80841e-22, 0, 0, 3.15181e-25, 1.24863e-24, 0, 6.77352e-20, 0, 0, 0
0.0821268, 0, 1.56229e-19, 0, 1.41421, -1.56229e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32827e-21, 0, 0, 7.31728e-25, 2.89333e-24, 0, 1.54897e-19, 0, 0, 0
0.0899941, 0, 3.52188e-19, 0, 1.41421, -3.52188e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99432e-21, 0, 0, 1.67493e-24, 6.60971e-24, 0, 3.49185e-19, 0, 0, 0
0.0978613, 0, 7.83117e-19, 0, 1.41421, -7.83117e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.65811e-21, 0, 0, 3.7823e-24, 1.48954e-23, 0, 7.7644e-19, 0, 0, 0
0.105729, 0, 1.71847e-18, 0, 1.41421, -1.71847e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46105e-20, 0, 0, 8.43065e-24, 3.31318e-23, 0, 1.70382e-18, 0, 0, 0
0.113596, 0, 3.72322e-18, 0, 1.41421, -3.72322e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1655e-20, 0, 0, 1.85573e-23, 7.27733e-23, 0, 3.69147e-18, 0, 0, 0
