   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_285.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.192033, 0, 2.75763e-14, 0, 1.41421, -2.75763e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03819e-16, 0, 0, 3.22017e-19, 0, 0, 2.74722e-14, 0, 0, 0
0.199897, 0, 5.07075e-14, 0, 1.41421, -5.07075e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90902e-16, 0, 0, 6.03919e-19, 0, 0, 5.0516e-14, 0, 0, 0
0.207761, 0, 9.24276e-14, 0, 1.41421, -9.24276e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47968e-16, 0, 0, 1.12317e-18, 0, 0, 9.20785e-14, 0, 0, 0
0.215625, 0, 1.67018e-13, 0, 1.41421, -1.67018e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28784e-16, 0, 0, 2.07173e-18, 0, 0, 1.66387e-13, 0, 0, 0
0.223489, 0, 2.99223e-13, 0, 1.41421, -2.99223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12651e-15, 0, 0, 3.79049e-18, 0, 0, 2.98093e-13, 0, 0, 0
0.231352, 0, 5.31533e-13, 0, 1.41421, -5.31533e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0011e-15, 0, 0, 6.87992e-18, 0, 0, 5.29525e-13, 0, 0, 0
0.239216, 0, 9.36264e-13, 0, 1.41421, -9.36264e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52484e-15, 0, 0, 1.23895e-17, 0, 0, 9.32727e-13, 0, 0, 0
0.24708, 0, 1.63542e-12, 0, 1.41421, -1.63542e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15707e-15, 0, 0, 2.21394e-17, 0, 0, 1.62924e-12, 0, 0, 0
0.254944, 0, 2.83302e-12, 0, 1.41421, -2.83302e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0666e-14, 0, 0, 3.9263e-17, 0, 0, 2.82231e-12, 0, 0, 0
0.262808, 0, 4.86726e-12, 0, 1.41421, -4.86726e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8325e-14, 0, 0, 6.9115e-17, 0, 0, 4.84886e-12, 0, 0, 0
