SCLK_A,SCLK_B,PMC,real_time_A,real_time_B,live_time_A,live_time_B,yellow_piece_temp,XPERCHAN_A,XPERCHAN_B,OFFSET_A,OFFSET_B
688790088,688790088,70,40,40,36.999536317966474,36.864817508654205,-1.581,7.862,7.881,-18.5,-22.4
688790132,688790132,71,40,40,36.996661954458745,36.858444303397,-1.357,7.862,7.881,-18.5,-22.4
688790175,688790176,72,40,40,37.00316379041314,36.86566854329087,-1.517,7.862,7.881,-18.5,-22.4
688790219,688790220,73,40,40,37.00441710398822,36.86031251610636,-1.517,7.862,7.881,-18.5,-22.4
688790263,688790264,74,40,40,37.18204773123346,37.18262717119898,-1.774,7.862,7.881,-18.5,-22.4
688790307,688790308,75,40,40,37.16109612545736,37.178421017836236,-1.581,7.862,7.881,-18.5,-22.4
688790351,688790351,76,40,40,37.02669645997647,36.875319759194525,-1.709,7.862,7.881,-18.5,-22.4
688790395,688790395,77,40,40,37.00402032204331,36.84669665431865,-1.645,7.862,7.881,-18.5,-22.4
688790438,688790439,78,40,40,37.00919621227114,36.865180737512595,-1.517,7.862,7.881,-18.5,-22.4
688790482,688790483,79,40,40,37.02038311091916,36.86549487685507,-1.581,7.862,7.881,-18.5,-22.4
688790526,688790527,80,40,40,37.0135046561065,36.885598857735545,-1.517,7.862,7.881,-18.5,-22.4
688790570,688790571,81,40,40,37.01708147505611,36.857596403891094,-1.549,7.862,7.881,-18.5,-22.4
688790760,688790761,82,40,40,37.002402316706245,36.855579516112606,-1.613,7.862,7.881,-18.5,-22.4
688790804,688790805,83,40,40,37.00292697089472,36.843061543430814,-1.581,7.862,7.881,-18.5,-22.4
688790848,688790849,84,40,40,37.152683931465,37.12893477346509,-1.549,7.862,7.881,-18.5,-22.4
688790892,688790892,85,40,40,37.118188389131646,37.11764253642129,-1.421,7.862,7.881,-18.5,-22.4
688790935,688790936,86,40,40,37.00307344923145,36.88451775579645,-1.549,7.862,7.881,-18.5,-22.4
688790979,688790980,87,40,40,37.01867811696411,36.87129475694751,-1.453,7.862,7.881,-18.5,-22.4
688791023,688791024,88,40,40,36.99494584025158,36.88114788905589,-1.421,7.862,7.881,-18.5,-22.4
688791067,688791068,89,40,40,36.994966547568005,36.87437466419871,-1.485,7.862,7.881,-18.5,-22.4
688791111,688791111,90,40,40,37.000578548113516,36.85668793097091,-1.549,7.862,7.881,-18.5,-22.4
