   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00265703, 0, 9.13148e-18, 0, 1.41421, -9.13148e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83851e-19, 0, 0, 7.99104e-22, 0, 2.05368e-20, 0, 8.72629e-18, 0, 0, 0
0.0105083, 0, 1.66382e-17, 0, 1.41421, -1.66382e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99372e-19, 0, 0, 1.4807e-21, 0, 3.81333e-20, 0, 1.58992e-17, 0, 0, 0
0.0183595, 0, 3.0095e-17, 0, 1.41421, -3.0095e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26496e-18, 0, 0, 2.72394e-21, 0, 7.03125e-20, 0, 2.8757e-17, 0, 0, 0
0.0262108, 0, 5.4047e-17, 0, 1.41421, -5.4047e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2716e-18, 0, 0, 4.9758e-21, 0, 1.28764e-19, 0, 5.16416e-17, 0, 0, 0
0.034062, 0, 9.63815e-17, 0, 1.41421, -9.63815e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05073e-18, 0, 0, 9.02664e-21, 0, 2.34241e-19, 0, 9.20875e-17, 0, 0, 0
0.0419132, 0, 1.70694e-16, 0, 1.41421, -1.70694e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17356e-18, 0, 0, 1.62647e-20, 0, 4.23354e-19, 0, 1.6308e-16, 0, 0, 0
0.0497645, 0, 3.00257e-16, 0, 1.41421, -3.00257e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26179e-17, 0, 0, 2.91124e-20, 0, 7.6029e-19, 0, 2.86849e-16, 0, 0, 0
0.0576157, 0, 5.24643e-16, 0, 1.41421, -5.24643e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20462e-17, 0, 0, 5.1769e-20, 0, 1.3569e-18, 0, 5.01188e-16, 0, 0, 0
0.065467, 0, 9.10699e-16, 0, 1.41421, -9.10699e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82665e-17, 0, 0, 9.14682e-20, 0, 2.40691e-18, 0, 8.69934e-16, 0, 0, 0
0.0733182, 0, 1.5706e-15, 0, 1.41421, -1.5706e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59906e-17, 0, 0, 1.60592e-19, 0, 4.24397e-18, 0, 1.5002e-15, 0, 0, 0
0.0811695, 0, 2.69135e-15, 0, 1.41421, -2.69135e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13073e-16, 0, 0, 2.802e-19, 0, 7.43924e-18, 0, 2.57056e-15, 0, 0, 0
0.0890207, 0, 4.58274e-15, 0, 1.41421, -4.58274e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92524e-16, 0, 0, 4.85895e-19, 0, 1.29651e-17, 0, 4.37676e-15, 0, 0, 0
0.0968719, 0, 7.75461e-15, 0, 1.41421, -7.75461e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25753e-16, 0, 0, 8.37495e-19, 0, 2.24674e-17, 0, 7.40555e-15, 0, 0, 0
0.104723, 0, 1.30407e-14, 0, 1.41421, -1.30407e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4777e-16, 0, 0, 1.43489e-18, 0, 3.87168e-17, 0, 1.24528e-14, 0, 0, 0
0.112574, 0, 2.17962e-14, 0, 1.41421, -2.17962e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15468e-16, 0, 0, 2.44401e-18, 0, 6.63522e-17, 0, 2.08119e-14, 0, 0, 0
0.120426, 0, 3.6209e-14, 0, 1.41421, -3.6209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5207e-15, 0, 0, 4.13867e-18, 0, 1.13098e-16, 0, 3.45711e-14, 0, 0, 0
0.128277, 0, 5.97909e-14, 0, 1.41421, -5.97909e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51089e-15, 0, 0, 6.96833e-18, 0, 1.91747e-16, 0, 5.70813e-14, 0, 0, 0
0.136128, 0, 9.81427e-14, 0, 1.41421, -9.81427e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1211e-15, 0, 0, 1.16665e-17, 0, 3.23378e-16, 0, 9.36866e-14, 0, 0, 0
