   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0894276, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0811666, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0729055, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0646444, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0563834, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0481223, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0398612, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0316002, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233391, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015078, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00681696, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00144411, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00970518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0179662, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0262273, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0344884, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0427494, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0510105, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0592716, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0675326, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0757937, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0840548, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0923158, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.100577, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.108838, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.117099, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.12536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.133621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.141882, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.150143, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.158404, 0, 1.6218e-28, 0, 1.41421, -1.6218e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89477e-31, 0, 8.81372e-34, 7.53587e-34, 1.61589e-28, 0, 0
0.166665, 0, 2.01698e-27, 0, 1.41421, -2.01698e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33065e-30, 0, 1.09606e-32, 1.49343e-31, 2.00949e-27, 0, 0
0.174926, 0, 1.57566e-26, 0, 1.41421, -1.57566e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72643e-29, 0, 8.56203e-32, 1.8082e-30, 1.56974e-26, 0, 0
0.183188, 0, 9.82664e-26, 0, 1.41421, -9.82664e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57121e-28, 0, 5.34357e-31, 1.3991e-29, 9.78947e-26, 0, 0
0.191449, 0, 5.32513e-25, 0, 1.41421, -5.32513e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93522e-27, 0, 2.90111e-30, 8.681e-29, 5.30488e-25, 0, 0
0.19971, 0, 2.61144e-24, 0, 1.41421, -2.61144e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49018e-27, 0, 1.42655e-29, 4.68847e-28, 2.60147e-24, 0, 0
0.207971, 0, 1.18574e-23, 0, 1.41421, -1.18574e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.309e-26, 0, 6.4985e-29, 2.29345e-27, 1.18119e-23, 0, 0
0.216232, 0, 5.05665e-23, 0, 1.41421, -5.05665e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83758e-25, 0, 2.78149e-28, 1.03931e-26, 5.03721e-23, 0, 0
0.224493, 0, 2.045e-22, 0, 1.41421, -2.045e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43142e-25, 0, 1.12938e-27, 4.42513e-26, 2.03712e-22, 0, 0
0.232754, 0, 7.89731e-22, 0, 1.41421, -7.89731e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86981e-24, 0, 4.38011e-27, 1.78726e-25, 7.86679e-22, 0, 0
0.241015, 0, 2.92722e-21, 0, 1.41421, -2.92722e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06371e-23, 0, 1.63096e-26, 6.89442e-25, 2.91588e-21, 0, 0
0.249276, 0, 1.04836e-20, 0, 1.41421, -1.04836e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80959e-23, 0, 5.87211e-26, 2.56409e-24, 1.04429e-20, 0, 0
0.257537, 0, 3.62689e-20, 0, 1.41421, -3.62689e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31794e-22, 0, 2.04269e-25, 9.17891e-24, 3.61277e-20, 0, 0
0.265798, 0, 1.21548e-19, 0, 1.41421, -1.21548e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41678e-22, 0, 6.88504e-25, 3.17421e-23, 1.21074e-19, 0, 0
0.274059, 0, 3.95486e-19, 0, 1.41421, -3.95486e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4371e-21, 0, 2.25369e-24, 1.06338e-22, 3.9394e-19, 0, 0
0.28232, 0, 1.25163e-18, 0, 1.41421, -1.25163e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54808e-21, 0, 7.17731e-24, 3.45874e-22, 1.24673e-18, 0, 0
0.290581, 0, 3.85868e-18, 0, 1.41421, -3.85868e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40213e-20, 0, 2.22728e-23, 1.09426e-21, 3.84354e-18, 0, 0
0.298842, 0, 1.16029e-17, 0, 1.41421, -1.16029e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21611e-20, 0, 6.7436e-23, 3.37254e-21, 1.15573e-17, 0, 0
0.307104, 0, 3.40663e-17, 0, 1.41421, -3.40663e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23785e-19, 0, 1.99428e-22, 1.01386e-20, 3.39322e-17, 0, 0
0.315365, 0, 9.77509e-17, 0, 1.41421, -9.77509e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55188e-19, 0, 5.76603e-22, 2.97627e-20, 9.73654e-17, 0, 0
0.323626, 0, 2.7435e-16, 0, 1.41421, -2.7435e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96865e-19, 0, 1.63128e-21, 8.53992e-20, 2.73266e-16, 0, 0
