   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_60.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0012989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00657005, 0, 1.73011e-22, 0, 1.41421, -1.73011e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0982e-24, 0, 0, 3.0129e-27, 1.92576e-26, 0, 1.71891e-22, 0, 0, 0
0.014439, 0, 4.07758e-22, 0, 1.41421, -4.07758e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58828e-24, 0, 0, 7.17696e-27, 4.63885e-26, 0, 4.05117e-22, 0, 0, 0
0.0223079, 0, 9.45652e-22, 0, 1.41421, -9.45652e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00258e-24, 0, 0, 1.68252e-26, 1.09839e-25, 0, 9.39522e-22, 0, 0, 0
0.0301769, 0, 2.16008e-21, 0, 1.41421, -2.16008e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37112e-23, 0, 0, 3.88558e-26, 2.55937e-25, 0, 2.14607e-21, 0, 0, 0
0.0380458, 0, 4.86377e-21, 0, 1.41421, -4.86377e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08729e-23, 0, 0, 8.84683e-26, 5.87425e-25, 0, 4.83222e-21, 0, 0, 0
0.0459148, 0, 1.08032e-20, 0, 1.41421, -1.08032e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85734e-23, 0, 0, 1.98732e-25, 1.32917e-24, 0, 1.07331e-20, 0, 0, 0
0.0537837, 0, 2.36855e-20, 0, 1.41421, -2.36855e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50343e-22, 0, 0, 4.40733e-25, 2.96713e-24, 0, 2.35317e-20, 0, 0, 0
0.0616527, 0, 5.12861e-20, 0, 1.41421, -5.12861e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25537e-22, 0, 0, 9.65498e-25, 6.5388e-24, 0, 5.0953e-20, 0, 0, 0
0.0695216, 0, 1.09729e-19, 0, 1.41421, -1.09729e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96502e-22, 0, 0, 2.09033e-24, 1.42337e-23, 0, 1.09016e-19, 0, 0, 0
0.0773906, 0, 2.3208e-19, 0, 1.41421, -2.3208e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47312e-21, 0, 0, 4.47467e-24, 3.06207e-23, 0, 2.30572e-19, 0, 0, 0
0.0852595, 0, 4.85423e-19, 0, 1.41421, -4.85423e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08119e-21, 0, 0, 9.47464e-24, 6.51312e-23, 0, 4.82267e-19, 0, 0, 0
0.0931285, 0, 1.00443e-18, 0, 1.41421, -1.00443e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37553e-21, 0, 0, 1.98508e-23, 1.37031e-22, 0, 9.97897e-19, 0, 0, 0
0.100997, 0, 2.05671e-18, 0, 1.41421, -2.05671e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30548e-20, 0, 0, 4.11669e-23, 2.85278e-22, 0, 2.04333e-18, 0, 0, 0
0.108866, 0, 4.16875e-18, 0, 1.41421, -4.16875e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64607e-20, 0, 0, 8.45281e-23, 5.87867e-22, 0, 4.14162e-18, 0, 0, 0
0.116735, 0, 8.36624e-18, 0, 1.41421, -8.36624e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31036e-20, 0, 0, 1.71892e-22, 1.19947e-21, 0, 8.31177e-18, 0, 0, 0
0.124604, 0, 1.66282e-17, 0, 1.41421, -1.66282e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05545e-19, 0, 0, 3.46271e-22, 2.4239e-21, 0, 1.65199e-17, 0, 0, 0
0.132473, 0, 3.27376e-17, 0, 1.41421, -3.27376e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07797e-19, 0, 0, 6.91164e-22, 4.8526e-21, 0, 3.25243e-17, 0, 0, 0
0.140342, 0, 6.38579e-17, 0, 1.41421, -6.38579e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05326e-19, 0, 0, 1.36722e-21, 9.62643e-21, 0, 6.34415e-17, 0, 0, 0
0.148211, 0, 1.23431e-16, 0, 1.41421, -1.23431e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83455e-19, 0, 0, 2.68083e-21, 1.89271e-20, 0, 1.22626e-16, 0, 0, 0
0.15608, 0, 2.36455e-16, 0, 1.41421, -2.36455e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50084e-18, 0, 0, 5.21132e-21, 3.68909e-20, 0, 2.34912e-16, 0, 0, 0
