   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_860.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00944324, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00147598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00649128, 0, 6.02596e-24, 0, 1.41421, -6.02596e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91445e-26, 0, 0, 9.53682e-27, 0, 1.39291e-28, 5.96714e-24, 0, 0
0.0144585, 0, 1.59996e-23, 0, 1.41421, -1.59996e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30482e-25, 0, 0, 2.56205e-26, 0, 3.8118e-28, 1.58431e-23, 0, 0
0.0224258, 0, 4.14379e-23, 0, 1.41421, -4.14379e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37933e-25, 0, 0, 6.71464e-26, 0, 1.01476e-27, 4.10319e-23, 0, 0
0.0303931, 0, 1.04929e-22, 0, 1.41421, -1.04929e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55691e-25, 0, 0, 1.72072e-25, 0, 2.63551e-27, 1.03898e-22, 0, 0
0.0383603, 0, 2.60262e-22, 0, 1.41421, -2.60262e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12239e-24, 0, 0, 4.31983e-25, 0, 6.69321e-27, 2.57701e-22, 0, 0
0.0463276, 0, 6.33325e-22, 0, 1.41421, -6.33325e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16455e-24, 0, 0, 1.06408e-24, 0, 1.66534e-26, 6.2708e-22, 0, 0
0.0542949, 0, 1.51393e-21, 0, 1.41421, -1.51393e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23453e-23, 0, 0, 2.57513e-24, 0, 4.06574e-26, 1.49897e-21, 0, 0
0.0622621, 0, 3.55907e-21, 0, 1.41421, -3.55907e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90217e-23, 0, 0, 6.12964e-24, 0, 9.75261e-26, 3.52382e-21, 0, 0
0.0702294, 0, 8.23625e-21, 0, 1.41421, -8.23625e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71593e-23, 0, 0, 1.43648e-23, 0, 2.30107e-25, 8.1545e-21, 0, 0
0.0781967, 0, 1.8778e-20, 0, 1.41421, -1.8778e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53114e-22, 0, 0, 3.3171e-23, 0, 5.34549e-25, 1.85912e-20, 0, 0
0.0861639, 0, 4.22092e-20, 0, 1.41421, -4.22092e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44163e-22, 0, 0, 7.55318e-23, 0, 1.22365e-24, 4.17883e-20, 0, 0
0.0941312, 0, 9.36016e-20, 0, 1.41421, -9.36016e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63184e-22, 0, 0, 1.69706e-22, 0, 2.76224e-24, 9.26659e-20, 0, 0
0.102098, 0, 2.04889e-19, 0, 1.41421, -2.04889e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67053e-21, 0, 0, 3.76449e-22, 0, 6.1529e-24, 2.02836e-19, 0, 0
0.110066, 0, 4.42926e-19, 0, 1.41421, -4.42926e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61123e-21, 0, 0, 8.24859e-22, 0, 1.3532e-23, 4.38476e-19, 0, 0
0.118033, 0, 9.46046e-19, 0, 1.41421, -9.46046e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71303e-21, 0, 0, 1.78613e-21, 0, 2.93991e-23, 9.36517e-19, 0, 0
0.126, 0, 1.99725e-18, 0, 1.41421, -1.99725e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6283e-20, 0, 0, 3.82373e-21, 0, 6.31235e-23, 1.97708e-18, 0, 0
0.133968, 0, 4.16916e-18, 0, 1.41421, -4.16916e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39889e-20, 0, 0, 8.09575e-21, 0, 1.34003e-22, 4.12694e-18, 0, 0
0.141935, 0, 8.60788e-18, 0, 1.41421, -8.60788e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01734e-20, 0, 0, 1.69578e-20, 0, 2.81364e-22, 8.52047e-18, 0, 0
0.149902, 0, 1.75832e-17, 0, 1.41421, -1.75832e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43338e-19, 0, 0, 3.51519e-20, 0, 5.84517e-22, 1.74041e-17, 0, 0
0.157869, 0, 3.55443e-17, 0, 1.41421, -3.55443e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89748e-19, 0, 0, 7.21307e-20, 0, 1.20181e-21, 3.51812e-17, 0, 0
0.165837, 0, 7.1123e-17, 0, 1.41421, -7.1123e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79757e-19, 0, 0, 1.4655e-19, 0, 2.44629e-21, 7.03943e-17, 0, 0
0.173804, 0, 1.40901e-16, 0, 1.41421, -1.40901e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14851e-18, 0, 0, 2.94881e-19, 0, 4.93089e-21, 1.39452e-16, 0, 0
0.181771, 0, 2.76413e-16, 0, 1.41421, -2.76413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25301e-18, 0, 0, 5.87747e-19, 0, 9.84443e-21, 2.73562e-16, 0, 0
0.189738, 0, 5.3706e-16, 0, 1.41421, -5.3706e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37736e-18, 0, 0, 1.16064e-18, 0, 1.94715e-20, 5.31503e-16, 0, 0
0.197706, 0, 1.03365e-15, 0, 1.41421, -1.03365e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42453e-18, 0, 0, 2.27114e-18, 0, 3.8163e-20, 1.02292e-15, 0, 0
0.205673, 0, 1.97094e-15, 0, 1.41421, -1.97094e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60631e-17, 0, 0, 4.4045e-18, 0, 7.41314e-20, 1.9504e-15, 0, 0
0.21364, 0, 3.72375e-15, 0, 1.41421, -3.72375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03469e-17, 0, 0, 8.46682e-18, 0, 1.42743e-19, 3.68479e-15, 0, 0
0.221607, 0, 6.97175e-15, 0, 1.41421, -6.97175e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68142e-17, 0, 0, 1.61352e-17, 0, 2.72506e-19, 6.89853e-15, 0, 0
