   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.19477, 0, 9.67202e-11, 0, 1.41421, -9.67202e-11, 0, 0, 0, 0, 0, 0, 0, 0, 4.17413e-13, 0, 0, 2.57496e-15, 5.39869e-14, 9.62462e-11, 0, 0
0.202797, 0, 1.52594e-10, 0, 1.41421, -1.52594e-10, 0, 0, 0, 0, 0, 0, 0, 0, 6.58587e-13, 0, 0, 4.17595e-15, 8.87132e-14, 1.51843e-10, 0, 0
0.210825, 0, 2.39157e-10, 0, 1.41421, -2.39157e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.03227e-12, 0, 0, 6.73498e-15, 1.44995e-13, 2.37973e-10, 0, 0
0.218853, 0, 3.72368e-10, 0, 1.41421, -3.72368e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.60743e-12, 0, 0, 1.08045e-14, 2.35739e-13, 3.70514e-10, 0, 0
0.226881, 0, 5.76004e-10, 0, 1.41421, -5.76004e-10, 0, 0, 0, 0, 0, 0, 0, 0, 2.48685e-12, 0, 0, 1.72452e-14, 3.81307e-13, 5.73119e-10, 0, 0
0.234909, 0, 8.85239e-10, 0, 1.41421, -8.85239e-10, 0, 0, 0, 0, 0, 0, 0, 0, 3.82265e-12, 0, 0, 2.7393e-14, 6.13677e-13, 8.80775e-10, 0, 0
0.242936, 0, 1.35174e-09, 0, 1.41421, -1.35174e-09, 0, 0, 0, 0, 0, 0, 0, 0, 5.83848e-12, 0, 0, 4.33156e-14, 9.82846e-13, 1.34488e-09, 0, 0
0.250964, 0, 2.0509e-09, 0, 1.41421, -2.0509e-09, 0, 0, 0, 0, 0, 0, 0, 0, 8.86091e-12, 0, 0, 6.82066e-14, 1.56667e-12, 2.0404e-09, 0, 0
0.258992, 0, 3.09192e-09, 0, 1.41421, -3.09192e-09, 0, 0, 0, 0, 0, 0, 0, 0, 1.33636e-11, 0, 0, 1.06989e-13, 2.48591e-12, 3.07597e-09, 0, 0
0.26702, 0, 4.63198e-09, 3.60134e-43, 1.41421, -4.63198e-09, 3.60134e-43, 0, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 2.00288e-11, 3.60134e-43, 3.60134e-43, 1.67242e-13, 3.9272e-12, 4.60786e-09, 3.60134e-43, 3.60134e-43
