   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_438.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.147149, 0, 1.40217e-16, 0, 1.41421, -1.40217e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85699e-21, 2.7756e-17, 0, 1.12457e-16, 0, 0
0.155013, 0, 2.73952e-16, 0, 1.41421, -2.73952e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61891e-21, 5.50557e-17, 0, 2.18889e-16, 0, 0
0.162878, 0, 5.30104e-16, 0, 1.41421, -5.30104e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49093e-20, 1.08184e-16, 0, 4.21905e-16, 0, 0
0.170742, 0, 1.01609e-15, 0, 1.41421, -1.01609e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89079e-20, 2.10634e-16, 0, 8.05431e-16, 0, 0
0.178606, 0, 1.92959e-15, 0, 1.41421, -1.92959e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55446e-20, 4.06431e-16, 0, 1.52311e-15, 0, 0
0.18647, 0, 3.63099e-15, 0, 1.41421, -3.63099e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05779e-19, 7.77358e-16, 0, 2.85352e-15, 0, 0
0.194334, 0, 6.77132e-15, 0, 1.41421, -6.77132e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99685e-19, 1.47404e-15, 0, 5.29708e-15, 0, 0
0.202198, 0, 1.25161e-14, 0, 1.41421, -1.25161e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73718e-19, 2.77155e-15, 0, 9.74415e-15, 0, 0
0.210062, 0, 2.29333e-14, 0, 1.41421, -2.29333e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93517e-19, 5.16815e-15, 0, 1.77644e-14, 0, 0
0.217926, 0, 4.16601e-14, 0, 1.41421, -4.16601e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2763e-18, 9.55908e-15, 0, 3.20997e-14, 0, 0
0.22579, 0, 7.5038e-14, 0, 1.41421, -7.5038e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32959e-18, 1.754e-14, 0, 5.74956e-14, 0, 0
0.233654, 0, 1.34339e-13, 0, 1.41421, -1.34339e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23161e-18, 3.20529e-14, 0, 1.02282e-13, 0, 0
0.241518, 0, 2.379e-13, 0, 1.41421, -2.379e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59851e-18, 5.78862e-14, 0, 1.80007e-13, 0, 0
0.249383, 0, 4.17885e-13, 0, 1.41421, -4.17885e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35388e-17, 1.03763e-13, 0, 3.14108e-13, 0, 0
0.257247, 0, 7.28165e-13, 0, 1.41421, -7.28165e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39401e-17, 1.8464e-13, 0, 5.43502e-13, 0, 0
0.265111, 0, 1.2588e-12, 0, 1.41421, -1.2588e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2018e-17, 3.262e-13, 0, 9.32556e-13, 0, 0
0.272975, 0, 2.15915e-12, 0, 1.41421, -2.15915e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32125e-17, 5.72255e-13, 0, 1.58682e-12, 0, 0
0.280839, 0, 3.67502e-12, 0, 1.41421, -3.67502e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26668e-16, 9.97047e-13, 0, 2.67785e-12, 0, 0
0.288703, 0, 6.20776e-12, 0, 1.41421, -6.20776e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1766e-16, 1.7256e-12, 0, 4.48195e-12, 0, 0
0.296567, 0, 1.0408e-11, 0, 1.41421, -1.0408e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71559e-16, 2.96721e-12, 0, 7.44038e-12, 0, 0
0.304431, 0, 1.73224e-11, 0, 1.41421, -1.73224e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30287e-16, 5.0703e-12, 0, 1.22515e-11, 0, 0
0.312295, 0, 2.86242e-11, 3.50325e-44, 1.41421, -2.86242e-11, 3.50325e-44, 0, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 1.0628e-15, 8.61191e-12, 3.50325e-44, 2.00112e-11, 3.50325e-44, 3.50325e-44
0.320159, 0, 4.69686e-11, 6.75426e-43, 1.41421, -4.69686e-11, 6.75426e-43, 0, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 6.75426e-43, 1.78205e-15, 1.45432e-11, 6.75426e-43, 3.24237e-11, 6.75426e-43, 6.75426e-43
0.328023, 0, 7.65446e-11, 1.00992e-41, 1.41421, -7.65446e-11, 1.00992e-41, 0, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 1.00992e-41, 2.9725e-15, 2.4425e-11, 1.00992e-41, 5.21167e-11, 1.00992e-41, 1.00992e-41
0.335888, 0, 1.23922e-10, 1.37072e-40, 1.41421, -1.23922e-10, 1.37072e-40, 0, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 1.37072e-40, 4.93456e-15, 4.08099e-11, 1.37072e-40, 8.3107e-11, 1.37072e-40, 1.37072e-40
0.343752, 0, 1.99347e-10, 1.67133e-39, 1.41421, -1.99347e-10, 1.67133e-39, 0, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 1.67133e-39, 8.15662e-15, 6.78583e-11, 1.67133e-39, 1.31481e-10, 1.67133e-39, 1.67133e-39
0.351616, 0, 3.18729e-10, 1.83948e-38, 1.41421, -3.18729e-10, 1.83948e-38, 0, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.83948e-38, 1.34318e-14, 1.12334e-10, 1.83948e-38, 2.06382e-10, 1.83948e-38, 1.83948e-38
0.35948, 0, 5.06661e-10, 1.83211e-37, 1.41421, -5.06661e-10, 1.83211e-37, 0, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 1.83211e-37, 2.20471e-14, 1.85211e-10, 1.83211e-37, 3.21428e-10, 1.83211e-37, 1.83211e-37
0.367344, 0, 8.01029e-10, 1.66145e-36, 1.41421, -8.01029e-10, 1.66145e-36, 0, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 1.66145e-36, 3.6092e-14, 3.04265e-10, 1.66145e-36, 4.96728e-10, 1.66145e-36, 1.66145e-36
0.375208, 0, 1.26005e-09, 1.37963e-35, 1.41421, -1.26005e-09, 1.37963e-35, 0, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 1.37963e-35, 5.89594e-14, 4.98268e-10, 1.37963e-35, 7.61727e-10, 1.37963e-35, 1.37963e-35
0.383072, 0, 1.97302e-09, 1.05328e-34, 1.41421, -1.97302e-09, 1.05328e-34, 0, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 1.05328e-34, 9.61635e-14, 8.13755e-10, 1.05328e-34, 1.15916e-09, 1.05328e-34, 1.05328e-34
0.390936, 0, 3.07669e-09, 7.2892e-34, 1.41421, -3.07669e-09, 7.2892e-34, 0, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 7.2892e-34, 1.56672e-13, 1.32597e-09, 7.2892e-34, 1.75056e-09, 7.2892e-34, 7.2892e-34
0.3988, 0, 4.78058e-09, 4.9596e-33, 1.41421, -4.78058e-09, 4.9596e-33, 0, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 4.9596e-33, 2.55082e-13, 2.15659e-09, 4.9596e-33, 2.62374e-09, 4.9596e-33, 4.9596e-33
0.406664, 0, 7.40569e-09, 2.7614e-32, 1.41421, -7.40569e-09, 2.7614e-32, 0, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 2.7614e-32, 4.15158e-13, 3.50227e-09, 2.7614e-32, 3.903e-09, 2.7614e-32, 2.7614e-32
0.414528, 0, 1.14444e-08, 1.4523e-31, 1.41421, -1.14444e-08, 1.4523e-31, 0, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 1.4523e-31, 6.75583e-13, 5.68084e-09, 1.4523e-31, 5.76285e-09, 1.4523e-31, 1.4523e-31
0.422393, 0, 1.76529e-08, 7.68662e-31, 1.41421, -1.76529e-08, 7.68662e-31, 0, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 7.68662e-31, 1.09928e-12, 9.20555e-09, 7.68662e-31, 8.4462e-09, 7.68662e-31, 7.68662e-31
0.430257, 0, 2.71945e-08, 3.92479e-30, 1.41421, -2.71945e-08, 3.92479e-30, 0, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 3.92479e-30, 1.78846e-12, 1.49042e-08, 3.92479e-30, 1.22885e-08, 3.92479e-30, 3.92479e-30
0.438121, 0, 4.18617e-08, 1.90266e-29, 1.41421, -4.18617e-08, 1.90266e-29, 0, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 1.90266e-29, 2.90875e-12, 2.41095e-08, 1.90266e-29, 1.77492e-08, 1.90266e-29, 1.90266e-29
0.445985, 0, 6.44185e-08, 8.80114e-29, 1.41421, -6.44185e-08, 8.80114e-29, 0, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 8.80114e-29, 4.72771e-12, 3.89611e-08, 8.80114e-29, 2.54526e-08, 8.80114e-29, 8.80114e-29
0.453849, 0, 9.91304e-08, 3.93448e-28, 1.41421, -9.91304e-08, 3.93448e-28, 0, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 3.93448e-28, 7.67603e-12, 6.28827e-08, 3.93448e-28, 3.624e-08, 3.93448e-28, 3.93448e-28
0.461713, 0, 1.52577e-07, 1.68429e-27, 1.41421, -1.52577e-07, 1.68429e-27, 0, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.68429e-27, 1.24437e-11, 1.01328e-07, 1.68429e-27, 5.12367e-08, 1.68429e-27, 1.68429e-27
0.469577, 0, 2.34893e-07, 6.87968e-27, 1.41421, -2.34893e-07, 6.87968e-27, 0, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 6.87968e-27, 2.01303e-11, 1.62938e-07, 6.87968e-27, 7.19353e-08, 6.87968e-27, 6.87968e-27
0.477441, 0, 3.61658e-07, 2.68445e-26, 1.41421, -3.61658e-07, 2.68445e-26, 0, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 2.68445e-26, 3.24782e-11, 2.61324e-07, 2.68445e-26, 1.00301e-07, 2.68445e-26, 2.68445e-26
0.485305, 0, 5.56725e-07, 1.00179e-25, 1.41421, -5.56725e-07, 1.00179e-25, 0, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 1.00179e-25, 5.22298e-11, 4.17771e-07, 1.00179e-25, 1.38902e-07, 1.00179e-25, 1.00179e-25
0.493169, 0, 8.56466e-07, 3.58169e-25, 1.41421, -8.56466e-07, 3.58169e-25, 0, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 3.58169e-25, 8.36727e-11, 6.65317e-07, 3.58169e-25, 1.91065e-07, 3.58169e-25, 3.58169e-25
0.501033, 0, 1.31719e-06, 1.24153e-24, 1.41421, -1.31719e-06, 5.63719e-11, 0, 4.03765e-14, 4.79647e-11, 4.00484e-10, 1.7438e-11, 3.18963e-10, 9.89633e-11, 9.77909e-11, 4.91928e-12, 1.11401e-10, 3.78974e-12, 5.94496e-14, 1.3346e-10, 1.05479e-06, 3.20969e-16, 2.61114e-07, 1.24153e-24, 1.24153e-24
0.508898, 0, 2.02252e-06, 1.26811e-10, 1.41421, -2.02252e-06, 3.17823e-10, 1.26811e-10, 1.26948e-10, 2.89335e-10, 1.48382e-09, 1.85898e-10, 1.20759e-09, 4.6214e-10, 4.58168e-10, 1.4348e-10, 5.04284e-10, 1.39652e-10, 1.27013e-10, 3.38665e-10, 1.66385e-06, 1.26812e-10, 3.54658e-07, 1.26811e-10, 1.26811e-10
0.516762, 0, 3.09938e-06, 4.63696e-10, 1.41421, -3.09938e-06, 9.91792e-10, 4.63696e-10, 4.64075e-10, 9.13032e-10, 4.21545e-09, 6.27056e-10, 3.45176e-09, 1.39079e-09, 1.37981e-09, 5.0978e-10, 1.50731e-09, 4.99199e-10, 4.64253e-10, 7.9828e-10, 2.60981e-06, 4.63699e-10, 4.78847e-07, 4.63696e-10, 4.63696e-10
0.524626, 0, 4.73505e-06, 1.12329e-09, 1.41421, -4.73505e-06, 2.35643e-09, 1.12329e-09, 1.12417e-09, 2.17252e-09, 9.88388e-09, 1.50475e-09, 8.10062e-09, 3.28811e-09, 3.26247e-09, 1.2309e-09, 3.56019e-09, 1.20619e-09, 1.12459e-09, 1.64855e-09, 4.06768e-06, 1.1233e-09, 6.42635e-07, 1.12329e-09, 1.12329e-09
0.53249, 0, 7.21132e-06, 2.60313e-09, 1.41421, -7.21132e-06, 5.3877e-09, 2.60313e-09, 2.60513e-09, 4.97241e-09, 2.23856e-08, 3.46451e-09, 1.83587e-08, 7.49156e-09, 7.43365e-09, 2.84613e-09, 8.10593e-09, 2.79033e-09, 2.60607e-09, 3.4227e-09, 6.29807e-06, 2.60315e-09, 8.5782e-07, 2.60313e-09, 2.60313e-09
0.540354, 0, 1.09499e-05, 5.84627e-09, 1.41421, -1.09499e-05, 1.19635e-08, 5.84627e-09, 5.85065e-09, 1.10512e-08, 4.9305e-08, 7.73856e-09, 4.04588e-08, 1.65853e-08, 1.64581e-08, 6.38008e-09, 1.7935e-08, 6.25751e-09, 5.85272e-09, 7.11688e-09, 9.68911e-06, 5.8463e-09, 1.13967e-06, 5.84627e-09, 5.84627e-09
0.548218, 0, 1.65538e-05, 1.2786e-08, 1.41421, -1.65538e-05, 2.58934e-08, 1.2786e-08, 1.27954e-08, 2.39386e-08, 1.05905e-07, 1.68406e-08, 8.69503e-08, 3.57966e-08, 3.5524e-08, 1.39298e-08, 3.86886e-08, 1.36672e-08, 1.27998e-08, 1.47428e-08, 1.4787e-05, 1.27861e-08, 1.5084e-06, 1.2786e-08, 1.2786e-08
0.556082, 0, 2.49244e-05, 2.72851e-08, 1.41421, -2.49244e-05, 5.47102e-08, 2.72851e-08, 2.73047e-08, 5.06201e-08, 2.22122e-07, 3.57687e-08, 1.82462e-07, 7.54311e-08, 7.48608e-08, 2.96783e-08, 8.14821e-08, 2.91288e-08, 2.7314e-08, 3.02779e-08, 2.23937e-05, 2.72852e-08, 1.99152e-06, 2.72851e-08, 2.72851e-08
0.563946, 0, 3.7376e-05, 5.68667e-08, 1.41421, -3.7376e-05, 1.12934e-07, 5.68667e-08, 5.69069e-08, 1.04573e-07, 4.5519e-07, 7.42106e-08, 3.74109e-07, 1.55296e-07, 1.5413e-07, 6.17594e-08, 1.67667e-07, 6.0636e-08, 5.69258e-08, 6.1413e-08, 3.36487e-05, 5.6867e-08, 2.62771e-06, 5.68667e-08, 5.68667e-08
0.57181, 0, 5.583e-05, 1.15808e-07, 1.41421, -5.583e-05, 2.27844e-07, 1.15808e-07, 1.15888e-07, 2.11135e-07, 9.11751e-07, 1.50465e-07, 7.49732e-07, 3.12493e-07, 3.10163e-07, 1.25584e-07, 3.37212e-07, 1.2334e-07, 1.15926e-07, 1.22664e-07, 5.01638e-05, 1.15808e-07, 3.47328e-06, 1.15808e-07, 1.15808e-07
0.579674, 0, 8.30931e-05, 2.30505e-07, 1.41421, -8.30931e-05, 4.49377e-07, 2.30505e-07, 2.30662e-07, 4.16734e-07, 1.78544e-06, 2.9821e-07, 1.46892e-06, 6.14744e-07, 6.10192e-07, 2.49605e-07, 6.63035e-07, 2.45219e-07, 2.30736e-07, 2.40771e-07, 7.42035e-05, 2.30506e-07, 4.61305e-06, 2.30505e-07, 2.30505e-07
0.587539, 0, 0.000123268, 4.48517e-07, 1.41421, -0.000123268, 8.66627e-07, 4.48517e-07, 4.48817e-07, 8.0427e-07, 3.4189e-06, 5.77855e-07, 2.81426e-06, 1.18253e-06, 1.17383e-06, 4.85003e-07, 1.27478e-06, 4.76626e-07, 4.48958e-07, 4.63777e-07, 0.000108932, 4.4852e-07, 6.17825e-06, 4.48517e-07, 4.48517e-07
0.595403, 0, 0.000182351, 8.53311e-07, 1.41421, -0.000182351, 1.63446e-06, 8.53311e-07, 8.5387e-07, 1.51796e-06, 6.40285e-06, 1.09495e-06, 5.27321e-06, 2.22465e-06, 2.20841e-06, 9.21478e-07, 2.397e-06, 9.05826e-07, 8.54135e-07, 8.75834e-07, 0.000158758, 8.53315e-07, 8.37529e-06, 8.53311e-07, 8.53311e-07
0.603267, 0, 0.000269112, 1.58758e-06, 1.41421, -0.000269112, 3.01514e-06, 1.58758e-06, 1.5886e-06, 2.80224e-06, 1.17295e-05, 2.02918e-06, 9.66502e-06, 4.09373e-06, 4.06404e-06, 1.71215e-06, 4.4087e-06, 1.68355e-06, 1.58908e-06, 1.62059e-06, 0.000229805, 1.58759e-06, 1.15311e-05, 1.58758e-06, 1.58758e-06
0.611131, 0, 0.000396346, 2.88885e-06, 1.41421, -0.000396346, 5.44122e-06, 2.88885e-06, 2.89068e-06, 5.06056e-06, 2.10216e-05, 3.6784e-06, 1.73306e-05, 7.36964e-06, 7.31655e-06, 3.11159e-06, 7.93278e-06, 3.06044e-06, 2.89155e-06, 2.9369e-06, 0.000330585, 2.88887e-06, 1.61622e-05, 2.88885e-06, 2.88885e-06
0.618995, 0, 0.000582685, 5.1422e-06, 1.41421, -0.000582685, 9.60748e-06, 5.1422e-06, 5.1454e-06, 8.94153e-06, 3.68649e-05, 6.52348e-06, 3.04076e-05, 1.29812e-05, 1.28883e-05, 5.53186e-06, 1.39664e-05, 5.44239e-06, 5.14691e-06, 5.21168e-06, 0.000472938, 5.14223e-06, 2.30786e-05, 5.1422e-06, 5.1422e-06
0.626859, 0, 0.000855105, 8.95516e-06, 1.41421, -0.000855105, 1.66003e-05, 8.95516e-06, 8.96064e-06, 1.54601e-05, 6.32688e-05, 1.13201e-05, 5.2213e-05, 2.23766e-05, 2.22176e-05, 9.62232e-06, 2.40634e-05, 9.46913e-06, 8.96323e-06, 9.055e-06, 0.000673359, 8.95521e-06, 3.35281e-05, 8.95516e-06, 8.95516e-06
0.634723, 0, 0.00125236, 1.52604e-05, 1.41421, -0.00125236, 2.80728e-05, 1.52604e-05, 1.52696e-05, 2.6162e-05, 0.000106284, 1.92238e-05, 8.77557e-05, 3.77532e-05, 3.74867e-05, 1.63785e-05, 4.05801e-05, 1.61217e-05, 1.52739e-05, 1.5403e-05, 0.000954843, 1.52605e-05, 4.94017e-05, 1.52604e-05, 1.52604e-05
0.642587, 0, 0.0018296, 2.54506e-05, 1.41421, -0.0018296, 4.6472e-05, 2.54506e-05, 2.54656e-05, 4.33369e-05, 0.000174794, 3.19533e-05, 0.000144394, 6.23547e-05, 6.19174e-05, 2.7285e-05, 6.69927e-05, 2.68638e-05, 2.54727e-05, 2.56531e-05, 0.00134944, 2.54507e-05, 7.35045e-05, 2.54506e-05, 2.54506e-05
0.650451, 0, 0.00266422, 4.15476e-05, 1.41421, -0.00266422, 7.53201e-05, 4.15476e-05, 4.15718e-05, 7.02833e-05, 0.000281478, 5.19948e-05, 0.000232639, 0.000100837, 0.000100134, 4.44948e-05, 0.000108288, 4.38181e-05, 4.15832e-05, 4.18338e-05, 0.00190171, 4.15478e-05, 0.000109903, 4.15476e-05, 4.15476e-05
