   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_438.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00226848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00559562, 0, 1.09803e-22, 0, 1.41421, -1.09803e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58891e-27, 1.64046e-23, 0, 9.33961e-23, 0, 0
0.0134597, 0, 2.72259e-22, 0, 1.41421, -2.72259e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45982e-27, 4.14747e-23, 0, 2.30778e-22, 0, 0
0.0213238, 0, 6.61934e-22, 0, 1.41421, -6.61934e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58093e-26, 1.02708e-22, 0, 5.5921e-22, 0, 0
0.0291879, 0, 1.58022e-21, 0, 1.41421, -1.58022e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80014e-26, 2.4953e-22, 0, 1.33065e-21, 0, 0
0.037052, 0, 3.70852e-21, 0, 1.41421, -3.70852e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98228e-26, 5.95554e-22, 0, 3.11287e-21, 0, 0
0.0449161, 0, 8.56452e-21, 0, 1.41421, -8.56452e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08982e-25, 1.39795e-21, 0, 7.16637e-21, 0, 0
0.0527802, 0, 1.94808e-20, 0, 1.41421, -1.94808e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79016e-25, 3.23041e-21, 0, 1.62499e-20, 0, 0
0.0606443, 0, 4.36756e-20, 0, 1.41421, -4.36756e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08251e-24, 7.35511e-21, 0, 3.63194e-20, 0, 0
0.0685084, 0, 9.65808e-20, 0, 1.41421, -9.65808e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4135e-24, 1.65123e-20, 0, 8.0066e-20, 0, 0
0.0763725, 0, 2.10774e-19, 0, 1.41421, -2.10774e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31186e-24, 3.65763e-20, 0, 1.74192e-19, 0, 0
0.0842366, 0, 4.54194e-19, 0, 1.41421, -4.54194e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15467e-23, 7.99858e-20, 0, 3.74196e-19, 0, 0
0.0921007, 0, 9.66862e-19, 0, 1.41421, -9.66862e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48014e-23, 1.72771e-19, 0, 7.94067e-19, 0, 0
0.0999647, 0, 2.03408e-18, 0, 1.41421, -2.03408e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26605e-23, 3.68787e-19, 0, 1.66524e-18, 0, 0
0.107829, 0, 4.23068e-18, 0, 1.41421, -4.23068e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10571e-22, 7.78226e-19, 0, 3.45234e-18, 0, 0
0.115693, 0, 8.70233e-18, 0, 1.41421, -8.70233e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29663e-22, 1.62414e-18, 0, 7.07796e-18, 0, 0
0.123557, 0, 1.77082e-17, 0, 1.41421, -1.77082e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72024e-22, 3.35335e-18, 0, 1.43544e-17, 0, 0
0.131421, 0, 3.5657e-17, 0, 1.41421, -3.5657e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60237e-22, 6.85182e-18, 0, 2.88042e-17, 0, 0
0.139285, 0, 7.10647e-17, 0, 1.41421, -7.10647e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93393e-21, 1.38588e-17, 0, 5.72039e-17, 0, 0
