   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_827.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.142602, 0, 4.97446e-12, 0, 1.41421, -4.97446e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0424e-14, 0, 0, 5.19784e-15, 0, 6.90432e-13, 0, 4.24841e-12, 0, 0, 0
0.150467, 0, 7.54366e-12, 0, 1.41421, -7.54366e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59015e-14, 0, 0, 8.02933e-15, 0, 1.08039e-12, 0, 6.40934e-12, 0, 0, 0
0.158332, 0, 1.13877e-11, 0, 1.41421, -1.13877e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89183e-14, 0, 0, 1.23525e-14, 0, 1.68381e-12, 0, 9.62261e-12, 0, 0, 0
0.166197, 0, 1.71129e-11, 0, 1.41421, -1.71129e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02979e-13, 0, 0, 1.8928e-14, 0, 2.61393e-12, 0, 1.43771e-11, 0, 0, 0
0.174063, 0, 2.56016e-11, 0, 1.41421, -2.56016e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53136e-13, 0, 0, 2.88921e-14, 0, 4.0421e-12, 0, 2.13775e-11, 0, 0, 0
0.181928, 0, 3.81314e-11, 0, 1.41421, -3.81314e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26635e-13, 0, 0, 4.39384e-14, 0, 6.2268e-12, 0, 3.1634e-11, 0, 0, 0
0.189793, 0, 5.65449e-11, 0, 1.41421, -5.65449e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33819e-13, 0, 0, 6.6584e-14, 0, 9.55657e-12, 0, 4.65879e-11, 0, 0, 0
0.197658, 0, 8.34873e-11, 0, 1.41421, -8.34873e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89365e-13, 0, 0, 1.00562e-13, 0, 1.46135e-11, 0, 6.82839e-11, 0, 0, 0
0.205524, 0, 1.22741e-10, 0, 1.41421, -1.22741e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14008e-13, 0, 0, 1.51396e-13, 0, 2.22668e-11, 0, 9.96084e-11, 0, 0, 0
0.213389, 0, 1.7969e-10, 0, 1.41421, -1.7969e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03689e-12, 0, 0, 2.27254e-13, 0, 3.3811e-11, 0, 1.44615e-10, 0, 0, 0
0.221254, 0, 2.61972e-10, 0, 1.41421, -2.61972e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49874e-12, 0, 0, 3.4019e-13, 0, 5.11679e-11, 0, 2.08966e-10, 0, 0, 0
0.229119, 0, 3.80378e-10, 0, 1.41421, -3.80378e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15623e-12, 0, 0, 5.07987e-13, 0, 7.71831e-11, 0, 3.0053e-10, 0, 0, 0
0.236984, 0, 5.50094e-10, 1.14906e-43, 1.41421, -5.50094e-10, 1.14906e-43, 0, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 3.08782e-12, 1.14906e-43, 1.14906e-43, 7.56866e-13, 1.14906e-43, 1.1606e-10, 1.14906e-43, 4.30189e-10, 1.14906e-43, 1.14906e-43, 1.14906e-43
0.24485, 0, 7.92428e-10, 1.96742e-42, 1.41421, -7.92428e-10, 1.96742e-42, 0, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 1.96742e-42, 4.40154e-12, 1.96742e-42, 1.96742e-42, 1.12549e-12, 1.96742e-42, 1.73993e-10, 1.96742e-42, 6.12908e-10, 1.96742e-42, 1.96742e-42, 1.96742e-42
0.252715, 0, 1.13717e-09, 2.83805e-41, 1.41421, -1.13717e-09, 2.83805e-41, 0, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 2.83805e-41, 6.24548e-12, 2.83805e-41, 2.83805e-41, 1.67086e-12, 2.83805e-41, 2.60089e-10, 2.83805e-41, 8.69164e-10, 2.83805e-41, 2.83805e-41, 2.83805e-41
0.26058, 0, 1.62584e-09, 3.61923e-40, 1.41421, -1.62584e-09, 3.61923e-40, 0, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 3.61923e-40, 8.82159e-12, 3.61923e-40, 3.61923e-40, 2.47712e-12, 3.61923e-40, 3.87709e-10, 3.61923e-40, 1.22683e-09, 3.61923e-40, 3.61923e-40, 3.61923e-40
