   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.188762, 0, 1.4847e-13, 0, 1.41421, -1.4847e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71352e-18, 0, 3.76533e-14, 0, 1.10815e-13, 0, 0, 0
0.196622, 0, 2.51176e-13, 0, 1.41421, -2.51176e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93998e-18, 0, 6.50457e-14, 0, 1.86127e-13, 0, 0, 0
0.204482, 0, 4.2212e-13, 0, 1.41421, -4.2212e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01174e-18, 0, 1.1169e-13, 0, 3.10425e-13, 0, 0, 0
0.212343, 0, 7.04768e-13, 0, 1.41421, -7.04768e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4893e-18, 0, 1.90643e-13, 0, 5.14116e-13, 0, 0, 0
0.220203, 0, 1.16908e-12, 0, 1.41421, -1.16908e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42904e-17, 0, 3.23513e-13, 0, 8.45551e-13, 0, 0, 0
0.228063, 0, 1.92693e-12, 0, 1.41421, -1.92693e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39092e-17, 0, 5.45845e-13, 0, 1.38106e-12, 0, 0, 0
0.235924, 0, 3.15608e-12, 0, 1.41421, -3.15608e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97656e-17, 0, 9.15807e-13, 0, 2.24024e-12, 0, 0, 0
0.243784, 0, 5.13727e-12, 0, 1.41421, -5.13727e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57563e-17, 0, 1.52809e-12, 0, 3.60911e-12, 0, 0, 0
0.251644, 0, 8.31114e-12, 0, 1.41421, -8.31114e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08127e-16, 0, 2.53609e-12, 0, 5.77494e-12, 0, 0, 0
0.259504, 0, 1.33653e-11, 0, 1.41421, -1.33653e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76844e-16, 0, 4.18707e-12, 0, 9.17804e-12, 0, 0, 0
0.267365, 0, 2.13665e-11, 0, 1.41421, -2.13665e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87742e-16, 0, 6.87783e-12, 0, 1.44884e-11, 0, 0, 0
0.275225, 0, 3.39611e-11, 0, 1.41421, -3.39611e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65893e-16, 0, 1.12425e-11, 0, 2.27181e-11, 0, 0, 0
0.283085, 0, 5.36761e-11, 0, 1.41421, -5.36761e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50871e-16, 0, 1.82903e-11, 0, 3.5385e-11, 0, 0, 0
0.290946, 0, 8.43724e-11, 9.80909e-44, 1.41421, -8.43724e-11, 9.80909e-44, 0, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 9.80909e-44, 1.20498e-15, 9.80909e-44, 2.96221e-11, 9.80909e-44, 5.4749e-11, 9.80909e-44, 9.80909e-44, 9.80909e-44
0.298806, 0, 1.3192e-10, 1.71799e-42, 1.41421, -1.3192e-10, 1.71799e-42, 0, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.71799e-42, 1.92611e-15, 1.71799e-42, 4.77682e-11, 1.71799e-42, 8.415e-11, 1.71799e-42, 1.71799e-42, 1.71799e-42
0.306666, 0, 2.05209e-10, 2.56171e-41, 1.41421, -2.05209e-10, 2.56171e-41, 0, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 2.56171e-41, 3.06784e-15, 2.56171e-41, 7.67166e-11, 2.56171e-41, 1.28489e-10, 2.56171e-41, 2.56171e-41, 2.56171e-41
0.314526, 0, 3.17649e-10, 3.36382e-40, 1.41421, -3.17649e-10, 3.36382e-40, 0, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 3.36382e-40, 4.87095e-15, 3.36382e-40, 1.22737e-10, 3.36382e-40, 1.94907e-10, 3.36382e-40, 3.36382e-40, 3.36382e-40
