   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_96.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00375709, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00411943, 0, 1.0488e-28, 0, 1.41421, -1.0488e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95738e-31, 0, 0, 2.0499e-33, 7.15516e-35, 0, 1.04682e-28, 0, 0
0.011996, 0, 6.00415e-28, 0, 1.41421, -6.00415e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12056e-30, 0, 0, 1.17352e-32, 6.69411e-34, 0, 5.99282e-28, 0, 0
0.0198725, 0, 2.75998e-27, 0, 1.41421, -2.75998e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15098e-30, 0, 0, 5.39445e-32, 3.93618e-33, 0, 2.75477e-27, 0, 0
0.027749, 0, 1.11064e-26, 0, 1.41421, -1.11064e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0728e-29, 0, 0, 2.17325e-31, 1.84637e-32, 0, 1.10855e-26, 0, 0
0.0356255, 0, 4.07817e-26, 0, 1.41421, -4.07817e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61112e-29, 0, 0, 8.00009e-31, 7.54695e-32, 0, 4.07047e-26, 0, 0
0.0435021, 0, 1.39851e-25, 0, 1.41421, -1.39851e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61006e-28, 0, 0, 2.75336e-30, 2.80609e-31, 0, 1.39587e-25, 0, 0
0.0513786, 0, 4.54386e-25, 0, 1.41421, -4.54386e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.48025e-28, 0, 0, 8.98496e-30, 9.72352e-31, 0, 4.53528e-25, 0, 0
0.0592551, 0, 1.41217e-24, 0, 1.41421, -1.41217e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63554e-27, 0, 0, 2.80606e-29, 3.18795e-30, 0, 1.4095e-24, 0, 0
0.0671317, 0, 4.22628e-24, 0, 1.41421, -4.22628e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88754e-27, 0, 0, 8.44217e-29, 9.98826e-30, 0, 4.2183e-24, 0, 0
