   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_106.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.120226, 0, 4.00898e-26, 0, 1.41421, -4.00898e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31294e-28, 0, 0, 4.98323e-31, 8.42018e-30, 0, 3.97496e-26, 0, 0
0.128387, 0, 1.66877e-25, 0, 1.41421, -1.66877e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37902e-27, 0, 0, 2.09115e-30, 3.74733e-29, 0, 1.65459e-25, 0, 0
0.136549, 0, 6.53879e-25, 0, 1.41421, -6.53879e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40338e-27, 0, 0, 8.26535e-30, 1.54955e-28, 0, 6.48312e-25, 0, 0
0.144711, 0, 2.4352e-24, 0, 1.41421, -2.4352e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01232e-26, 0, 0, 3.10635e-29, 6.03745e-28, 0, 2.41444e-24, 0, 0
0.152872, 0, 8.67933e-24, 0, 1.41421, -8.67933e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17208e-26, 0, 0, 1.11761e-28, 2.23742e-27, 0, 8.60526e-24, 0, 0
0.161034, 0, 2.97554e-23, 0, 1.41421, -2.97554e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45879e-25, 0, 0, 3.86888e-28, 7.93953e-27, 0, 2.95012e-23, 0, 0
0.169196, 0, 9.85084e-23, 0, 1.41421, -9.85084e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14001e-25, 0, 0, 1.29368e-27, 2.71122e-26, 0, 9.7666e-23, 0, 0
0.177357, 0, 3.15906e-22, 0, 1.41421, -3.15906e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61039e-24, 0, 0, 4.19147e-27, 8.94396e-26, 0, 3.13202e-22, 0, 0
0.185519, 0, 9.83804e-22, 0, 1.41421, -9.83804e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1293e-24, 0, 0, 1.31916e-26, 2.85903e-25, 0, 9.75375e-22, 0, 0
0.193681, 0, 2.98144e-21, 0, 1.41421, -2.98144e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46358e-23, 0, 0, 4.04129e-26, 8.87781e-25, 0, 2.95587e-21, 0, 0
0.201842, 0, 8.80768e-21, 0, 1.41421, -8.80768e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2778e-23, 0, 0, 1.20725e-25, 2.6834e-24, 0, 8.7321e-21, 0, 0
0.210004, 0, 2.54007e-20, 0, 1.41421, -2.54007e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09885e-22, 0, 0, 3.52179e-25, 7.90856e-24, 0, 2.51826e-20, 0, 0
0.218166, 0, 7.16024e-20, 0, 1.41421, -7.16024e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91644e-22, 0, 0, 1.00455e-24, 2.27602e-23, 0, 7.0987e-20, 0, 0
0.226327, 0, 1.975e-19, 0, 1.41421, -1.975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63191e-21, 0, 0, 2.80471e-24, 6.40414e-23, 0, 1.95801e-19, 0, 0
0.234489, 0, 5.33547e-19, 0, 1.41421, -5.33547e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40859e-21, 0, 0, 7.67242e-24, 1.76368e-22, 0, 5.28954e-19, 0, 0
0.242651, 0, 1.41285e-18, 0, 1.41421, -1.41285e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1674e-20, 0, 0, 2.05809e-23, 4.75834e-22, 0, 1.40068e-18, 0, 0
0.250812, 0, 3.66983e-18, 0, 1.41421, -3.66983e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03226e-20, 0, 0, 5.41751e-23, 1.25871e-21, 0, 3.63819e-18, 0, 0
0.258974, 0, 9.53039e-18, 0, 1.41421, -9.53039e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87458e-20, 0, 0, 1.43124e-22, 3.34014e-21, 0, 9.44816e-18, 0, 0
0.267136, 0, 2.37978e-17, 0, 1.41421, -2.37978e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9663e-19, 0, 0, 3.62423e-22, 8.48548e-21, 0, 2.35923e-17, 0, 0
0.275297, 0, 5.84082e-17, 0, 1.41421, -5.84082e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82594e-19, 0, 0, 9.02499e-22, 2.11857e-20, 0, 5.79035e-17, 0, 0
0.283459, 0, 1.40958e-16, 0, 1.41421, -1.40958e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16464e-18, 0, 0, 2.21095e-21, 5.20062e-20, 0, 1.39739e-16, 0, 0
0.291621, 0, 3.34613e-16, 0, 1.41421, -3.34613e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76464e-18, 0, 0, 5.33065e-21, 1.25573e-19, 0, 3.31718e-16, 0, 0
0.299782, 0, 7.81578e-16, 0, 1.41421, -7.81578e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45743e-18, 0, 0, 1.26533e-20, 2.98357e-19, 0, 7.7481e-16, 0, 0
0.307944, 0, 1.7968e-15, 0, 1.41421, -1.7968e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48449e-17, 0, 0, 2.95791e-20, 6.97786e-19, 0, 1.78123e-15, 0, 0
0.316106, 0, 4.06672e-15, 0, 1.41421, -4.06672e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35977e-17, 0, 0, 6.81168e-20, 1.60693e-18, 0, 4.03145e-15, 0, 0
0.324267, 0, 9.06364e-15, 0, 1.41421, -9.06364e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48781e-17, 0, 0, 1.5458e-19, 3.64493e-18, 0, 8.98496e-15, 0, 0
0.332429, 0, 1.98963e-14, 0, 1.41421, -1.98963e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64365e-16, 0, 0, 3.4578e-19, 8.14562e-18, 0, 1.97234e-14, 0, 0
0.340591, 0, 4.3026e-14, 0, 1.41421, -4.3026e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55427e-16, 0, 0, 7.62631e-19, 1.79395e-17, 0, 4.26519e-14, 0, 0
0.348752, 0, 9.16767e-14, 0, 1.41421, -9.16767e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57286e-16, 0, 0, 1.65892e-18, 3.89457e-17, 0, 9.08788e-14, 0, 0
0.356914, 0, 1.92499e-13, 0, 1.41421, -1.92499e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59005e-15, 0, 0, 3.56014e-18, 8.33641e-17, 0, 1.90822e-13, 0, 0
0.365076, 0, 3.98382e-13, 0, 1.41421, -3.98382e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29049e-15, 0, 0, 7.54032e-18, 1.75983e-16, 0, 3.94908e-13, 0, 0
0.373237, 0, 8.12707e-13, 0, 1.41421, -8.12707e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71238e-15, 0, 0, 1.57675e-17, 3.66483e-16, 0, 8.05613e-13, 0, 0
0.381399, 0, 1.63451e-12, 1.12104e-43, 1.41421, -1.63451e-12, 1.12104e-43, 0, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.12104e-43, 1.34994e-14, 1.12104e-43, 1.12104e-43, 3.25672e-17, 7.53078e-16, 1.12104e-43, 1.62022e-12, 1.12104e-43, 1.12104e-43
0.389561, 0, 3.24124e-12, 2.17902e-42, 1.41421, -3.24124e-12, 2.17902e-42, 0, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.17902e-42, 2.67687e-14, 2.17902e-42, 2.17902e-42, 6.64776e-17, 1.52739e-15, 2.17902e-42, 3.21287e-12, 2.17902e-42, 2.17902e-42
0.397722, 0, 6.33801e-12, 3.41609e-41, 1.41421, -6.33801e-12, 3.41609e-41, 0, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 3.41609e-41, 5.23442e-14, 3.41609e-41, 3.41609e-41, 1.34187e-16, 3.05859e-15, 3.41609e-41, 6.28247e-12, 3.41609e-41, 3.41609e-41
0.405884, 0, 1.22225e-11, 4.689e-40, 1.41421, -1.22225e-11, 4.689e-40, 0, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 4.689e-40, 1.00946e-13, 4.689e-40, 4.689e-40, 2.68045e-16, 6.04937e-15, 4.689e-40, 1.21153e-11, 4.689e-40, 4.689e-40
0.414046, 0, 2.32479e-11, 5.74101e-39, 1.41421, -2.32479e-11, 5.74101e-39, 0, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 5.74101e-39, 1.9202e-13, 5.74101e-39, 5.74101e-39, 5.30309e-16, 1.18223e-14, 5.74101e-39, 2.30435e-11, 5.74101e-39, 5.74101e-39
0.422207, 0, 4.36174e-11, 6.31595e-38, 1.41421, -4.36174e-11, 6.31595e-38, 0, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 6.31595e-38, 3.60317e-13, 6.31595e-38, 6.31595e-38, 1.04013e-15, 2.28408e-14, 6.31595e-38, 4.32332e-11, 6.31595e-38, 6.31595e-38
0.430369, 0, 8.07304e-11, 6.28461e-37, 1.41421, -8.07304e-11, 6.28461e-37, 0, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.28461e-37, 6.67057e-13, 6.28461e-37, 6.28461e-37, 2.02467e-15, 4.3652e-14, 6.28461e-37, 8.00177e-11, 6.28461e-37, 6.28461e-37
0.438531, 0, 1.47421e-10, 5.68903e-36, 1.41421, -1.47421e-10, 5.68903e-36, 0, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 5.68903e-36, 1.21854e-12, 5.68903e-36, 5.68903e-36, 3.91592e-15, 8.25839e-14, 5.68903e-36, 1.46116e-10, 5.68903e-36, 5.68903e-36
0.446692, 0, 2.65625e-10, 4.7108e-35, 1.41421, -2.65625e-10, 4.7108e-35, 0, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 4.7108e-35, 2.19669e-12, 4.7108e-35, 4.7108e-35, 7.53446e-15, 1.54797e-13, 4.7108e-35, 2.63266e-10, 4.7108e-35, 4.7108e-35
0.454854, 0, 4.72292e-10, 3.58656e-34, 1.41421, -4.72292e-10, 3.58656e-34, 0, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.58656e-34, 3.90859e-12, 3.58656e-34, 3.58656e-34, 1.44389e-14, 2.87779e-13, 3.58656e-34, 4.68081e-10, 3.58656e-34, 3.58656e-34
0.463016, 0, 8.28767e-10, 2.69683e-33, 1.41421, -8.28767e-10, 2.69683e-33, 0, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 2.69683e-33, 6.86538e-12, 2.69683e-33, 2.69683e-33, 2.75909e-14, 5.31271e-13, 2.69683e-33, 8.21343e-10, 2.69683e-33, 2.69683e-33
0.471177, 0, 1.43542e-09, 1.92398e-32, 1.41421, -1.43542e-09, 1.92398e-32, 0, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.92398e-32, 1.19063e-11, 1.92398e-32, 1.92398e-32, 5.26204e-14, 9.75298e-13, 1.92398e-32, 1.42249e-09, 1.92398e-32, 1.92398e-32
0.479339, 0, 2.45417e-09, 1.28327e-31, 1.41421, -2.45417e-09, 1.28327e-31, 0, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 1.28327e-31, 2.03911e-11, 1.28327e-31, 1.28327e-31, 1.00227e-13, 1.78317e-12, 1.28327e-31, 2.4319e-09, 1.28327e-31, 1.28327e-31
0.487501, 0, 4.14249e-09, 7.98087e-31, 1.41421, -4.14249e-09, 7.98087e-31, 0, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 7.98087e-31, 3.44944e-11, 7.98087e-31, 7.98087e-31, 1.90719e-13, 3.25229e-12, 7.98087e-31, 4.10455e-09, 7.98087e-31, 7.98087e-31
0.495662, 0, 6.90403e-09, 4.63617e-30, 1.41421, -6.90403e-09, 4.63617e-30, 0, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 4.63617e-30, 5.76507e-11, 4.63617e-30, 4.63617e-30, 3.62533e-13, 5.92693e-12, 4.63617e-30, 6.84009e-09, 4.63617e-30, 4.63617e-30
0.503824, 0, 1.13629e-08, 2.52306e-29, 1.41421, -1.13629e-08, 2.52306e-29, 0, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 2.52306e-29, 9.52172e-11, 2.52306e-29, 2.52306e-29, 6.88094e-13, 1.08081e-11, 2.52306e-29, 1.12562e-08, 2.52306e-29, 2.52306e-29
0.511986, 0, 1.8471e-08, 1.29078e-28, 1.41421, -1.8471e-08, 1.29078e-28, 0, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.29078e-28, 1.55454e-10, 1.29078e-28, 1.29078e-28, 1.30302e-12, 1.97449e-11, 1.29078e-28, 1.82944e-08, 1.29078e-28, 1.29078e-28
0.520147, 0, 2.96601e-08, 9.42511e-28, 1.41421, -2.96601e-08, 9.42511e-28, 0, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 9.42511e-28, 2.50959e-10, 9.42511e-28, 9.42511e-28, 2.46085e-12, 3.6194e-11, 9.42511e-28, 2.93705e-08, 9.42511e-28, 9.42511e-28
0.528309, 0, 4.70541e-08, 4.12061e-27, 1.41421, -4.70541e-08, 4.12061e-27, 0, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.12061e-27, 4.00704e-10, 4.12061e-27, 4.12061e-27, 4.6227e-12, 6.64527e-11, 4.12061e-27, 4.65823e-08, 4.12061e-27, 4.12061e-27
0.536471, 0, 7.37652e-08, 1.71608e-26, 1.41421, -7.37652e-08, 1.71608e-26, 0, 1.71608e-26, 1.71608e-26, 1.71608e-26, 1.71608e-26, 1.71608e-26, 1.71608e-26, 2.21975e-14, 1.71608e-26, 1.71608e-26, 1.71608e-26, 6.33022e-10, 1.71608e-26, 1.71608e-26, 8.63336e-12, 1.22272e-10, 1.71608e-26, 7.30012e-08, 1.71608e-26, 1.71608e-26
0.544632, 0, 1.14291e-07, 6.82684e-26, 1.41421, -1.14291e-07, 6.82684e-26, 0, 6.82684e-26, 6.82684e-26, 6.82684e-26, 6.82684e-26, 6.82684e-26, 6.82684e-26, 9.37776e-14, 6.82684e-26, 6.82684e-26, 6.82684e-26, 9.8975e-10, 6.82684e-26, 6.82684e-26, 1.60102e-11, 2.25224e-10, 6.82684e-26, 1.1306e-07, 6.82684e-26, 6.82684e-26
0.552794, 0, 1.75052e-07, 2.61576e-25, 1.41421, -1.75052e-07, 2.61576e-25, 0, 2.61576e-25, 2.61576e-25, 2.61576e-25, 2.61576e-25, 2.61576e-25, 2.61576e-25, 3.1307e-13, 2.61576e-25, 2.61576e-25, 2.61576e-25, 1.53207e-09, 2.61576e-25, 2.61576e-25, 2.94474e-11, 4.14679e-10, 2.61576e-25, 1.73076e-07, 2.61576e-25, 2.61576e-25
0.560956, 0, 2.66797e-07, 4.82931e-10, 1.41421, -2.66797e-07, 4.86009e-10, 4.82931e-10, 4.82944e-10, 4.82967e-10, 4.83022e-10, 4.83093e-10, 4.83002e-10, 4.83021e-10, 4.84973e-10, 4.89869e-10, 4.87127e-10, 1.64569e-09, 2.83157e-09, 4.84201e-10, 4.82979e-10, 5.36597e-10, 1.24468e-09, 4.82932e-10, 2.62439e-07, 4.82931e-10, 4.9551e-10
0.569117, 0, 4.04153e-07, 2.02494e-09, 1.41421, -4.04153e-07, 2.03784e-09, 2.02494e-09, 2.025e-09, 2.02509e-09, 2.02533e-09, 2.02562e-09, 2.02524e-09, 2.02532e-09, 2.03226e-09, 2.05402e-09, 2.04253e-09, 6.89816e-09, 5.59154e-09, 2.03026e-09, 2.02514e-09, 2.12178e-09, 3.41828e-09, 2.02495e-09, 3.94096e-07, 2.02494e-09, 2.07766e-09
0.577279, 0, 6.11844e-07, 6.71201e-09, 1.41421, -6.11844e-07, 6.75476e-09, 6.71201e-09, 6.7122e-09, 6.71251e-09, 6.71328e-09, 6.71426e-09, 6.713e-09, 6.71327e-09, 6.73473e-09, 6.80836e-09, 6.77029e-09, 2.28586e-08, 1.20786e-08, 6.72965e-09, 6.71268e-09, 6.8849e-09, 9.24453e-09, 6.71203e-09, 5.87206e-07, 6.71201e-09, 6.88669e-09
0.585441, 0, 9.33933e-07, 2.035e-08, 1.41421, -9.33933e-07, 2.04796e-08, 2.035e-08, 2.03505e-08, 2.03515e-08, 2.03538e-08, 2.03568e-08, 2.0353e-08, 2.03538e-08, 2.0416e-08, 2.0642e-08, 2.05266e-08, 6.92938e-08, 2.83528e-08, 2.04034e-08, 2.0352e-08, 2.06552e-08, 2.49157e-08, 2.035e-08, 8.70847e-07, 2.035e-08, 2.08795e-08
0.593602, 0, 1.4568e-06, 5.84163e-08, 1.41421, -1.4568e-06, 5.87882e-08, 5.84163e-08, 5.84179e-08, 5.84206e-08, 5.84274e-08, 5.84359e-08, 5.84249e-08, 5.84272e-08, 5.85992e-08, 5.92545e-08, 5.89233e-08, 1.98896e-07, 7.02458e-08, 5.85697e-08, 5.84221e-08, 5.8949e-08, 6.65681e-08, 5.84164e-08, 1.29217e-06, 5.84163e-08, 5.9936e-08
0.601764, 0, 2.36235e-06, 1.60424e-07, 1.41421, -2.36235e-06, 1.61445e-07, 1.60424e-07, 1.60428e-07, 1.60436e-07, 1.60454e-07, 1.60478e-07, 1.60447e-07, 1.60454e-07, 1.60932e-07, 1.62726e-07, 1.61816e-07, 5.46182e-07, 1.77759e-07, 1.60845e-07, 1.6044e-07, 1.61343e-07, 1.74829e-07, 1.60424e-07, 1.93394e-06, 1.60424e-07, 1.64597e-07
0.609926, 0, 4.04788e-06, 4.22984e-07, 1.41421, -4.04788e-06, 4.25676e-07, 4.22984e-07, 4.22996e-07, 4.23015e-07, 4.23064e-07, 4.23126e-07, 4.23046e-07, 4.23063e-07, 4.2437e-07, 4.29052e-07, 4.26654e-07, 1.44002e-06, 4.4817e-07, 4.24094e-07, 4.23026e-07, 4.24551e-07, 4.48115e-07, 4.22985e-07, 2.95258e-06, 4.22984e-07, 4.33986e-07
0.618087, 0, 7.38689e-06, 1.07231e-06, 1.41421, -7.38689e-06, 1.07913e-06, 1.07231e-06, 1.07234e-06, 1.07238e-06, 1.07251e-06, 1.07267e-06, 1.07246e-06, 1.07251e-06, 1.07611e-06, 1.08769e-06, 1.08161e-06, 3.6504e-06, 1.10859e-06, 1.07512e-06, 1.07241e-06, 1.07495e-06, 1.11559e-06, 1.07231e-06, 4.65942e-06, 1.07231e-06, 1.1002e-06
0.626249, 0, 1.427e-05, 2.61557e-06, 1.41421, -1.427e-05, 2.63221e-06, 2.61557e-06, 2.61564e-06, 2.61576e-06, 2.61606e-06, 2.61644e-06, 2.61595e-06, 2.61606e-06, 2.62537e-06, 2.65309e-06, 2.63826e-06, 8.90354e-06, 2.66741e-06, 2.62243e-06, 2.61583e-06, 2.61997e-06, 2.68913e-06, 2.61557e-06, 7.68788e-06, 2.61557e-06, 2.68359e-06
0.634411, 0, 2.86782e-05, 6.14148e-06, 1.41421, -2.86782e-05, 6.18057e-06, 6.14148e-06, 6.14165e-06, 6.14194e-06, 6.14264e-06, 6.14354e-06, 6.14238e-06, 6.14263e-06, 6.16585e-06, 6.22957e-06, 6.19476e-06, 2.09047e-05, 6.21497e-06, 6.15761e-06, 6.14209e-06, 6.14874e-06, 6.26485e-06, 6.1415e-06, 1.33236e-05, 6.14148e-06, 6.30119e-06
0.642572, 0, 5.87053e-05, 1.38874e-05, 1.41421, -5.87053e-05, 1.39758e-05, 1.38874e-05, 1.38878e-05, 1.38884e-05, 1.389e-05, 1.38921e-05, 1.38894e-05, 1.389e-05, 1.39462e-05, 1.40866e-05, 1.40079e-05, 4.72678e-05, 1.39908e-05, 1.39239e-05, 1.38888e-05, 1.38992e-05, 1.40916e-05, 1.38874e-05, 2.41263e-05, 1.38874e-05, 1.42485e-05
