   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_852.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0173267, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0252121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0330975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.040983, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0488684, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0567539, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0646393, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0725248, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0804102, 0, 3.46291e-30, 0, 1.41421, -3.46291e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52968e-32, 0, 0, 2.76988e-33, 0, 0, 3.44485e-30, 0, 0
0.0882957, 0, 3.77827e-29, 0, 1.41421, -3.77827e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66899e-31, 0, 0, 3.02212e-32, 0, 0, 3.75855e-29, 0, 0
0.0961811, 0, 2.58749e-28, 0, 1.41421, -2.58749e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14298e-30, 0, 0, 2.06965e-31, 0, 0, 2.57399e-28, 0, 0
0.104067, 0, 1.41634e-27, 0, 1.41421, -1.41634e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25645e-30, 0, 0, 1.13532e-30, 0, 0, 1.40895e-27, 0, 0
0.111952, 0, 6.75236e-27, 0, 1.41421, -6.75236e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98272e-29, 0, 0, 5.43803e-30, 0, 0, 6.71709e-27, 0, 0
0.119837, 0, 2.92175e-26, 0, 1.41421, -2.92175e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29062e-28, 0, 0, 2.36821e-29, 0, 0, 2.90648e-26, 0, 0
0.127723, 0, 1.17432e-25, 0, 1.41421, -1.17432e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18729e-28, 0, 0, 9.58978e-29, 0, 0, 1.16818e-25, 0, 0
0.135608, 0, 4.44782e-25, 0, 1.41421, -4.44782e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9647e-27, 0, 0, 3.66171e-28, 0, 0, 4.42451e-25, 0, 0
0.143494, 0, 1.60292e-24, 0, 1.41421, -1.60292e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08041e-27, 0, 0, 1.3309e-27, 0, 0, 1.59451e-24, 0, 0
0.151379, 0, 5.53411e-24, 0, 1.41421, -5.53411e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44451e-26, 0, 0, 4.63569e-27, 0, 0, 5.50503e-24, 0, 0
0.159265, 0, 1.83974e-23, 0, 1.41421, -1.83974e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12637e-26, 0, 0, 1.55515e-26, 0, 0, 1.83006e-23, 0, 0
0.16715, 0, 5.91183e-23, 0, 1.41421, -5.91183e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61131e-25, 0, 0, 5.04429e-26, 0, 0, 5.88067e-23, 0, 0
0.175036, 0, 1.84196e-22, 0, 1.41421, -1.84196e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13603e-25, 0, 0, 1.58683e-25, 0, 0, 1.83223e-22, 0, 0
0.182921, 0, 5.57838e-22, 0, 1.41421, -5.57838e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46398e-24, 0, 0, 4.85338e-25, 0, 0, 5.54888e-22, 0, 0
0.190806, 0, 1.64548e-21, 0, 1.41421, -1.64548e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26806e-24, 0, 0, 1.44621e-24, 0, 0, 1.63677e-21, 0, 0
0.198692, 0, 4.73564e-21, 0, 1.41421, -4.73564e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0917e-23, 0, 0, 4.20572e-24, 0, 0, 4.71052e-21, 0, 0
0.206577, 0, 1.33165e-20, 0, 1.41421, -1.33165e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88176e-23, 0, 0, 1.19536e-23, 0, 0, 1.32457e-20, 0, 0
0.214463, 0, 3.66323e-20, 0, 1.41421, -3.66323e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61799e-22, 0, 0, 3.32471e-23, 0, 0, 3.64372e-20, 0, 0
0.222348, 0, 9.86872e-20, 0, 1.41421, -9.86872e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35882e-22, 0, 0, 9.05873e-23, 0, 0, 9.81607e-20, 0, 0
0.230234, 0, 2.60604e-19, 0, 1.41421, -2.60604e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15103e-21, 0, 0, 2.42018e-22, 0, 0, 2.59211e-19, 0, 0
0.238119, 0, 6.75113e-19, 0, 1.41421, -6.75113e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98178e-21, 0, 0, 6.34532e-22, 0, 0, 6.71496e-19, 0, 0
