   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_638.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0116563, 0, 4.07217e-21, 0, 1.41421, -4.07217e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94081e-22, 0, 3.17809e-21, 0, 0, 0
0.0195151, 0, 8.99651e-21, 0, 1.41421, -8.99651e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0025e-21, 0, 6.99401e-21, 0, 0, 0
0.0273739, 0, 1.96123e-20, 0, 1.41421, -1.96123e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42414e-21, 0, 1.51882e-20, 0, 0, 0
0.0352327, 0, 4.22135e-20, 0, 1.41421, -4.22135e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64806e-21, 0, 3.25654e-20, 0, 0, 0
0.0430914, 0, 8.97575e-20, 0, 1.41421, -8.97575e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07808e-20, 0, 6.89767e-20, 0, 0, 0
0.0509502, 0, 1.88622e-19, 0, 1.41421, -1.88622e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42306e-20, 0, 1.44391e-19, 0, 0, 0
0.058809, 0, 3.91919e-19, 0, 1.41421, -3.91919e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30738e-20, 0, 2.98845e-19, 0, 0, 0
0.0666678, 0, 8.05467e-19, 0, 1.41421, -8.05467e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93712e-19, 0, 6.11754e-19, 0, 0, 0
0.0745266, 0, 1.63792e-18, 0, 1.41421, -1.63792e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98912e-19, 0, 1.23901e-18, 0, 0, 0
0.0823854, 0, 3.29662e-18, 0, 1.41421, -3.29662e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1309e-19, 0, 2.48353e-18, 0, 0, 0
0.0902442, 0, 6.56893e-18, 0, 1.41421, -6.56893e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64089e-18, 0, 4.92804e-18, 0, 0, 0
0.098103, 0, 1.29623e-17, 0, 1.41421, -1.29623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27962e-18, 0, 9.6827e-18, 0, 0, 0
0.105962, 0, 2.5336e-17, 0, 1.41421, -2.5336e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4937e-18, 0, 1.88423e-17, 0, 0, 0
0.113821, 0, 4.90631e-17, 0, 1.41421, -4.90631e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27407e-17, 0, 3.63224e-17, 0, 0, 0
0.121679, 0, 9.4151e-17, 0, 1.41421, -9.4151e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47759e-17, 0, 6.93751e-17, 0, 0, 0
0.129538, 0, 1.79073e-16, 0, 1.41421, -1.79073e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77636e-17, 0, 1.3131e-16, 0, 0, 0
0.137397, 0, 3.37637e-16, 0, 1.41421, -3.37637e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13036e-17, 0, 2.46333e-16, 0, 0, 0
0.145256, 0, 6.31184e-16, 0, 1.41421, -6.31184e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73096e-16, 0, 4.58088e-16, 0, 0, 0
0.153114, 0, 1.17009e-15, 0, 1.41421, -1.17009e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25517e-16, 0, 8.44571e-16, 0, 0, 0
0.160973, 0, 2.1513e-15, 0, 1.41421, -2.1513e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07329e-16, 0, 1.54397e-15, 0, 0, 0
0.168832, 0, 3.92343e-15, 0, 1.41421, -3.92343e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12438e-15, 0, 2.79905e-15, 0, 0, 0
0.176691, 0, 7.09855e-15, 0, 1.41421, -7.09855e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06587e-15, 0, 5.03267e-15, 0, 0, 0
0.18455, 0, 1.27429e-14, 0, 1.41421, -1.27429e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7676e-15, 0, 8.97527e-15, 0, 0, 0
0.192408, 0, 2.26992e-14, 0, 1.41421, -2.26992e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82115e-15, 0, 1.58781e-14, 0, 0, 0
0.200267, 0, 4.01282e-14, 0, 1.41421, -4.01282e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22613e-14, 0, 2.78669e-14, 0, 0, 0
0.208126, 0, 7.0409e-14, 0, 1.41421, -7.0409e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18856e-14, 0, 4.85234e-14, 0, 0, 0
0.215985, 0, 1.22629e-13, 0, 1.41421, -1.22629e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8795e-14, 0, 8.38339e-14, 0, 0, 0
0.223844, 0, 2.12024e-13, 0, 1.41421, -2.12024e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8303e-14, 0, 1.43721e-13, 0, 0, 0
