   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.241254, 0, 8.17179e-25, 0, 1.41421, -8.17179e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02718e-27, 0, 3.50814e-30, 7.12705e-29, 8.15077e-25, 0, 0
0.249463, 0, 4.46321e-24, 0, 1.41421, -4.46321e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10718e-26, 0, 1.91851e-29, 4.31772e-28, 4.45169e-24, 0, 0
0.257672, 0, 2.29205e-23, 0, 1.41421, -2.29205e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68578e-26, 0, 9.87527e-29, 2.435e-27, 2.28611e-23, 0, 0
0.265881, 0, 1.09067e-22, 0, 1.41421, -1.09067e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70556e-25, 0, 4.71032e-28, 1.24436e-26, 1.08784e-22, 0, 0
0.27409, 0, 4.877e-22, 0, 1.41421, -4.877e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2098e-24, 0, 2.11147e-27, 5.89762e-26, 4.86429e-22, 0, 0
0.282299, 0, 2.06795e-21, 0, 1.41421, -2.06795e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12977e-24, 0, 8.97657e-27, 2.62789e-25, 2.06255e-21, 0, 0
0.290508, 0, 8.36786e-21, 0, 1.41421, -8.36786e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07572e-23, 0, 3.64246e-26, 1.11073e-24, 8.34596e-21, 0, 0
0.298717, 0, 3.2466e-20, 0, 1.41421, -3.2466e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05344e-23, 0, 1.41743e-25, 4.48158e-24, 3.23808e-20, 0, 0
0.306926, 0, 1.2122e-19, 0, 1.41421, -1.2122e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00695e-22, 0, 5.30923e-25, 1.73435e-23, 1.20902e-19, 0, 0
0.315135, 0, 4.3685e-19, 0, 1.41421, -4.3685e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08363e-21, 0, 1.91988e-24, 6.46147e-23, 4.357e-19, 0, 0
