   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_159.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0855607, 0, 1.65274e-15, 0, 1.41421, -1.65274e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30106e-18, 0, 6.8108e-20, 6.18006e-19, 0, 1.64275e-15, 0, 0, 0
0.0934292, 0, 2.8978e-15, 0, 1.41421, -2.8978e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63076e-17, 0, 1.21773e-19, 1.11191e-18, 0, 2.88025e-15, 0, 0, 0
0.101298, 0, 5.04289e-15, 0, 1.41421, -5.04289e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8379e-17, 0, 2.16147e-19, 1.98694e-18, 0, 5.0123e-15, 0, 0, 0
0.109166, 0, 8.71122e-15, 0, 1.41421, -8.71122e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90221e-17, 0, 3.80925e-19, 3.52689e-18, 0, 8.65829e-15, 0, 0, 0
0.117035, 0, 1.49886e-14, 0, 1.41421, -1.49886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.43469e-17, 0, 6.70187e-19, 6.26111e-18, 0, 1.48974e-14, 0, 0, 0
0.124903, 0, 2.55083e-14, 0, 1.41421, -2.55083e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43543e-16, 0, 1.16409e-18, 1.09636e-17, 0, 2.53526e-14, 0, 0, 0
0.132772, 0, 4.31037e-14, 0, 1.41421, -4.31037e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42555e-16, 0, 2.00827e-18, 1.90771e-17, 0, 4.284e-14, 0, 0, 0
0.14064, 0, 7.2325e-14, 0, 1.41421, -7.2325e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06987e-16, 0, 3.4415e-18, 3.29886e-17, 0, 7.18816e-14, 0, 0, 0
0.148509, 0, 1.20513e-13, 0, 1.41421, -1.20513e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78141e-16, 0, 5.85872e-18, 5.66959e-17, 0, 1.19772e-13, 0, 0, 0
0.156377, 0, 1.99422e-13, 0, 1.41421, -1.99422e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12217e-15, 0, 9.9089e-18, 9.68532e-17, 0, 1.98193e-13, 0, 0, 0
0.164246, 0, 3.27746e-13, 0, 1.41421, -3.27746e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84424e-15, 0, 1.66518e-17, 1.64473e-16, 0, 3.2572e-13, 0, 0, 0
0.172114, 0, 5.34989e-13, 0, 1.41421, -5.34989e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0104e-15, 0, 2.78068e-17, 2.7768e-16, 0, 5.31673e-13, 0, 0, 0
0.179983, 0, 8.67408e-13, 0, 1.41421, -8.67408e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88095e-15, 0, 4.61473e-17, 4.66119e-16, 0, 8.62015e-13, 0, 0, 0
0.187851, 0, 1.39698e-12, 0, 1.41421, -1.39698e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86097e-15, 0, 7.61186e-17, 7.7801e-16, 0, 1.38827e-12, 0, 0, 0
0.19572, 0, 2.23496e-12, 0, 1.41421, -2.23496e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25766e-14, 0, 1.24812e-16, 1.29137e-15, 0, 2.22097e-12, 0, 0, 0
0.203588, 0, 3.55205e-12, 0, 1.41421, -3.55205e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99887e-14, 0, 2.03465e-16, 2.13175e-15, 0, 3.52973e-12, 0, 0, 0
0.211457, 0, 5.6084e-12, 0, 1.41421, -5.6084e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15619e-14, 0, 3.29808e-16, 3.50013e-15, 0, 5.57301e-12, 0, 0, 0
0.219325, 0, 8.79768e-12, 0, 1.41421, -8.79768e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95129e-14, 0, 5.31671e-16, 5.71662e-15, 0, 8.74192e-12, 0, 0, 0
0.227194, 0, 1.37114e-11, 0, 1.41421, -1.37114e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71734e-14, 0, 8.5254e-16, 9.28856e-15, 0, 1.36241e-11, 0, 0, 0
0.235062, 0, 2.12324e-11, 0, 1.41421, -2.12324e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19518e-13, 0, 1.36009e-15, 1.50163e-14, 0, 2.10966e-11, 0, 0, 0
0.242931, 0, 3.26691e-11, 0, 1.41421, -3.26691e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83921e-13, 0, 2.15923e-15, 2.41567e-14, 0, 3.24589e-11, 0, 0, 0
0.250799, 0, 4.99473e-11, 0, 1.41421, -4.99473e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81244e-13, 0, 3.4121e-15, 3.86751e-14, 0, 4.9624e-11, 0, 0, 0
0.258668, 0, 7.58822e-11, 0, 1.41421, -7.58822e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27376e-13, 0, 5.36856e-15, 6.16321e-14, 0, 7.53878e-11, 0, 0, 0
0.266536, 0, 1.14561e-10, 0, 1.41421, -1.14561e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45401e-13, 0, 8.41278e-15, 9.77753e-14, 0, 1.13809e-10, 0, 0, 0
0.274405, 0, 1.71877e-10, 1.82169e-44, 1.41421, -1.71877e-10, 0, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 1.82169e-44, 9.68642e-13, 1.82169e-44, 1.31345e-14, 1.54444e-13, 1.82169e-44, 1.70741e-10, 1.82169e-44, 1.82169e-44, 1.82169e-44
0.282273, 0, 2.56272e-10, 3.26503e-43, 1.41421, -2.56272e-10, 0, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 3.26503e-43, 1.44488e-12, 3.26503e-43, 2.04379e-14, 2.42946e-13, 3.26503e-43, 2.54564e-10, 3.26503e-43, 3.26503e-43, 3.26503e-43
0.290142, 0, 3.79753e-10, 4.94518e-42, 1.41421, -3.79753e-10, 0, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 4.94518e-42, 2.1422e-12, 4.94518e-42, 3.17083e-14, 3.80648e-13, 4.94518e-42, 3.77199e-10, 4.94518e-42, 4.94518e-42, 4.94518e-42
0.29801, 0, 5.59288e-10, 6.64131e-41, 1.41421, -5.59288e-10, 0, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 6.64131e-41, 3.15696e-12, 6.64131e-41, 4.9068e-14, 5.94151e-13, 6.64131e-41, 5.55488e-10, 6.64131e-41, 6.64131e-41, 6.64131e-41
0.305879, 0, 8.18691e-10, 7.9762e-40, 1.41421, -8.18691e-10, 0, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 7.9762e-40, 4.6247e-12, 7.9762e-40, 7.57687e-14, 9.24092e-13, 7.9762e-40, 8.13066e-10, 7.9762e-40, 7.9762e-40, 7.9762e-40
0.313747, 0, 1.19117e-09, 8.63129e-39, 1.41421, -1.19117e-09, 0, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 8.63129e-39, 6.73488e-12, 8.63129e-39, 1.16795e-13, 1.43241e-12, 8.63129e-39, 1.18288e-09, 8.63129e-39, 8.63129e-39, 8.63129e-39
