   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_820.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0118118, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00394519, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00392141, 0, 3.81989e-16, 0, 1.41421, -3.81989e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5828e-18, 0, 0, 3.15667e-18, 0, 0, 3.7425e-16, 0, 0, 0
0.011788, 0, 6.31683e-16, 0, 1.41421, -6.31683e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57734e-18, 0, 0, 5.30978e-18, 0, 0, 6.18796e-16, 0, 0, 0
0.0196546, 0, 1.03883e-15, 0, 1.41421, -1.03883e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24595e-17, 0, 0, 8.88379e-18, 0, 0, 1.01749e-15, 0, 0, 0
0.0275212, 0, 1.6991e-15, 0, 1.41421, -1.6991e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03755e-17, 0, 0, 1.47851e-17, 0, 0, 1.66394e-15, 0, 0, 0
0.0353878, 0, 2.76404e-15, 0, 1.41421, -2.76404e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31408e-17, 0, 0, 2.44782e-17, 0, 0, 2.70642e-15, 0, 0, 0
0.0432544, 0, 4.47243e-15, 0, 1.41421, -4.47243e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36159e-17, 0, 0, 4.03178e-17, 0, 0, 4.37849e-15, 0, 0, 0
0.051121, 0, 7.19846e-15, 0, 1.41421, -7.19846e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62817e-17, 0, 0, 6.60699e-17, 0, 0, 7.04611e-15, 0, 0, 0
0.0589876, 0, 1.15254e-14, 0, 1.41421, -1.15254e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38121e-16, 0, 0, 1.07729e-16, 0, 0, 1.12795e-14, 0, 0, 0
0.0668542, 0, 1.83572e-14, 0, 1.41421, -1.83572e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19956e-16, 0, 0, 1.74786e-16, 0, 0, 1.79624e-14, 0, 0, 0
0.0747208, 0, 2.90878e-14, 0, 1.41421, -2.90878e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48469e-16, 0, 0, 2.82196e-16, 0, 0, 2.84572e-14, 0, 0, 0
0.0825874, 0, 4.58551e-14, 0, 1.41421, -4.58551e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49239e-16, 0, 0, 4.53412e-16, 0, 0, 4.48524e-14, 0, 0, 0
0.090454, 0, 7.19202e-14, 0, 1.41421, -7.19202e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61279e-16, 0, 0, 7.25035e-16, 0, 0, 7.03339e-14, 0, 0, 0
0.0983206, 0, 1.12232e-13, 0, 1.41421, -1.12232e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34377e-15, 0, 0, 1.15391e-15, 0, 0, 1.09734e-13, 0, 0, 0
0.106187, 0, 1.74258e-13, 0, 1.41421, -1.74258e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08602e-15, 0, 0, 1.82796e-15, 0, 0, 1.70344e-13, 0, 0, 0
0.114054, 0, 2.69215e-13, 0, 1.41421, -2.69215e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22209e-15, 0, 0, 2.88247e-15, 0, 0, 2.63111e-13, 0, 0, 0
0.12192, 0, 4.13852e-13, 0, 1.41421, -4.13852e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95215e-15, 0, 0, 4.52484e-15, 0, 0, 4.04375e-13, 0, 0, 0
0.129787, 0, 6.33053e-13, 0, 1.41421, -6.33053e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57355e-15, 0, 0, 7.07153e-15, 0, 0, 6.18408e-13, 0, 0, 0
0.137654, 0, 9.636e-13, 0, 1.41421, -9.636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15256e-14, 0, 0, 1.10038e-14, 0, 0, 9.4107e-13, 0, 0, 0
0.14552, 0, 1.45957e-12, 0, 1.41421, -1.45957e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74541e-14, 0, 0, 1.70503e-14, 0, 0, 1.42506e-12, 0, 0, 0
0.153387, 0, 2.20004e-12, 0, 1.41421, -2.20004e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63034e-14, 0, 0, 2.63101e-14, 0, 0, 2.14743e-12, 0, 0, 0
0.161253, 0, 3.30011e-12, 0, 1.41421, -3.30011e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94471e-14, 0, 0, 4.04359e-14, 0, 0, 3.22023e-12, 0, 0, 0
0.16912, 0, 4.92636e-12, 0, 1.41421, -4.92636e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8873e-14, 0, 0, 6.19043e-14, 0, 0, 4.80558e-12, 0, 0, 0
0.176987, 0, 7.31864e-12, 0, 1.41421, -7.31864e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7443e-14, 0, 0, 9.44161e-14, 0, 0, 7.13678e-12, 0, 0, 0
0.184853, 0, 1.08206e-11, 0, 1.41421, -1.08206e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29256e-13, 0, 0, 1.43487e-13, 0, 0, 1.05478e-11, 0, 0, 0
0.19272, 0, 1.59219e-11, 0, 1.41421, -1.59219e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90152e-13, 0, 0, 2.17318e-13, 0, 0, 1.55145e-11, 0, 0, 0
0.200586, 0, 2.33172e-11, 0, 1.41421, -2.33172e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78411e-13, 0, 0, 3.28082e-13, 0, 0, 2.27107e-11, 0, 0, 0
0.208453, 0, 3.39858e-11, 0, 1.41421, -3.39858e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05709e-13, 0, 0, 4.93815e-13, 0, 0, 3.30863e-11, 0, 0, 0
0.21632, 0, 4.93026e-11, 0, 1.41421, -4.93026e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88431e-13, 0, 0, 7.41212e-13, 0, 0, 4.7973e-11, 0, 0, 0
0.224186, 0, 7.11876e-11, 0, 1.41421, -7.11876e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49453e-13, 0, 0, 1.10976e-12, 0, 0, 6.92284e-11, 0, 0, 0
0.232053, 0, 1.02308e-10, 0, 1.41421, -1.02308e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22055e-12, 0, 0, 1.65782e-12, 0, 0, 9.94298e-11, 0, 0, 0
0.239919, 0, 1.46352e-10, 0, 1.41421, -1.46352e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74565e-12, 0, 0, 2.47169e-12, 0, 0, 1.42135e-10, 0, 0, 0
0.247786, 0, 2.08392e-10, 2.70451e-43, 1.41421, -2.08392e-10, 0, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.70451e-43, 2.48516e-12, 2.70451e-43, 2.70451e-43, 3.679e-12, 2.70451e-43, 2.70451e-43, 2.02228e-10, 2.70451e-43, 2.70451e-43, 2.70451e-43
0.255653, 0, 2.95372e-10, 4.44212e-42, 1.41421, -2.95372e-10, 0, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 4.44212e-42, 3.52173e-12, 4.44212e-42, 4.44212e-42, 5.46856e-12, 4.44212e-42, 4.44212e-42, 2.86381e-10, 4.44212e-42, 4.44212e-42, 4.44212e-42
0.263519, 0, 4.16752e-10, 6.12998e-41, 1.41421, -4.16752e-10, 0, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 6.12998e-41, 4.96798e-12, 6.12998e-41, 6.12998e-41, 8.12005e-12, 6.12998e-41, 6.12998e-41, 4.03664e-10, 6.12998e-41, 6.12998e-41, 6.12998e-41
0.271386, 0, 5.85359e-10, 7.49958e-40, 1.41421, -5.85359e-10, 0, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 7.49958e-40, 6.97649e-12, 7.49958e-40, 7.49958e-40, 1.20481e-11, 7.49958e-40, 7.49958e-40, 5.66334e-10, 7.49958e-40, 7.49958e-40, 7.49958e-40
0.279252, 0, 8.18502e-10, 8.24288e-39, 1.41421, -8.18502e-10, 0, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 8.24288e-39, 9.75313e-12, 8.24288e-39, 8.24288e-39, 1.78678e-11, 8.24288e-39, 8.24288e-39, 7.90881e-10, 8.24288e-39, 8.24288e-39, 8.24288e-39
