   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0018086, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00606209, 0, 7.00378e-19, 0, 1.41421, -7.00378e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05202e-21, 0, 0, 6.60058e-24, 4.98421e-21, 0, 6.90335e-19, 0, 0
0.0139328, 0, 1.35658e-18, 0, 1.41421, -1.35658e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78419e-21, 0, 0, 1.29712e-23, 9.81959e-21, 0, 1.33697e-18, 0, 0
0.0218035, 0, 2.60421e-18, 0, 1.41421, -2.60421e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87802e-20, 0, 0, 2.52679e-23, 1.91775e-20, 0, 2.56622e-18, 0, 0
0.0296742, 0, 4.95586e-18, 0, 1.41421, -4.95586e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57344e-20, 0, 0, 4.88033e-23, 3.71369e-20, 0, 4.88294e-18, 0, 0
0.0375449, 0, 9.35125e-18, 0, 1.41421, -9.35125e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74184e-20, 0, 0, 9.34799e-23, 7.13254e-20, 0, 9.21241e-18, 0, 0
0.0454156, 0, 1.7499e-17, 0, 1.41421, -1.7499e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26142e-19, 0, 0, 1.77609e-22, 1.35897e-19, 0, 1.72368e-17, 0, 0
0.0532862, 0, 3.24806e-17, 0, 1.41421, -3.24806e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34104e-19, 0, 0, 3.34789e-22, 2.56915e-19, 0, 3.19893e-17, 0, 0
0.0611569, 0, 5.98102e-17, 0, 1.41421, -5.98102e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31017e-19, 0, 0, 6.26197e-22, 4.82028e-19, 0, 5.88966e-17, 0, 0
0.0690276, 0, 1.09278e-16, 0, 1.41421, -1.09278e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87381e-19, 0, 0, 1.1624e-21, 8.97717e-19, 0, 1.07592e-16, 0, 0
0.0768983, 0, 1.98133e-16, 0, 1.41421, -1.98133e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42737e-18, 0, 0, 2.14173e-21, 1.65982e-18, 0, 1.95044e-16, 0, 0
