   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.129542, 0, 3.32427e-11, 0, 1.41421, -3.32427e-11, 0, 0, 0, 0, 0, 0, 0, 9.07745e-14, 0, 0, 4.10085e-16, 1.08762e-14, 0, 3.31407e-11, 0, 0
0.137426, 0, 5.17985e-11, 0, 1.41421, -5.17985e-11, 0, 0, 0, 0, 0, 0, 0, 1.41447e-13, 0, 0, 6.54786e-16, 1.76757e-14, 0, 5.16387e-11, 0, 0
0.145309, 0, 8.02207e-11, 0, 1.41421, -8.02207e-11, 0, 0, 0, 0, 0, 0, 0, 2.19067e-13, 0, 0, 1.03979e-15, 2.85735e-14, 0, 7.9972e-11, 0, 0
0.153192, 0, 1.23488e-10, 0, 1.41421, -1.23488e-10, 0, 0, 0, 0, 0, 0, 0, 3.37238e-13, 0, 0, 1.64235e-15, 4.59476e-14, 0, 1.23103e-10, 0, 0
0.161076, 0, 1.88952e-10, 0, 1.41421, -1.88952e-10, 0, 0, 0, 0, 0, 0, 0, 5.16048e-13, 0, 0, 2.58057e-15, 7.35031e-14, 0, 1.8836e-10, 0, 0
0.168959, 0, 2.87401e-10, 0, 1.41421, -2.87401e-10, 0, 0, 0, 0, 0, 0, 0, 7.84984e-13, 0, 0, 4.03425e-15, 1.16983e-13, 0, 2.86495e-10, 0, 0
0.176843, 0, 4.3456e-10, 0, 1.41421, -4.3456e-10, 0, 0, 0, 0, 0, 0, 0, 1.18705e-12, 0, 0, 6.27598e-15, 1.85246e-13, 0, 4.33181e-10, 0, 0
0.184726, 0, 6.53216e-10, 0, 1.41421, -6.53216e-10, 0, 0, 0, 0, 0, 0, 0, 1.78457e-12, 0, 0, 9.71741e-15, 2.9189e-13, 0, 6.51129e-10, 0, 0
0.192609, 0, 9.76431e-10, 0, 1.41421, -9.76431e-10, 0, 0, 0, 0, 0, 0, 0, 2.66808e-12, 0, 0, 1.5001e-14, 4.58414e-13, 0, 9.73289e-10, 0, 0
0.200493, 0, 1.4507e-09, 0, 1.41421, -1.4507e-09, 0, 0, 0, 0, 0, 0, 0, 3.96486e-12, 0, 0, 2.30242e-14, 7.15331e-13, 0, 1.446e-09, 0, 0
0.208376, 0, 2.14296e-09, 0, 1.41421, -2.14296e-09, 0, 0, 0, 0, 0, 0, 0, 5.85836e-12, 0, 0, 3.51965e-14, 1.11103e-12, 0, 2.13596e-09, 0, 0
0.216259, 0, 3.14752e-09, 0, 1.41421, -3.14752e-09, 0, 0, 0, 0, 0, 0, 0, 8.60729e-12, 0, 0, 5.36024e-14, 1.71777e-12, 0, 3.13714e-09, 0, 0
0.224143, 0, 4.5968e-09, 0, 1.41421, -4.5968e-09, 0, 0, 0, 0, 0, 0, 0, 1.25754e-11, 0, 0, 8.13517e-14, 2.64405e-12, 0, 4.5815e-09, 0, 0
0.232026, 0, 6.67567e-09, 0, 1.41421, -6.67567e-09, 0, 0, 0, 0, 0, 0, 0, 1.82709e-11, 0, 0, 1.2308e-13, 4.05225e-12, 0, 6.65323e-09, 0, 0
0.239909, 0, 9.64055e-09, 0, 1.41421, -9.64055e-09, 0, 0, 0, 0, 0, 0, 0, 2.64002e-11, 0, 0, 1.8569e-13, 6.1844e-12, 0, 9.60778e-09, 0, 0
0.247793, 0, 1.38451e-08, 1.09582e-42, 1.41421, -1.38451e-08, 0, 1.09582e-42, 1.09582e-42, 1.09582e-42, 1.09582e-42, 1.09582e-42, 1.09582e-42, 3.79392e-11, 1.09582e-42, 1.09582e-42, 2.79465e-13, 9.40014e-12, 1.09582e-42, 1.37975e-08, 1.09582e-42, 1.09582e-42
0.255676, 0, 1.97739e-08, 1.88489e-41, 1.41421, -1.97739e-08, 0, 1.88489e-41, 1.88489e-41, 1.88489e-41, 1.88489e-41, 1.88489e-41, 1.88489e-41, 5.42283e-11, 1.88489e-41, 1.88489e-41, 4.19725e-13, 1.42321e-11, 1.88489e-41, 1.9705e-08, 1.88489e-41, 1.88489e-41
0.26356, 0, 2.80874e-08, 2.71478e-40, 1.41421, -2.80874e-08, 0, 2.71478e-40, 2.71478e-40, 2.71478e-40, 2.71478e-40, 2.71478e-40, 2.71478e-40, 7.70985e-11, 2.71478e-40, 2.71478e-40, 6.29302e-13, 2.14666e-11, 2.71478e-40, 2.79882e-08, 2.71478e-40, 2.71478e-40
0.271443, 0, 3.96796e-08, 3.46548e-39, 1.41421, -3.96796e-08, 0, 3.46548e-39, 3.46548e-39, 3.46548e-39, 3.46548e-39, 3.46548e-39, 3.46548e-39, 1.09037e-10, 3.46548e-39, 3.46548e-39, 9.42252e-13, 3.22615e-11, 3.46548e-39, 3.95374e-08, 3.46548e-39, 3.46548e-39
0.279326, 0, 5.57548e-08, 3.96975e-38, 1.41421, -5.57548e-08, 0, 3.96975e-38, 3.96975e-38, 3.96975e-38, 3.96975e-38, 3.96975e-38, 3.96975e-38, 1.53406e-10, 3.96975e-38, 3.96975e-38, 1.40943e-12, 4.83168e-11, 3.96975e-38, 5.55516e-08, 3.96975e-38, 3.96975e-38
0.28721, 0, 7.79242e-08, 4.10465e-37, 1.41421, -7.79242e-08, 0, 4.10465e-37, 4.10465e-37, 4.10465e-37, 4.10465e-37, 4.10465e-37, 4.10465e-37, 2.14723e-10, 4.10465e-37, 4.10465e-37, 2.1068e-12, 7.21222e-11, 4.10465e-37, 7.76353e-08, 4.10465e-37, 4.10465e-37
0.295093, 0, 1.08332e-07, 3.85315e-36, 1.41421, -1.08332e-07, 0, 3.85315e-36, 3.85315e-36, 3.85315e-36, 3.85315e-36, 3.85315e-36, 3.85315e-36, 2.99029e-10, 3.85315e-36, 3.85315e-36, 3.14798e-12, 1.07315e-10, 3.85315e-36, 1.07923e-07, 3.85315e-36, 3.85315e-36
0.302976, 0, 1.49816e-07, 3.30088e-35, 1.41421, -1.49816e-07, 0, 3.30088e-35, 3.30088e-35, 3.30088e-35, 3.30088e-35, 3.30088e-35, 3.30088e-35, 4.14361e-10, 3.30088e-35, 3.30088e-35, 4.70292e-12, 1.59198e-10, 3.30088e-35, 1.49238e-07, 3.30088e-35, 3.30088e-35
0.31086, 0, 2.06108e-07, 2.59385e-34, 1.41421, -2.06108e-07, 0, 2.59385e-34, 2.59385e-34, 2.59385e-34, 2.59385e-34, 2.59385e-34, 2.59385e-34, 5.71359e-10, 2.59385e-34, 2.59385e-34, 7.02591e-12, 2.35479e-10, 2.59385e-34, 2.05294e-07, 2.59385e-34, 2.59385e-34
0.318743, 0, 2.82088e-07, 1.87826e-33, 1.41421, -2.82088e-07, 0, 1.87826e-33, 1.87826e-33, 1.87826e-33, 1.87826e-33, 1.87826e-33, 1.87826e-33, 7.84042e-10, 1.87826e-33, 1.87826e-33, 1.04973e-11, 3.47338e-10, 1.87826e-33, 2.80946e-07, 1.87826e-33, 1.87826e-33
0.326626, 0, 3.84106e-07, 1.31516e-32, 1.41421, -3.84106e-07, 0, 1.31516e-32, 1.31516e-32, 1.31516e-32, 1.31516e-32, 1.31516e-32, 1.31516e-32, 1.0708e-09, 1.31516e-32, 1.31516e-32, 1.56858e-11, 5.10956e-10, 1.31516e-32, 3.82509e-07, 1.31516e-32, 1.31516e-32
0.33451, 0, 5.20384e-07, 2.77541e-31, 1.41421, -5.20384e-07, 0, 2.77541e-31, 2.77541e-31, 2.77541e-31, 2.77541e-31, 2.77541e-31, 2.77541e-31, 1.45567e-09, 2.77541e-31, 2.77541e-31, 2.34652e-11, 7.50015e-10, 2.77541e-31, 5.18155e-07, 2.77541e-31, 2.77541e-31
0.342393, 0, 7.01468e-07, 1.65987e-30, 1.41421, -7.01468e-07, 0, 1.65987e-30, 1.65987e-30, 1.65987e-30, 1.65987e-30, 1.65987e-30, 1.65987e-30, 1.96979e-09, 1.65987e-30, 1.65987e-30, 3.50601e-11, 1.09754e-09, 1.65987e-30, 6.98366e-07, 1.65987e-30, 1.65987e-30
0.350276, 0, 9.40883e-07, 9.27522e-30, 1.41421, -9.40883e-07, 0, 9.27522e-30, 9.27522e-30, 9.27522e-30, 9.27522e-30, 9.27522e-30, 9.27522e-30, 2.65357e-09, 9.27522e-30, 9.27522e-30, 5.23702e-11, 1.602e-09, 9.27522e-30, 9.36575e-07, 9.27522e-30, 9.27522e-30
0.35816, 0, 1.25583e-06, 4.85549e-29, 1.41421, -1.25583e-06, 0, 4.85549e-29, 4.85549e-29, 4.85549e-29, 4.85549e-29, 4.85549e-29, 4.85549e-29, 3.55907e-09, 4.85549e-29, 4.85549e-29, 7.81853e-11, 2.33234e-09, 4.85549e-29, 1.24986e-06, 4.85549e-29, 4.85549e-29
0.366043, 0, 1.66807e-06, 2.38908e-28, 1.41421, -1.66807e-06, 0, 2.38908e-28, 2.38908e-28, 2.38908e-28, 2.38908e-28, 2.38908e-28, 2.38908e-28, 4.75312e-09, 2.38908e-28, 2.38908e-28, 1.16628e-10, 3.38679e-09, 2.38908e-28, 1.65981e-06, 2.38908e-28, 2.38908e-28
0.373927, 0, 2.20502e-06, 1.10859e-27, 1.41421, -2.20502e-06, 0, 1.10859e-27, 1.10859e-27, 1.10859e-27, 1.10859e-27, 1.10859e-27, 1.10859e-27, 6.32119e-09, 1.10859e-27, 1.10859e-27, 1.73768e-10, 4.90482e-09, 1.10859e-27, 2.19362e-06, 1.10859e-27, 1.10859e-27
0.38181, 0, 2.90103e-06, 4.86519e-27, 1.41421, -2.90103e-06, 0, 4.86519e-27, 4.86519e-27, 4.86519e-27, 4.86519e-27, 4.86519e-27, 4.86519e-27, 8.37217e-09, 4.86519e-27, 4.86519e-27, 2.58502e-10, 7.08358e-09, 4.86519e-27, 2.88531e-06, 4.86519e-27, 4.86519e-27
0.389693, 0, 3.79888e-06, 2.02501e-26, 1.41421, -3.79888e-06, 0, 2.02501e-26, 2.02501e-26, 2.02501e-26, 2.02501e-26, 2.02501e-26, 2.02501e-26, 1.10442e-08, 2.02501e-26, 2.02501e-26, 3.83812e-10, 1.02005e-08, 2.02501e-26, 3.77725e-06, 2.02501e-26, 2.02501e-26
0.397577, 0, 4.95164e-06, 8.01529e-26, 1.41421, -4.95164e-06, 0, 8.01529e-26, 8.01529e-26, 8.01529e-26, 8.01529e-26, 8.01529e-26, 8.01529e-26, 1.45121e-08, 8.01529e-26, 8.01529e-26, 5.6855e-10, 1.46441e-08, 8.01529e-26, 4.92191e-06, 8.01529e-26, 8.01529e-26
0.40546, 0, 6.42479e-06, 3.02469e-25, 1.41421, -6.42479e-06, 0, 3.02469e-25, 3.02469e-25, 3.02469e-25, 3.02469e-25, 3.02469e-25, 3.02469e-25, 1.89958e-08, 3.02469e-25, 3.02469e-25, 8.39947e-10, 2.09556e-08, 3.02469e-25, 6.384e-06, 3.02469e-25, 3.02469e-25
0.413343, 0, 8.29874e-06, 1.09084e-24, 1.41421, -8.29874e-06, 0, 1.09084e-24, 1.09084e-24, 1.09084e-24, 1.09084e-24, 1.09084e-24, 1.09084e-24, 2.47717e-08, 1.09084e-24, 1.09084e-24, 1.23712e-09, 2.98851e-08, 1.09084e-24, 8.24284e-06, 1.09084e-24, 1.09084e-24
0.421227, 0, 1.06739e-05, 3.81479e-24, 1.41421, -1.06739e-05, 0, 2.10474e-13, 5.31868e-13, 1.45341e-12, 6.14488e-13, 5.18499e-11, 1.80803e-10, 3.21856e-08, 5.0639e-12, 3.07665e-13, 1.81595e-09, 4.24656e-08, 1.03108e-14, 1.05964e-05, 3.81479e-24, 8.36395e-10
0.42911, 0, 1.36871e-05, 1.72328e-08, 1.41421, -1.36871e-05, 1.72328e-08, 1.72334e-08, 1.72344e-08, 1.72372e-08, 1.72347e-08, 1.73921e-08, 1.77883e-08, 5.89005e-08, 1.72483e-08, 1.72337e-08, 1.98886e-08, 7.73442e-08, 1.72328e-08, 1.35794e-05, 1.72328e-08, 1.98026e-08
0.436993, 0, 1.74865e-05, 5.27555e-08, 1.41421, -1.74865e-05, 5.27555e-08, 5.27571e-08, 5.27594e-08, 5.27661e-08, 5.276e-08, 5.31317e-08, 5.40672e-08, 1.06508e-07, 5.27923e-08, 5.27578e-08, 5.66244e-08, 1.37502e-07, 5.27556e-08, 1.73363e-05, 5.27555e-08, 5.88233e-08
0.444877, 0, 2.22707e-05, 1.24097e-07, 1.41421, -2.22707e-05, 1.24097e-07, 1.241e-07, 1.24105e-07, 1.2412e-07, 1.24107e-07, 1.24901e-07, 1.26902e-07, 1.93196e-07, 1.24176e-07, 1.24102e-07, 1.29709e-07, 2.43066e-07, 1.24097e-07, 2.20603e-05, 1.24097e-07, 1.37073e-07
0.45276, 0, 2.82901e-05, 2.64587e-07, 1.41421, -2.82901e-05, 2.64587e-07, 2.64594e-07, 2.64604e-07, 2.64633e-07, 2.64607e-07, 2.66221e-07, 2.70286e-07, 3.53109e-07, 2.64747e-07, 2.64597e-07, 2.72693e-07, 4.30856e-07, 2.64588e-07, 2.79933e-05, 2.64587e-07, 2.90948e-07
0.460643, 0, 3.58736e-05, 5.36134e-07, 1.41421, -3.58736e-05, 5.36134e-07, 5.36147e-07, 5.36167e-07, 5.36224e-07, 5.36172e-07, 5.39347e-07, 5.47339e-07, 6.4915e-07, 5.36448e-07, 5.36153e-07, 5.47786e-07, 7.67435e-07, 5.36135e-07, 3.54509e-05, 5.36134e-07, 5.87966e-07
0.468527, 0, 4.54629e-05, 1.05182e-06, 1.41421, -4.54629e-05, 1.05182e-06, 1.05185e-06, 1.05189e-06, 1.052e-06, 1.0519e-06, 1.05799e-06, 1.07333e-06, 1.19562e-06, 1.05243e-06, 1.05186e-06, 1.06849e-06, 1.37234e-06, 1.05182e-06, 4.48538e-05, 1.05182e-06, 1.1513e-06
0.47641, 0, 5.76812e-05, 2.02471e-06, 1.41421, -5.76812e-05, 2.02471e-06, 2.02475e-06, 2.02482e-06, 2.02503e-06, 2.02484e-06, 2.03634e-06, 2.06527e-06, 2.20706e-06, 2.02584e-06, 2.02477e-06, 2.04844e-06, 2.46638e-06, 2.02471e-06, 5.67918e-05, 2.02471e-06, 2.21237e-06
0.484294, 0, 7.3373e-05, 3.79238e-06, 1.41421, -7.3373e-05, 3.79238e-06, 3.79247e-06, 3.7926e-06, 3.79298e-06, 3.79263e-06, 3.81384e-06, 3.86722e-06, 4.02286e-06, 3.79448e-06, 3.79251e-06, 3.82602e-06, 4.39794e-06, 3.79238e-06, 7.20574e-05, 3.79238e-06, 4.1386e-06
0.492177, 0, 9.38272e-05, 6.98429e-06, 1.41421, -9.38272e-05, 6.98429e-06, 6.98444e-06, 6.98469e-06, 6.98538e-06, 6.98475e-06, 7.02324e-06, 7.12012e-06, 7.27463e-06, 6.98809e-06, 6.98452e-06, 7.03171e-06, 7.81031e-06, 6.98429e-06, 9.1854e-05, 6.98429e-06, 7.61268e-06
0.50006, 0, 0.000120953, 1.26546e-05, 1.41421, -0.000120953, 1.26546e-05, 1.26548e-05, 1.26553e-05, 1.26565e-05, 1.26554e-05, 1.27241e-05, 1.28972e-05, 1.30191e-05, 1.26614e-05, 1.2655e-05, 1.27211e-05, 1.37755e-05, 1.26546e-05, 0.000117956, 1.26546e-05, 1.3777e-05
0.507944, 0, 0.000157659, 2.2566e-05, 1.41421, -0.000157659, 2.2566e-05, 2.25665e-05, 2.25673e-05, 2.25695e-05, 2.25675e-05, 2.26884e-05, 2.29927e-05, 2.30223e-05, 2.2578e-05, 2.25668e-05, 2.26589e-05, 2.40793e-05, 2.25661e-05, 0.000153055, 2.2566e-05, 2.45397e-05
0.515827, 0, 0.000208395, 3.96142e-05, 1.41421, -0.000208395, 3.96142e-05, 3.96151e-05, 3.96164e-05, 3.96202e-05, 3.96167e-05, 3.98261e-05, 4.03529e-05, 4.01834e-05, 3.96349e-05, 3.96155e-05, 3.97432e-05, 4.16465e-05, 3.96143e-05, 0.000201264, 3.96142e-05, 4.30313e-05
0.52371, 0, 0.00028, 6.84738e-05, 1.41421, -0.00028, 6.84738e-05, 6.84753e-05, 6.84775e-05, 6.84839e-05, 6.84781e-05, 6.88349e-05, 6.97332e-05, 6.91816e-05, 6.85091e-05, 6.84759e-05, 6.8652e-05, 7.11893e-05, 6.84739e-05, 0.000268895, 6.84738e-05, 7.42997e-05
0.531594, 0, 0.000382924, 0.000116559, 1.41421, -0.000382924, 0.000116559, 0.000116562, 0.000116565, 0.000116576, 0.000116566, 0.000117166, 0.000118674, 0.000117437, 0.000116618, 0.000116563, 0.000116804, 0.000120169, 0.000116559, 0.000365591, 0.000116559, 0.000126342
0.539477, 0, 0.000533091, 0.000195425, 1.41421, -0.000533091, 0.000195425, 0.000195429, 0.000195436, 0.000195453, 0.000195437, 0.000196428, 0.000198924, 0.00019651, 0.000195523, 0.000195431, 0.000195761, 0.000200202, 0.000195425, 0.000506051, 0.000195425, 0.000211608
0.54736, 0, 0.000754328, 0.000322768, 1.41421, -0.000754328, 0.000322768, 0.000322774, 0.000322784, 0.000322813, 0.000322787, 0.000324402, 0.000328469, 0.000324104, 0.000322927, 0.000322777, 0.000323225, 0.000329059, 0.000322768, 0.000712275, 0.000322768, 0.000349141
0.555244, 0, 0.00108205, 0.000525208, 1.41421, -0.00108205, 0.000525208, 0.000525218, 0.000525235, 0.000525281, 0.000525239, 0.000527833, 0.000534362, 0.000526851, 0.000525464, 0.000525223, 0.000525828, 0.000533459, 0.000525208, 0.00101699, 0.000525208, 0.000567557
0.563127, 0, 0.0015681, 0.000842105, 1.41421, -0.0015681, 0.000842105, 0.000842122, 0.000842147, 0.000842221, 0.000842154, 0.000846259, 0.000856592, 0.000844119, 0.000842511, 0.00084213, 0.000842943, 0.000852883, 0.000842106, 0.00146816, 0.000842105, 0.000909121
0.57101, 0, 0.00228728, 0.00133061, 1.41421, -0.00228728, 0.00133061, 0.00133064, 0.00133068, 0.00133079, 0.00133069, 0.00133709, 0.00135321, 0.00133307, 0.00133124, 0.00133065, 0.00133174, 0.00134464, 0.00133061, 0.00213504, 0.00133061, 0.00143514
0.578894, 0, 0.00334577, 0.00207226, 1.41421, -0.00334577, 0.00207226, 0.0020723, 0.00207236, 0.00207253, 0.00207237, 0.00208222, 0.00210699, 0.00207526, 0.00207323, 0.00207231, 0.00207377, 0.00209045, 0.00207226, 0.00311607, 0.00207226, 0.00223296
0.586777, 0, 0.00489196, 0.00318128, 1.41421, -0.00489196, 0.00318128, 0.00318134, 0.00318144, 0.00318171, 0.00318146, 0.00319638, 0.00323394, 0.00318494, 0.00318276, 0.00318137, 0.0031833, 0.00320482, 0.00318129, 0.00454901, 0.00318128, 0.00342487
0.594661, 0, 0.00712974, 0.00481489, 1.41421, -0.00712974, 0.00481489, 0.00481498, 0.00481512, 0.00481552, 0.00481516, 0.00483745, 0.00489358, 0.00481933, 0.00481709, 0.00481502, 0.00481758, 0.00484526, 0.00481489, 0.00662334, 0.00481489, 0.00517895
0.602544, 0, 0.0103345, 0.00718546, 1.41421, -0.0103345, 0.00718546, 0.0071856, 0.0071858, 0.00718639, 0.00718585, 0.00721872, 0.00730144, 0.00719085, 0.00718871, 0.00718566, 0.00718903, 0.00722457, 0.00718547, 0.00959539, 0.00718546, 0.00772203
0.610427, 0, 0.0148722, 0.0105747, 1.41421, -0.0148722, 0.0105747, 0.0105749, 0.0105752, 0.010576, 0.0105753, 0.010623, 0.0107433, 0.0105812, 0.0105794, 0.010575, 0.0105794, 0.0106249, 0.0105747, 0.0138061, 0.0105747, 0.0113547
0.618311, 0, 0.0212201, 0.0153492, 1.41421, -0.0212201, 0.0153492, 0.0153495, 0.0153499, 0.0153512, 0.01535, 0.0154185, 0.0155909, 0.0153571, 0.015356, 0.0153496, 0.0153554, 0.0154137, 0.0153492, 0.019701, 0.0153492, 0.0164677
0.626194, 0, 0.0299905, 0.0219772, 1.41421, -0.0299905, 0.0219772, 0.0219776, 0.0219782, 0.0219799, 0.0219783, 0.0220752, 0.0223191, 0.0219867, 0.0219867, 0.0219777, 0.0219854, 0.0220597, 0.0219772, 0.0278523, 0.0219772, 0.0235596
0.634077, 0, 0.0419543, 0.0310447, 1.41421, -0.0419543, 0.0310447, 0.0310452, 0.0310461, 0.0310485, 0.0310463, 0.0311816, 0.031522, 0.0310562, 0.031058, 0.0310455, 0.0310554, 0.0311501, 0.0310447, 0.0389817, 0.0310447, 0.0332537
0.641961, 0, 0.0580653, 0.043271, 1.41421, -0.0580653, 0.043271, 0.0432718, 0.0432729, 0.0432763, 0.0432732, 0.0434596, 0.0439286, 0.0432848, 0.0432894, 0.0432721, 0.0432851, 0.0434055, 0.043271, 0.0539836, 0.043271, 0.0463145
0.649844, 0, 0.0794822, 0.0595205, 1.41421, -0.0794822, 0.0595205, 0.0595215, 0.0595231, 0.0595277, 0.0595235, 0.0597769, 0.0604146, 0.0595371, 0.0595455, 0.059522, 0.0595388, 0.0596915, 0.0595205, 0.0739464, 0.0595205, 0.0636593
0.657727, 0, 0.107587, 0.0808095, 1.41421, -0.107587, 0.0808095, 0.0808109, 0.080813, 0.0808191, 0.0808136, 0.0811537, 0.0820096, 0.0808294, 0.0808431, 0.0808116, 0.0808334, 0.0810263, 0.0808096, 0.100172, 0.0808095, 0.0863662
0.665611, 0, 0.144, 0.108306, 1.41421, -0.144, 0.108306, 0.108308, 0.108311, 0.108319, 0.108312, 0.108762, 0.109897, 0.10833, 0.108351, 0.108309, 0.108337, 0.10858, 0.108306, 0.134186, 0.108306, 0.115673
0.673494, 0, 0.190582, 0.143321, 1.41421, -0.190582, 0.143321, 0.143323, 0.143327, 0.143338, 0.143328, 0.143918, 0.145403, 0.143349, 0.143379, 0.143325, 0.143361, 0.143665, 0.143321, 0.177752, 0.143321, 0.152965
0.681378, 0, 0.249437, 0.187285, 1.41421, -0.249437, 0.187285, 0.187288, 0.187293, 0.187307, 0.187294, 0.188057, 0.189976, 0.187319, 0.187361, 0.18729, 0.187337, 0.187716, 0.187285, 0.232863, 0.187285, 0.199758
0.689261, 0, 0.322894, 0.241718, 1.41421, -0.322894, 0.241718, 0.241722, 0.241728, 0.241746, 0.24173, 0.242703, 0.245155, 0.241758, 0.241814, 0.241724, 0.241784, 0.242254, 0.241718, 0.301737, 0.241718, 0.257655
0.697144, 0, 0.413497, 0.30818, 1.41421, -0.413497, 0.30818, 0.308185, 0.308192, 0.308214, 0.308194, 0.309423, 0.312516, 0.308226, 0.308301, 0.308187, 0.308264, 0.308842, 0.30818, 0.386802, 0.30818, 0.328304
0.705028, 0, 0.523965, 0.38821, 1.41421, -0.523965, 0.38821, 0.388216, 0.388226, 0.388253, 0.388228, 0.389761, 0.393617, 0.388265, 0.388361, 0.388219, 0.388317, 0.389023, 0.38821, 0.490668, 0.38821, 0.413328
0.712911, 0.969114, 0.657165, 0.483259, 1.72311, 0.311949, 0.483259, 0.483267, 0.483279, 0.483312, 0.483282, 0.48517, 0.489924, 0.483323, 0.483445, 0.483271, 0.483395, 0.48425, 0.483259, 0.616098, 0.483259, 0.514257
0.720794, 0.997576, 0.81607, 0.594605, 1.73135, 0.181506, 0.594605, 0.594615, 0.594629, 0.594671, 0.594633, 0.596935, 0.602728, 0.594679, 0.594832, 0.59462, 0.594778, 0.595802, 0.594606, 0.765975, 0.594605, 0.632438
0.728678, 1.9976, 1.00372, 0.723273, 1.9994, 0.993876, 0.723273, 0.723284, 0.723301, 0.723351, 0.723306, 0.72608, 0.733062, 0.723358, 0.723545, 0.72329, 0.723489, 0.724704, 0.723273, 0.94327, 0.723273, 0.768952
