   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_373.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.000880682, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00698108, 0, 5.55345e-24, 0, 1.41421, -5.55345e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1711e-27, 0, 0, 1.53261e-29, 0, 1.6602e-24, 0, 3.88407e-24, 0, 0
0.0148428, 0, 1.48342e-23, 0, 1.41421, -1.48342e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42995e-26, 0, 0, 4.10047e-29, 0, 4.51875e-24, 0, 1.02911e-23, 0, 0
0.0227046, 0, 3.86952e-23, 0, 1.41421, -3.86952e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2899e-26, 0, 0, 1.07202e-28, 0, 1.19938e-23, 0, 2.66384e-23, 0, 0
0.0305663, 0, 9.87671e-23, 0, 1.41421, -9.87671e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59366e-25, 0, 0, 2.74394e-28, 0, 3.11142e-23, 0, 6.74932e-23, 0, 0
0.0384281, 0, 2.47088e-22, 0, 1.41421, -2.47088e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95863e-25, 0, 0, 6.88723e-28, 0, 7.90385e-23, 0, 1.67653e-22, 0, 0
0.0462899, 0, 6.06704e-22, 0, 1.41421, -6.06704e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65322e-25, 0, 0, 1.69744e-27, 0, 1.96912e-22, 0, 4.08825e-22, 0, 0
0.0541516, 0, 1.46386e-21, 0, 1.41421, -1.46386e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3135e-24, 0, 0, 4.11261e-27, 0, 4.81748e-22, 0, 9.79793e-22, 0, 0
0.0620134, 0, 3.47419e-21, 0, 1.41421, -3.47419e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45449e-24, 0, 0, 9.80471e-27, 0, 1.15868e-21, 0, 2.31004e-21, 0, 0
0.0698751, 0, 8.11743e-21, 0, 1.41421, -8.11743e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26618e-23, 0, 0, 2.30205e-26, 0, 2.74233e-21, 0, 5.36242e-21, 0, 0
0.0777369, 0, 1.86863e-20, 0, 1.41421, -1.86863e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89606e-23, 0, 0, 5.32692e-26, 0, 6.39211e-21, 0, 1.22652e-20, 0, 0
0.0855986, 0, 4.24086e-20, 0, 1.41421, -4.24086e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53085e-23, 0, 0, 1.21562e-25, 0, 1.46843e-20, 0, 2.76589e-20, 0, 0
0.0934604, 0, 9.49439e-20, 0, 1.41421, -9.49439e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45286e-22, 0, 0, 2.73733e-25, 0, 3.32679e-20, 0, 6.15304e-20, 0, 0
0.101322, 0, 2.09791e-19, 0, 1.41421, -2.09791e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18998e-22, 0, 0, 6.08531e-25, 0, 7.43715e-20, 0, 1.35099e-19, 0, 0
0.109184, 0, 4.57732e-19, 0, 1.41421, -4.57732e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91596e-22, 0, 0, 1.33616e-24, 0, 1.6414e-19, 0, 2.92899e-19, 0, 0
0.117046, 0, 9.86561e-19, 0, 1.41421, -9.86561e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48111e-21, 0, 0, 2.89888e-24, 0, 3.57808e-19, 0, 6.27269e-19, 0, 0
0.124907, 0, 2.10128e-18, 0, 1.41421, -2.10128e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13436e-21, 0, 0, 6.21663e-24, 0, 7.70706e-19, 0, 1.32744e-18, 0, 0
0.132769, 0, 4.42425e-18, 0, 1.41421, -4.42425e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55647e-21, 0, 0, 1.31818e-23, 0, 1.64093e-18, 0, 2.77674e-18, 0, 0
0.140631, 0, 9.21129e-18, 0, 1.41421, -9.21129e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35605e-20, 0, 0, 2.76449e-23, 0, 3.45465e-18, 0, 5.74304e-18, 0, 0
0.148493, 0, 1.89692e-17, 0, 1.41421, -1.89692e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77383e-20, 0, 0, 5.73581e-23, 0, 7.19388e-18, 0, 1.17475e-17, 0, 0
0.156354, 0, 3.86488e-17, 0, 1.41421, -3.86488e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61284e-20, 0, 0, 1.17766e-22, 0, 1.48215e-17, 0, 2.3771e-17, 0, 0
