   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_425.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00245042, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0054103, 0, 1.66519e-20, 0, 1.41421, -1.66519e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00586e-21, 0, 1.46461e-20, 0, 0, 0
0.013271, 0, 3.55494e-20, 0, 1.41421, -3.55494e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35749e-21, 0, 3.11919e-20, 0, 0, 0
0.0211317, 0, 7.49922e-20, 0, 1.41421, -7.49922e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35068e-21, 0, 6.56415e-20, 0, 0, 0
0.0289924, 0, 1.56392e-19, 0, 1.41421, -1.56392e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98313e-20, 0, 1.3656e-19, 0, 0, 0
0.0368532, 0, 3.22553e-19, 0, 1.41421, -3.22553e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15879e-20, 0, 2.80965e-19, 0, 0, 0
0.0447139, 0, 6.58171e-19, 0, 1.41421, -6.58171e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62729e-20, 0, 5.71898e-19, 0, 0, 0
0.0525746, 0, 1.32914e-18, 0, 1.41421, -1.32914e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7711e-19, 0, 1.15203e-18, 0, 0, 0
0.0604353, 0, 2.65723e-18, 0, 1.41421, -2.65723e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59937e-19, 0, 2.29729e-18, 0, 0, 0
0.068296, 0, 5.26056e-18, 0, 1.41421, -5.26056e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2438e-19, 0, 4.53618e-18, 0, 0, 0
0.0761568, 0, 1.03154e-17, 0, 1.41421, -1.03154e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44407e-18, 0, 8.87137e-18, 0, 0, 0
0.0840175, 0, 2.00401e-17, 0, 1.41421, -2.00401e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85242e-18, 0, 1.71877e-17, 0, 0, 0
0.0918782, 0, 3.85796e-17, 0, 1.41421, -3.85796e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58408e-18, 0, 3.29955e-17, 0, 0, 0
0.0997389, 0, 7.44779e-17, 0, 1.41421, -7.44779e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10061e-17, 0, 6.34718e-17, 0, 0, 0
0.1076, 0, 1.40696e-16, 0, 1.41421, -1.40696e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11481e-17, 0, 1.19548e-16, 0, 0, 0
0.11546, 0, 2.63556e-16, 0, 1.41421, -2.63556e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03053e-17, 0, 2.23251e-16, 0, 0, 0
0.123321, 0, 4.89622e-16, 0, 1.41421, -4.89622e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62067e-17, 0, 4.13415e-16, 0, 0, 0
0.131182, 0, 9.02208e-16, 0, 1.41421, -9.02208e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42965e-16, 0, 7.59242e-16, 0, 0, 0
0.139043, 0, 1.64915e-15, 0, 1.41421, -1.64915e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66157e-16, 0, 1.38299e-15, 0, 0, 0
0.146903, 0, 2.9907e-15, 0, 1.41421, -2.9907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91796e-16, 0, 2.4989e-15, 0, 0, 0
0.154764, 0, 5.3814e-15, 0, 1.41421, -5.3814e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02056e-16, 0, 4.47934e-15, 0, 0, 0
0.162625, 0, 9.60881e-15, 0, 1.41421, -9.60881e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64263e-15, 0, 7.96617e-15, 0, 0, 0
0.170485, 0, 1.70271e-14, 0, 1.41421, -1.70271e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97005e-15, 0, 1.40571e-14, 0, 0, 0
0.178346, 0, 2.99469e-14, 0, 1.41421, -2.99469e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33285e-15, 0, 2.4614e-14, 0, 0, 0
0.186207, 0, 5.22802e-14, 0, 1.41421, -5.22802e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.5099e-15, 0, 4.27703e-14, 0, 0, 0
0.194068, 0, 9.06015e-14, 0, 1.41421, -9.06015e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68447e-14, 0, 7.37569e-14, 0, 0, 0
0.201928, 0, 1.55877e-13, 0, 1.41421, -1.55877e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96393e-14, 0, 1.26238e-13, 0, 0, 0
0.209789, 0, 2.66264e-13, 0, 1.41421, -2.66264e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18127e-14, 0, 2.14451e-13, 0, 0, 0
0.21765, 0, 4.51612e-13, 0, 1.41421, -4.51612e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00007e-14, 0, 3.61611e-13, 0, 0, 0
0.22551, 0, 7.6063e-13, 0, 1.41421, -7.6063e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55356e-13, 0, 6.05273e-13, 0, 0, 0
0.233371, 0, 1.27225e-12, 0, 1.41421, -1.27225e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66524e-13, 0, 1.00572e-12, 0, 0, 0
0.241232, 0, 2.11346e-12, 0, 1.41421, -2.11346e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54485e-13, 0, 1.65897e-12, 0, 0, 0
0.249093, 0, 3.48721e-12, 0, 1.41421, -3.48721e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70435e-13, 0, 2.71678e-12, 0, 0, 0
0.256953, 0, 5.71564e-12, 0, 1.41421, -5.71564e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29851e-12, 0, 4.41713e-12, 0, 0, 0
0.264814, 0, 9.30663e-12, 0, 1.41421, -9.30663e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17626e-12, 0, 7.13037e-12, 0, 0, 0
0.272675, 0, 1.50559e-11, 0, 1.41421, -1.50559e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62746e-12, 0, 1.14284e-11, 0, 0, 0
0.280535, 0, 2.42022e-11, 0, 1.41421, -2.42022e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01443e-12, 0, 1.81878e-11, 0, 0, 0
0.288396, 0, 3.86625e-11, 0, 1.41421, -3.86625e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92133e-12, 0, 2.87412e-11, 0, 0, 0
0.296257, 0, 6.13863e-11, 3.92364e-44, 1.41421, -6.13863e-11, 3.92364e-44, 0, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 3.92364e-44, 1.62862e-11, 3.92364e-44, 4.51001e-11, 3.92364e-44, 3.92364e-44, 3.92364e-44
