   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_311.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0552878, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0473707, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0394536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0315365, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236194, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157023, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00778526, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000131828, 0, 1.12351e-17, 0, 1.41421, -1.12351e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43796e-20, 0, 0, 9.56992e-20, 0, 0, 1.1075e-17, 0, 0
0.00804892, 0, 1.96004e-17, 0, 1.41421, -1.96004e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12299e-19, 0, 0, 1.6966e-19, 0, 0, 1.93184e-17, 0, 0
0.015966, 0, 3.39761e-17, 0, 1.41421, -3.39761e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94637e-19, 0, 0, 2.98909e-19, 0, 0, 3.34826e-17, 0, 0
0.0238831, 0, 5.85261e-17, 0, 1.41421, -5.85261e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35225e-19, 0, 0, 5.23403e-19, 0, 0, 5.76675e-17, 0, 0
0.0318002, 0, 1.00192e-16, 0, 1.41421, -1.00192e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7379e-19, 0, 0, 9.10991e-19, 0, 0, 9.8707e-17, 0, 0
0.0397173, 0, 1.70475e-16, 0, 1.41421, -1.70475e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76146e-19, 0, 0, 1.57622e-18, 0, 0, 1.67923e-16, 0, 0
0.0476344, 0, 2.88318e-16, 0, 1.41421, -2.88318e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65066e-18, 0, 0, 2.71134e-18, 0, 0, 2.83956e-16, 0, 0
0.0555515, 0, 4.84729e-16, 0, 1.41421, -4.84729e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77468e-18, 0, 0, 4.63715e-18, 0, 0, 4.77317e-16, 0, 0
0.0634685, 0, 8.10161e-16, 0, 1.41421, -8.10161e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63672e-18, 0, 0, 7.88594e-18, 0, 0, 7.97638e-16, 0, 0
0.0713856, 0, 1.34622e-15, 0, 1.41421, -1.34622e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70337e-18, 0, 0, 1.33359e-17, 0, 0, 1.32518e-15, 0, 0
0.0793027, 0, 2.22415e-15, 0, 1.41421, -2.22415e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27248e-17, 0, 0, 2.2428e-17, 0, 0, 2.189e-15, 0, 0
0.0872198, 0, 3.65371e-15, 0, 1.41421, -3.65371e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08997e-17, 0, 0, 3.75139e-17, 0, 0, 3.5953e-15, 0, 0
0.0951369, 0, 5.96831e-15, 0, 1.41421, -5.96831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4133e-17, 0, 0, 6.24113e-17, 0, 0, 5.87176e-15, 0, 0
0.103054, 0, 9.69471e-15, 0, 1.41421, -9.69471e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54336e-17, 0, 0, 1.03284e-16, 0, 0, 9.53599e-15, 0, 0
0.110971, 0, 1.56605e-14, 0, 1.41421, -1.56605e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95273e-17, 0, 0, 1.70031e-16, 0, 0, 1.54009e-14, 0, 0
0.118888, 0, 2.51582e-14, 0, 1.41421, -2.51582e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43794e-16, 0, 0, 2.7847e-16, 0, 0, 2.47359e-14, 0, 0
0.126805, 0, 4.01949e-14, 0, 1.41421, -4.01949e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29688e-16, 0, 0, 4.53748e-16, 0, 0, 3.95114e-14, 0, 0
0.134722, 0, 6.38702e-14, 0, 1.41421, -6.38702e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64898e-16, 0, 0, 7.35646e-16, 0, 0, 6.27696e-14, 0, 0
0.142639, 0, 1.00942e-13, 0, 1.41421, -1.00942e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76566e-16, 0, 0, 1.18679e-15, 0, 0, 9.9179e-14, 0, 0
