   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_273.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.000609364, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00725409, 0, 2.53215e-24, 0, 1.41421, -2.53215e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57586e-26, 0, 0, 0, 3.93559e-25, 0, 2.10283e-24, 0, 0
0.0151175, 0, 7.18529e-24, 0, 1.41421, -7.18529e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0088e-25, 0, 0, 0, 1.15202e-24, 0, 5.93239e-24, 0, 0
0.022981, 0, 1.97915e-23, 0, 1.41421, -1.97915e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7638e-25, 0, 0, 0, 3.26223e-24, 0, 1.62529e-23, 0, 0
0.0308444, 0, 5.30775e-23, 0, 1.41421, -5.30775e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37496e-25, 0, 0, 0, 8.97065e-24, 0, 4.33693e-23, 0, 0
0.0387079, 0, 1.38929e-22, 0, 1.41421, -1.38929e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92126e-24, 0, 0, 0, 2.40257e-23, 0, 1.12982e-22, 0, 0
0.0465714, 0, 3.5562e-22, 0, 1.41421, -3.5562e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8958e-24, 0, 0, 0, 6.28215e-23, 0, 2.87903e-22, 0, 0
0.0544348, 0, 8.9348e-22, 0, 1.41421, -8.9348e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2245e-23, 0, 0, 0, 1.61153e-22, 0, 7.20082e-22, 0, 0
0.0622983, 0, 2.20095e-21, 0, 1.41421, -2.20095e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00333e-23, 0, 0, 0, 4.04774e-22, 0, 1.76615e-21, 0, 0
0.0701617, 0, 5.32269e-21, 0, 1.41421, -5.32269e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23279e-23, 0, 0, 0, 9.97036e-22, 0, 4.25333e-21, 0, 0
0.0780252, 0, 1.3305e-20, 0, 1.41421, -1.3305e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79748e-22, 0, 0, 0, 2.55498e-21, 0, 1.05703e-20, 0, 0
0.0858886, 0, 3.09334e-20, 0, 1.41421, -3.09334e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16299e-22, 0, 0, 0, 6.03611e-21, 0, 2.44809e-20, 0, 0
0.0937521, 0, 7.08515e-20, 0, 1.41421, -7.08515e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49902e-22, 0, 0, 0, 1.40415e-20, 0, 5.58601e-20, 0, 0
0.101616, 0, 1.59973e-19, 0, 1.41421, -1.59973e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13669e-21, 0, 0, 0, 3.21857e-20, 0, 1.2565e-19, 0, 0
0.109479, 0, 3.56249e-19, 0, 1.41421, -3.56249e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74047e-21, 0, 0, 0, 7.27396e-20, 0, 2.78769e-19, 0, 0
0.117342, 0, 7.82859e-19, 0, 1.41421, -7.82859e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03783e-20, 0, 0, 0, 1.62173e-19, 0, 6.10307e-19, 0, 0
0.125206, 0, 1.69834e-18, 0, 1.41421, -1.69834e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24303e-20, 0, 0, 0, 3.56866e-19, 0, 1.31904e-18, 0, 0
0.133069, 0, 3.63871e-18, 0, 1.41421, -3.63871e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78759e-20, 0, 0, 0, 7.75431e-19, 0, 2.8154e-18, 0, 0
0.140933, 0, 7.70207e-18, 0, 1.41421, -7.70207e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00953e-19, 0, 0, 0, 1.66446e-18, 0, 5.93666e-18, 0, 0
0.148796, 0, 1.6112e-17, 0, 1.41421, -1.6112e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10368e-19, 0, 0, 0, 3.5307e-18, 0, 1.2371e-17, 0, 0
0.15666, 0, 3.33202e-17, 0, 1.41421, -3.33202e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33338e-19, 0, 0, 0, 7.40387e-18, 0, 2.5483e-17, 0, 0
0.164523, 0, 6.81395e-17, 0, 1.41421, -6.81395e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82618e-19, 0, 0, 0, 1.53535e-17, 0, 5.19034e-17, 0, 0
0.172387, 0, 1.37829e-16, 0, 1.41421, -1.37829e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77797e-18, 0, 0, 0, 3.14949e-17, 0, 1.04556e-16, 0, 0
0.18025, 0, 2.75826e-16, 0, 1.41421, -2.75826e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5431e-18, 0, 0, 0, 6.39263e-17, 0, 2.08357e-16, 0, 0
0.188113, 0, 5.46237e-16, 0, 1.41421, -5.46237e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98612e-18, 0, 0, 0, 1.28423e-16, 0, 4.10829e-16, 0, 0
0.195977, 0, 1.07071e-15, 0, 1.41421, -1.07071e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36323e-17, 0, 0, 0, 2.55408e-16, 0, 8.01666e-16, 0, 0
0.20384, 0, 2.0777e-15, 0, 1.41421, -2.0777e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63301e-17, 0, 0, 0, 5.02987e-16, 0, 1.54839e-15, 0, 0
0.211704, 0, 3.9921e-15, 0, 1.41421, -3.9921e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03457e-17, 0, 0, 0, 9.8108e-16, 0, 2.96067e-15, 0, 0
0.219567, 0, 7.59618e-15, 0, 1.41421, -7.59618e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53148e-17, 0, 0, 0, 1.89569e-15, 0, 5.60518e-15, 0, 0
0.227431, 0, 1.43164e-14, 0, 1.41421, -1.43164e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78692e-16, 0, 0, 0, 3.62936e-15, 0, 1.05084e-14, 0, 0
0.235294, 0, 2.67291e-14, 0, 1.41421, -2.67291e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31782e-16, 0, 0, 0, 6.88611e-15, 0, 1.95112e-14, 0, 0
0.243158, 0, 4.94425e-14, 0, 1.41421, -4.94425e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10167e-16, 0, 0, 0, 1.29501e-14, 0, 3.58823e-14, 0, 0
0.251021, 0, 9.0624e-14, 0, 1.41421, -9.0624e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11158e-15, 0, 0, 0, 2.41435e-14, 0, 6.53689e-14, 0, 0
