   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_135.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.128966, 0, 3.45168e-14, 0, 1.41421, -3.45168e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42701e-16, 1.55044e-18, 1.06339e-16, 0, 3.41662e-14, 0, 0
0.136848, 0, 5.70112e-14, 0, 1.41421, -5.70112e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00833e-16, 2.60899e-18, 1.80642e-16, 0, 5.64271e-14, 0, 0
0.14473, 0, 9.3594e-14, 0, 1.41421, -9.3594e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57982e-16, 4.36532e-18, 3.0524e-16, 0, 9.26264e-14, 0, 0
0.152611, 0, 1.52726e-13, 0, 1.41421, -1.52726e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07359e-15, 7.26309e-18, 5.13086e-16, 0, 1.51132e-13, 0, 0
0.160493, 0, 2.47726e-13, 0, 1.41421, -2.47726e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74124e-15, 1.20176e-17, 8.5801e-16, 0, 2.45114e-13, 0, 0
0.168375, 0, 3.9943e-13, 0, 1.41421, -3.9943e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80729e-15, 1.97763e-17, 1.42764e-15, 0, 3.95175e-13, 0, 0
0.176257, 0, 6.4023e-13, 0, 1.41421, -6.4023e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49927e-15, 3.23697e-17, 2.3636e-15, 0, 6.33334e-13, 0, 0
0.184139, 0, 1.02016e-12, 0, 1.41421, -1.02016e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16862e-15, 5.27031e-17, 3.89399e-15, 0, 1.00905e-12, 0, 0
0.192021, 0, 1.61605e-12, 0, 1.41421, -1.61605e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13549e-14, 8.53658e-17, 6.3843e-15, 0, 1.59823e-12, 0, 0
0.199903, 0, 2.54511e-12, 0, 1.41421, -2.54511e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78811e-14, 1.37574e-16, 1.04176e-14, 0, 2.51667e-12, 0, 0
0.207785, 0, 3.98503e-12, 0, 1.41421, -3.98503e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79952e-14, 2.20622e-16, 1.69196e-14, 0, 3.9399e-12, 0, 0
0.215667, 0, 6.20359e-12, 0, 1.41421, -6.20359e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35775e-14, 3.52109e-16, 2.73542e-14, 0, 6.13231e-12, 0, 0
0.223549, 0, 9.6018e-12, 0, 1.41421, -9.6018e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7444e-14, 5.59357e-16, 4.40264e-14, 0, 9.48977e-12, 0, 0
0.231431, 0, 1.47763e-11, 0, 1.41421, -1.47763e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03785e-13, 8.84623e-16, 7.05504e-14, 0, 1.46011e-11, 0, 0
0.239313, 0, 2.26098e-11, 0, 1.41421, -2.26098e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.588e-13, 1.39306e-15, 1.12574e-13, 0, 2.2337e-11, 0, 0
0.247194, 0, 3.43995e-11, 0, 1.41421, -3.43995e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41602e-13, 2.18483e-15, 1.78886e-13, 0, 3.39768e-11, 0, 0
0.255076, 0, 5.20405e-11, 0, 1.41421, -5.20405e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65508e-13, 3.41354e-15, 2.83124e-13, 0, 5.13884e-11, 0, 0
0.262958, 0, 7.82842e-11, 0, 1.41421, -7.82842e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49859e-13, 5.31429e-15, 4.46377e-13, 0, 7.72826e-11, 0, 0
