   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0182761, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.010332, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00238794, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00555616, 0, 1.32416e-22, 0, 1.41421, -1.32416e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09874e-25, 0, 0, 1.71084e-27, 1.36463e-26, 0, 1.32091e-22, 0, 0, 0
0.0135003, 0, 3.20167e-22, 0, 1.41421, -3.20167e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49236e-25, 0, 0, 4.1774e-27, 3.38927e-26, 0, 3.1938e-22, 0, 0, 0
0.0214444, 0, 7.59941e-22, 0, 1.41421, -7.59941e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77836e-24, 0, 0, 1.00149e-26, 8.2496e-26, 0, 7.5807e-22, 0, 0, 0
0.0293885, 0, 1.77302e-21, 0, 1.41421, -1.77302e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14908e-24, 0, 0, 2.36046e-26, 1.971e-25, 0, 1.76865e-21, 0, 0, 0
0.0373326, 0, 4.07055e-21, 0, 1.41421, -4.07055e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.52559e-24, 0, 0, 5.47559e-26, 4.62865e-25, 0, 4.06051e-21, 0, 0, 0
0.0452767, 0, 9.20474e-21, 0, 1.41421, -9.20474e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15401e-23, 0, 0, 1.25131e-25, 1.06962e-24, 0, 9.18201e-21, 0, 0, 0
0.0532208, 0, 2.05184e-20, 0, 1.41421, -2.05184e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80153e-23, 0, 0, 2.81939e-25, 2.43463e-24, 0, 2.04677e-20, 0, 0, 0
0.0611649, 0, 4.51191e-20, 0, 1.41421, -4.51191e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05583e-22, 0, 0, 6.26783e-25, 5.46303e-24, 0, 4.50074e-20, 0, 0, 0
0.069109, 0, 9.7934e-20, 0, 1.41421, -9.7934e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29175e-22, 0, 0, 1.37571e-24, 1.20936e-23, 0, 9.76914e-20, 0, 0, 0
0.0770531, 0, 2.09944e-19, 0, 1.41421, -2.09944e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91288e-22, 0, 0, 2.98279e-24, 2.64288e-23, 0, 2.09423e-19, 0, 0, 0
0.0849972, 0, 4.44719e-19, 0, 1.41421, -4.44719e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04068e-21, 0, 0, 6.39189e-24, 5.70499e-23, 0, 4.43615e-19, 0, 0, 0
0.0929413, 0, 9.31254e-19, 0, 1.41421, -9.31254e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17921e-21, 0, 0, 1.35437e-23, 1.21706e-22, 0, 9.2894e-19, 0, 0, 0
0.100885, 0, 1.92851e-18, 0, 1.41421, -1.92851e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51285e-21, 0, 0, 2.83869e-23, 2.56711e-22, 0, 1.92371e-18, 0, 0, 0
0.108829, 0, 3.95092e-18, 0, 1.41421, -3.95092e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24542e-21, 0, 0, 5.8875e-23, 5.35598e-22, 0, 3.94108e-18, 0, 0, 0
0.116774, 0, 8.01006e-18, 0, 1.41421, -8.01006e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8744e-20, 0, 0, 1.2087e-22, 1.10575e-21, 0, 7.99009e-18, 0, 0, 0
