   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_808.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0200763, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0121934, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0043106, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00357225, 0, 2.87689e-15, 0, 1.41421, -2.87689e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37935e-17, 0, 1.46135e-16, 0, 2.71696e-15, 0, 0, 0
0.0114551, 0, 4.67032e-15, 0, 1.41421, -4.67032e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27654e-17, 0, 2.43692e-16, 0, 4.40386e-15, 0, 0, 0
0.0193379, 0, 7.5427e-15, 0, 1.41421, -7.5427e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73829e-17, 0, 4.04477e-16, 0, 7.10084e-15, 0, 0, 0
0.0272208, 0, 1.21196e-14, 0, 1.41421, -1.21196e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10797e-17, 0, 6.68249e-16, 0, 1.13903e-14, 0, 0, 0
0.0351036, 0, 1.93758e-14, 0, 1.41421, -1.93758e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.93059e-17, 0, 1.09901e-15, 0, 1.81774e-14, 0, 0, 0
0.0429865, 0, 3.08215e-14, 0, 1.41421, -3.08215e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60671e-16, 0, 1.79929e-15, 0, 2.88615e-14, 0, 0, 0
0.0508693, 0, 4.87861e-14, 0, 1.41421, -4.87861e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58705e-16, 0, 2.93268e-15, 0, 4.55947e-14, 0, 0, 0
0.0587522, 0, 7.68431e-14, 0, 1.41421, -7.68431e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14578e-16, 0, 4.75892e-15, 0, 7.16696e-14, 0, 0, 0
0.066635, 0, 1.20447e-13, 0, 1.41421, -1.20447e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61245e-16, 0, 7.68865e-15, 0, 1.12097e-13, 0, 0, 0
0.0745179, 0, 1.87884e-13, 0, 1.41421, -1.87884e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04978e-15, 0, 1.23683e-14, 0, 1.74466e-13, 0, 0, 0
0.0824007, 0, 2.91677e-13, 0, 1.41421, -2.91677e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65898e-15, 0, 1.98107e-14, 0, 2.70207e-13, 0, 0, 0
0.0902836, 0, 4.50658e-13, 0, 1.41421, -4.50658e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60984e-15, 0, 3.15988e-14, 0, 4.16449e-13, 0, 0, 0
0.0981664, 0, 6.93015e-13, 0, 1.41421, -6.93015e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08741e-15, 0, 5.01905e-14, 0, 6.38737e-13, 0, 0, 0
0.106049, 0, 1.06072e-12, 0, 1.41421, -1.06072e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37339e-15, 0, 7.93903e-14, 0, 9.74959e-13, 0, 0, 0
0.113932, 0, 1.61599e-12, 0, 1.41421, -1.61599e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89496e-15, 0, 1.25063e-13, 0, 1.48104e-12, 0, 0, 0
0.121815, 0, 2.45059e-12, 0, 1.41421, -2.45059e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52978e-14, 0, 1.96211e-13, 0, 2.23908e-12, 0, 0, 0
0.129698, 0, 3.69919e-12, 0, 1.41421, -3.69919e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35532e-14, 0, 3.06598e-13, 0, 3.36904e-12, 0, 0, 0
0.137581, 0, 5.5586e-12, 0, 1.41421, -5.5586e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61174e-14, 0, 4.77191e-13, 0, 5.04529e-12, 0, 0, 0
0.145464, 0, 8.31493e-12, 0, 1.41421, -8.31493e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51667e-14, 0, 7.39796e-13, 0, 7.51996e-12, 0, 0, 0
0.153346, 0, 1.23823e-11, 0, 1.41421, -1.23823e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39432e-14, 0, 1.14249e-12, 0, 1.11559e-11, 0, 0, 0
0.161229, 0, 1.83574e-11, 0, 1.41421, -1.83574e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27263e-13, 0, 1.75767e-12, 0, 1.64724e-11, 0, 0, 0
0.169112, 0, 2.70957e-11, 0, 1.41421, -2.70957e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9226e-13, 0, 2.69398e-12, 0, 2.42094e-11, 0, 0, 0
0.176995, 0, 3.98187e-11, 0, 1.41421, -3.98187e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89485e-13, 0, 4.11391e-12, 0, 3.54153e-11, 0, 0, 0
0.184878, 0, 5.82624e-11, 0, 1.41421, -5.82624e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34502e-13, 0, 6.25961e-12, 0, 5.15683e-11, 0, 0, 0
0.192761, 0, 8.48837e-11, 0, 1.41421, -8.48837e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50244e-13, 0, 9.49088e-12, 0, 7.47426e-11, 0, 0, 0
0.200643, 0, 1.23144e-10, 0, 1.41421, -1.23144e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70456e-13, 0, 1.43406e-11, 0, 1.07833e-10, 0, 0, 0
0.208526, 0, 1.77901e-10, 0, 1.41421, -1.77901e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44476e-12, 0, 2.15958e-11, 0, 1.54861e-10, 0, 0, 0
0.216409, 0, 2.55943e-10, 0, 1.41421, -2.55943e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14611e-12, 0, 3.24154e-11, 0, 2.21382e-10, 0, 0, 0
0.224292, 0, 3.6672e-10, 0, 1.41421, -3.6672e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18172e-12, 0, 4.85017e-11, 0, 3.15036e-10, 0, 0, 0
0.232175, 0, 5.23334e-10, 3.78351e-44, 1.41421, -5.23334e-10, 0, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 4.70924e-12, 3.78351e-44, 7.23489e-11, 3.78351e-44, 4.46276e-10, 3.78351e-44, 3.78351e-44, 3.78351e-44
0.240058, 0, 7.43892e-10, 7.58102e-43, 1.41421, -7.43892e-10, 0, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 7.58102e-43, 6.96066e-12, 7.58102e-43, 1.07603e-10, 7.58102e-43, 6.29329e-10, 7.58102e-43, 7.58102e-43, 7.58102e-43
0.247941, 0, 1.05332e-09, 1.1223e-41, 1.41421, -1.05332e-09, 0, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.1223e-41, 1.02775e-11, 1.1223e-41, 1.59579e-10, 1.1223e-41, 8.83462e-10, 1.1223e-41, 1.1223e-41, 1.1223e-41
0.255823, 0, 1.48583e-09, 1.51622e-40, 1.41421, -1.48583e-09, 0, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51622e-40, 1.51633e-11, 1.51622e-40, 2.36016e-10, 1.51622e-40, 1.23465e-09, 1.51622e-40, 1.51622e-40, 1.51622e-40
0.263706, 0, 2.08822e-09, 1.83679e-39, 1.41421, -2.08822e-09, 0, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 1.83679e-39, 2.23609e-11, 1.83679e-39, 3.48153e-10, 1.83679e-39, 1.7177e-09, 1.83679e-39, 1.83679e-39, 1.83679e-39
0.271589, 0, 2.92435e-09, 2.00332e-38, 1.41421, -2.92435e-09, 0, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 2.00332e-38, 3.29678e-11, 2.00332e-38, 5.12284e-10, 2.00332e-38, 2.3791e-09, 2.00332e-38, 2.00332e-38, 2.00332e-38
0.279472, 0, 4.08112e-09, 1.97481e-37, 1.41421, -4.08112e-09, 0, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 1.97481e-37, 4.86067e-11, 1.97481e-37, 7.5199e-10, 1.97481e-37, 3.28052e-09, 1.97481e-37, 1.97481e-37, 1.97481e-37
0.287355, 0, 5.67648e-09, 1.76889e-36, 1.41421, -5.67648e-09, 0, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 1.76889e-36, 7.16786e-11, 1.76889e-36, 1.10134e-09, 1.76889e-36, 4.50347e-09, 1.76889e-36, 1.76889e-36, 1.76889e-36
0.295238, 0, 7.87027e-09, 1.44717e-35, 1.41421, -7.87027e-09, 0, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.44717e-35, 1.05739e-10, 1.44717e-35, 1.60945e-09, 1.44717e-35, 6.15508e-09, 1.44717e-35, 1.44717e-35, 1.44717e-35
