   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_444.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000896915, 0, 4.23976e-15, 0, 1.41421, -4.23976e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35201e-17, 0, 0, 2.46653e-17, 0, 3.30221e-18, 0, 4.17827e-15, 0, 0, 0
0.00875254, 0, 6.76084e-15, 0, 1.41421, -6.76084e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3445e-17, 0, 0, 4.00614e-17, 0, 5.41676e-18, 0, 6.66191e-15, 0, 0, 0
0.0166082, 0, 1.07281e-14, 0, 1.41421, -1.07281e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47949e-17, 0, 0, 6.47565e-17, 0, 8.84609e-18, 0, 1.05697e-14, 0, 0, 0
0.0244638, 0, 1.69404e-14, 0, 1.41421, -1.69404e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33879e-16, 0, 0, 1.04182e-16, 0, 1.43834e-17, 0, 1.6688e-14, 0, 0, 0
0.0323194, 0, 2.66212e-14, 0, 1.41421, -2.66212e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10355e-16, 0, 0, 1.66832e-16, 0, 2.32859e-17, 0, 2.62208e-14, 0, 0, 0
0.040175, 0, 4.16341e-14, 0, 1.41421, -4.16341e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28936e-16, 0, 0, 2.65927e-16, 0, 3.75371e-17, 0, 4.10017e-14, 0, 0, 0
0.0480307, 0, 6.48042e-14, 0, 1.41421, -6.48042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11917e-16, 0, 0, 4.21959e-16, 0, 6.02538e-17, 0, 6.38101e-14, 0, 0, 0
0.0558863, 0, 1.00393e-13, 0, 1.41421, -1.00393e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92929e-16, 0, 0, 6.66536e-16, 0, 9.63122e-17, 0, 9.88376e-14, 0, 0, 0
0.0637419, 0, 1.54799e-13, 0, 1.41421, -1.54799e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22244e-15, 0, 0, 1.04821e-15, 0, 1.53309e-16, 0, 1.52375e-13, 0, 0, 0
0.0715975, 0, 2.37578e-13, 0, 1.41421, -2.37578e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87584e-15, 0, 0, 1.64121e-15, 0, 2.43036e-16, 0, 2.33818e-13, 0, 0, 0
0.0794532, 0, 3.62937e-13, 0, 1.41421, -3.62937e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86516e-15, 0, 0, 2.55861e-15, 0, 3.8372e-16, 0, 3.5713e-13, 0, 0, 0
0.0873088, 0, 5.51892e-13, 0, 1.41421, -5.51892e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3561e-15, 0, 0, 3.9718e-15, 0, 6.03399e-16, 0, 5.4296e-13, 0, 0, 0
0.0951644, 0, 8.35382e-13, 0, 1.41421, -8.35382e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59256e-15, 0, 0, 6.13968e-15, 0, 9.45058e-16, 0, 8.21705e-13, 0, 0, 0
0.10302, 0, 1.25874e-12, 0, 1.41421, -1.25874e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.93176e-15, 0, 0, 9.45167e-15, 0, 1.47432e-15, 0, 1.23788e-12, 0, 0, 0
0.110876, 0, 1.88804e-12, 0, 1.41421, -1.88804e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48944e-14, 0, 0, 1.44922e-14, 0, 2.29099e-15, 0, 1.85636e-12, 0, 0, 0
0.118731, 0, 2.81919e-12, 0, 1.41421, -2.81919e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22361e-14, 0, 0, 2.21333e-14, 0, 3.54628e-15, 0, 2.77127e-12, 0, 0, 0
0.126587, 0, 4.19066e-12, 0, 1.41421, -4.19066e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30474e-14, 0, 0, 3.36734e-14, 0, 5.46838e-15, 0, 4.11847e-12, 0, 0, 0
0.134443, 0, 6.20147e-12, 0, 1.41421, -6.20147e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88955e-14, 0, 0, 5.10388e-14, 0, 8.40044e-15, 0, 6.09314e-12, 0, 0, 0
0.142298, 0, 9.13623e-12, 0, 1.41421, -9.13623e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20211e-14, 0, 0, 7.70796e-14, 0, 1.28565e-14, 0, 8.97427e-12, 0, 0, 0
0.150154, 0, 1.34001e-11, 0, 1.41421, -1.34001e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05614e-13, 0, 0, 1.16001e-13, 0, 1.96042e-14, 0, 1.31589e-11, 0, 0, 0
0.158009, 0, 1.95671e-11, 0, 1.41421, -1.95671e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5419e-13, 0, 0, 1.73992e-13, 0, 2.97854e-14, 0, 1.92091e-11, 0, 0, 0
