   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0774377, 0, 1.82432e-16, 0, 1.41421, -1.82432e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.13883e-19, 0, 0, 2.61416e-21, 2.3883e-18, 0, 1.79128e-16, 0, 0, 0
0.0853093, 0, 3.28357e-16, 0, 1.41421, -3.28357e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64444e-18, 0, 0, 4.78319e-21, 4.38512e-18, 0, 3.22322e-16, 0, 0, 0
0.093181, 0, 5.86625e-16, 0, 1.41421, -5.86625e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93705e-18, 0, 0, 8.68919e-21, 7.99572e-18, 0, 5.75684e-16, 0, 0, 0
0.101053, 0, 1.04039e-15, 0, 1.41421, -1.04039e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20738e-18, 0, 0, 1.56736e-20, 1.44804e-17, 0, 1.02068e-15, 0, 0, 0
0.108924, 0, 1.83186e-15, 0, 1.41421, -1.83186e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16605e-18, 0, 0, 2.80758e-20, 2.605e-17, 0, 1.79661e-15, 0, 0, 0
0.116796, 0, 3.20252e-15, 0, 1.41421, -3.20252e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60192e-17, 0, 0, 4.99475e-20, 4.6558e-17, 0, 3.13989e-15, 0, 0, 0
0.124668, 0, 5.55946e-15, 0, 1.41421, -5.55946e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77994e-17, 0, 0, 8.82581e-20, 8.26782e-17, 0, 5.44889e-15, 0, 0, 0
0.132539, 0, 9.58408e-15, 0, 1.41421, -9.58408e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79068e-17, 0, 0, 1.54916e-19, 1.45898e-16, 0, 9.39012e-15, 0, 0, 0
0.140411, 0, 1.64088e-14, 0, 1.41421, -1.64088e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19897e-17, 0, 0, 2.70137e-19, 2.55869e-16, 0, 1.60706e-14, 0, 0, 0
0.148283, 0, 2.79024e-14, 0, 1.41421, -2.79024e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39364e-16, 0, 0, 4.68023e-19, 4.46003e-16, 0, 2.73165e-14, 0, 0, 0
0.156154, 0, 4.71272e-14, 0, 1.41421, -4.71272e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35289e-16, 0, 0, 8.057e-19, 7.72775e-16, 0, 4.61183e-14, 0, 0, 0
