   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0018668, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0059982, 0, 2.59178e-21, 0, 1.41421, -2.59178e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93452e-24, 0, 0, 2.57228e-26, 0, 1.16037e-24, 0, 2.58266e-21, 0, 0, 0
0.0138632, 0, 6.01415e-21, 0, 1.41421, -6.01415e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84116e-23, 0, 0, 6.0295e-26, 0, 2.75357e-24, 0, 5.99292e-21, 0, 0, 0
0.0217282, 0, 1.3737e-20, 0, 1.41421, -1.3737e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20538e-23, 0, 0, 1.3914e-25, 0, 6.42464e-24, 0, 1.36884e-20, 0, 0, 0
0.0295932, 0, 3.0914e-20, 0, 1.41421, -3.0914e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46379e-23, 0, 0, 3.16405e-25, 0, 1.47551e-23, 0, 3.08043e-20, 0, 0, 0
0.0374582, 0, 6.85992e-20, 0, 1.41421, -6.85992e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10003e-22, 0, 0, 7.09588e-25, 0, 3.33883e-23, 0, 6.83551e-20, 0, 0, 0
0.0453232, 0, 1.50207e-19, 0, 1.41421, -1.50207e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59824e-22, 0, 0, 1.57055e-24, 0, 7.45017e-23, 0, 1.49671e-19, 0, 0, 0
0.0531882, 0, 3.24743e-19, 0, 1.41421, -3.24743e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94115e-22, 0, 0, 3.43285e-24, 0, 1.64051e-22, 0, 3.23581e-19, 0, 0, 0
0.0610532, 0, 6.93596e-19, 0, 1.41421, -6.93596e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12325e-21, 0, 0, 7.4141e-24, 0, 3.56709e-22, 0, 6.91109e-19, 0, 0, 0
0.0689182, 0, 1.46422e-18, 0, 1.41421, -1.46422e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48223e-21, 0, 0, 1.58299e-23, 0, 7.66336e-22, 0, 1.45895e-18, 0, 0, 0
