   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_325.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.000860775, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00700257, 0, 4.00456e-23, 0, 1.41421, -4.00456e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09701e-23, 0, 2.90754e-23, 0, 0
0.0148659, 0, 1.13079e-22, 0, 1.41421, -1.13079e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19972e-23, 0, 8.10818e-23, 0, 0
0.0227293, 0, 2.8017e-22, 0, 1.41421, -2.8017e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06807e-23, 0, 1.99489e-22, 0, 0
0.0305926, 0, 6.80844e-22, 0, 1.41421, -6.80844e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99297e-22, 0, 4.81547e-22, 0, 0
0.038456, 0, 1.62488e-21, 0, 1.41421, -1.62488e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83017e-22, 0, 1.14187e-21, 0, 0
0.0463193, 0, 3.81265e-21, 0, 1.41421, -3.81265e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15004e-21, 0, 2.66261e-21, 0, 0
0.0541827, 0, 8.80383e-21, 0, 1.41421, -8.80383e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6929e-21, 0, 6.11094e-21, 0, 0
0.062046, 0, 2.00225e-20, 0, 1.41421, -2.00225e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20723e-21, 0, 1.38153e-20, 0, 0
0.0699094, 0, 4.4883e-20, 0, 1.41421, -4.4883e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40963e-20, 0, 3.07867e-20, 0, 0
