   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_305.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-6.71387e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0077864, 0, 4.00584e-16, 0, 1.41421, -4.00584e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23623e-18, 0, 0, 3.35542e-18, 0, 0, 3.90993e-16, 0, 0
0.0156399, 0, 6.66451e-16, 0, 1.41421, -6.66451e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03736e-17, 0, 0, 5.681e-18, 0, 0, 6.50396e-16, 0, 0
0.0234935, 0, 1.1025e-15, 0, 1.41421, -1.1025e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71583e-17, 0, 0, 9.56542e-18, 0, 0, 1.07578e-15, 0, 0
0.031347, 0, 1.81367e-15, 0, 1.41421, -1.81367e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82218e-17, 0, 0, 1.60184e-17, 0, 0, 1.76943e-15, 0, 0
0.0392006, 0, 2.96709e-15, 0, 1.41421, -2.96709e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61624e-17, 0, 0, 2.66811e-17, 0, 0, 2.89425e-15, 0, 0
0.0470541, 0, 4.82754e-15, 0, 1.41421, -4.82754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5095e-17, 0, 0, 4.42062e-17, 0, 0, 4.70824e-15, 0, 0
0.0549077, 0, 7.81207e-15, 0, 1.41421, -7.81207e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.215e-16, 0, 0, 7.28599e-17, 0, 0, 7.61771e-15, 0, 0
0.0627612, 0, 1.2574e-14, 0, 1.41421, -1.2574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95528e-16, 0, 0, 1.19469e-16, 0, 0, 1.2259e-14, 0, 0
0.0706147, 0, 2.01313e-14, 0, 1.41421, -2.01313e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12987e-16, 0, 0, 1.94901e-16, 0, 0, 1.96234e-14, 0, 0
0.0784683, 0, 3.20609e-14, 0, 1.41421, -3.20609e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98369e-16, 0, 0, 3.16367e-16, 0, 0, 3.12462e-14, 0, 0
0.0863218, 0, 5.07933e-14, 0, 1.41421, -5.07933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.89402e-16, 0, 0, 5.10991e-16, 0, 0, 4.94929e-14, 0, 0
0.0941754, 0, 8.00534e-14, 0, 1.41421, -8.00534e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2439e-15, 0, 0, 8.21312e-16, 0, 0, 7.79881e-14, 0, 0
0.102029, 0, 1.25519e-13, 0, 1.41421, -1.25519e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94998e-15, 0, 0, 1.31372e-15, 0, 0, 1.22256e-13, 0, 0
0.109882, 0, 1.95802e-13, 0, 1.41421, -1.95802e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04121e-15, 0, 0, 2.09136e-15, 0, 0, 1.90669e-13, 0, 0
0.117736, 0, 3.03884e-13, 0, 1.41421, -3.03884e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71896e-15, 0, 0, 3.31371e-15, 0, 0, 2.95852e-13, 0, 0
0.12559, 0, 4.69245e-13, 0, 1.41421, -4.69245e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28524e-15, 0, 0, 5.22628e-15, 0, 0, 4.56734e-13, 0, 0
0.133443, 0, 7.20947e-13, 0, 1.41421, -7.20947e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11906e-14, 0, 0, 8.20538e-15, 0, 0, 7.01551e-13, 0, 0
0.141297, 0, 1.10212e-12, 0, 1.41421, -1.10212e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71033e-14, 0, 0, 1.2826e-14, 0, 0, 1.07219e-12, 0, 0
0.14915, 0, 1.67645e-12, 0, 1.41421, -1.67645e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.601e-14, 0, 0, 1.99618e-14, 0, 0, 1.63048e-12, 0, 0
0.157004, 0, 2.53744e-12, 0, 1.41421, -2.53744e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93588e-14, 0, 0, 3.09366e-14, 0, 0, 2.46714e-12, 0, 0
0.164857, 0, 3.82168e-12, 0, 1.41421, -3.82168e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92649e-14, 0, 0, 4.77492e-14, 0, 0, 3.71467e-12, 0, 0
0.172711, 0, 5.72765e-12, 0, 1.41421, -5.72765e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88001e-14, 0, 0, 7.34067e-14, 0, 0, 5.56545e-12, 0, 0
0.180564, 0, 8.54226e-12, 0, 1.41421, -8.54226e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32404e-13, 0, 0, 1.12422e-13, 0, 0, 8.29744e-12, 0, 0
0.188418, 0, 1.2678e-11, 0, 1.41421, -1.2678e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96458e-13, 0, 0, 1.71547e-13, 0, 0, 1.231e-11, 0, 0
0.196271, 0, 1.8725e-11, 0, 1.41421, -1.8725e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90088e-13, 0, 0, 2.60866e-13, 0, 0, 1.8174e-11, 0, 0
0.204125, 0, 2.75227e-11, 0, 1.41421, -2.75227e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26272e-13, 0, 0, 3.95402e-13, 0, 0, 2.67011e-11, 0, 0
0.211979, 0, 4.02599e-11, 0, 1.41421, -4.02599e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23381e-13, 0, 0, 5.97516e-13, 0, 0, 3.9039e-11, 0, 0
0.219832, 0, 5.86104e-11, 0, 1.41421, -5.86104e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07273e-13, 0, 0, 9.00446e-13, 0, 0, 5.68026e-11, 0, 0
0.227686, 0, 8.49192e-11, 0, 1.41421, -8.49192e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31417e-12, 0, 0, 1.35356e-12, 0, 0, 8.22515e-11, 0, 0
0.235539, 0, 1.22456e-10, 0, 1.41421, -1.22456e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89453e-12, 0, 0, 2.03018e-12, 0, 0, 1.18531e-10, 0, 0
0.243393, 0, 1.75753e-10, 3.50325e-44, 1.41421, -1.75753e-10, 0, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 3.50325e-44, 2.71832e-12, 3.50325e-44, 3.50325e-44, 3.03921e-12, 3.50325e-44, 3.50325e-44, 1.69996e-10, 3.50325e-44, 3.50325e-44
0.251246, 0, 2.5107e-10, 6.06762e-43, 1.41421, -2.5107e-10, 0, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 6.06762e-43, 3.88206e-12, 6.06762e-43, 6.06762e-43, 4.54246e-12, 6.06762e-43, 6.06762e-43, 2.42646e-10, 6.06762e-43, 6.06762e-43
0.2591, 0, 3.56998e-10, 9.00474e-42, 1.41421, -3.56998e-10, 0, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 9.00474e-42, 5.51819e-12, 9.00474e-42, 9.00474e-42, 6.78057e-12, 9.00474e-42, 9.00474e-42, 3.44699e-10, 9.00474e-42, 9.00474e-42
