   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_727.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00418407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00367449, 0, 3.71049e-20, 0, 1.41421, -3.71049e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80934e-22, 0, 0, 2.2128e-25, 0, 7.62336e-21, 0, 2.93004e-20, 0, 0
0.0115331, 0, 7.7302e-20, 0, 1.41421, -7.7302e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75643e-22, 0, 0, 4.67326e-25, 0, 1.60945e-20, 0, 6.08314e-20, 0, 0
0.0193916, 0, 1.59257e-19, 0, 1.41421, -1.59257e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71194e-22, 0, 0, 9.75976e-25, 0, 3.35981e-20, 0, 1.24887e-19, 0, 0
0.0272502, 0, 3.24589e-19, 0, 1.41421, -3.24589e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56624e-21, 0, 0, 2.01642e-24, 0, 6.93839e-20, 0, 2.53637e-19, 0, 0
0.0351087, 0, 6.54717e-19, 0, 1.41421, -6.54717e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14785e-21, 0, 0, 4.12293e-24, 0, 1.41803e-19, 0, 5.09762e-19, 0, 0
0.0429673, 0, 1.3074e-18, 0, 1.41421, -1.3074e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26288e-21, 0, 0, 8.34573e-24, 0, 2.86921e-19, 0, 1.01421e-18, 0, 0
0.0508258, 0, 2.58541e-18, 0, 1.41421, -2.58541e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23386e-20, 0, 0, 1.67298e-23, 0, 5.74957e-19, 0, 1.9981e-18, 0, 0
0.0586844, 0, 5.06452e-18, 0, 1.41421, -5.06452e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40769e-20, 0, 0, 3.32205e-23, 0, 1.14141e-18, 0, 3.899e-18, 0, 0
0.066543, 0, 9.8298e-18, 0, 1.41421, -9.8298e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65466e-20, 0, 0, 6.53616e-23, 0, 2.24544e-18, 0, 7.53774e-18, 0, 0
0.0744015, 0, 1.89081e-17, 0, 1.41421, -1.89081e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91706e-20, 0, 0, 1.2745e-22, 0, 4.37858e-18, 0, 1.44402e-17, 0, 0
0.0822601, 0, 3.60534e-17, 0, 1.41421, -3.60534e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69314e-19, 0, 0, 2.46353e-22, 0, 8.46531e-18, 0, 2.74186e-17, 0, 0
0.0901187, 0, 6.81589e-17, 0, 1.41421, -6.81589e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18696e-19, 0, 0, 4.72126e-22, 0, 1.62303e-17, 0, 5.16094e-17, 0, 0
0.0979772, 0, 1.27778e-16, 0, 1.41421, -1.27778e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94772e-19, 0, 0, 8.97266e-22, 0, 3.08656e-17, 0, 9.63171e-17, 0, 0
0.105836, 0, 2.37587e-16, 0, 1.41421, -2.37587e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10073e-18, 0, 0, 1.6913e-21, 0, 5.82336e-17, 0, 1.78251e-16, 0, 0
0.113694, 0, 4.38219e-16, 0, 1.41421, -4.38219e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02036e-18, 0, 0, 3.16243e-21, 0, 1.09019e-16, 0, 3.27176e-16, 0, 0
0.121553, 0, 8.01909e-16, 0, 1.41421, -8.01909e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67836e-18, 0, 0, 5.86666e-21, 0, 2.02551e-16, 0, 5.95673e-16, 0, 0
