   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_145.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00277742, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00510088, 0, 5.51398e-20, 0, 1.41421, -5.51398e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55593e-22, 0, 7.95921e-25, 1.23188e-21, 0, 5.35515e-20, 0, 0
0.0129792, 0, 1.14416e-19, 0, 1.41421, -1.14416e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37555e-22, 0, 1.67429e-24, 2.60272e-21, 0, 1.11074e-19, 0, 0
0.0208575, 0, 2.34732e-19, 0, 1.41421, -2.34732e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51251e-21, 0, 3.48266e-24, 5.43577e-21, 0, 2.2778e-19, 0, 0
0.0287358, 0, 4.76327e-19, 0, 1.41421, -4.76327e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06794e-21, 0, 7.16639e-24, 1.12277e-20, 0, 4.62024e-19, 0, 0
0.0366141, 0, 9.56428e-19, 0, 1.41421, -9.56428e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15753e-21, 0, 1.45939e-23, 2.29464e-20, 0, 9.2731e-19, 0, 0
0.0444924, 0, 1.90091e-18, 0, 1.41421, -1.90091e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22328e-20, 0, 2.94222e-23, 4.642e-20, 0, 1.84223e-18, 0, 0
0.0523707, 0, 3.74088e-18, 0, 1.41421, -3.74088e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40626e-20, 0, 5.87436e-23, 9.29882e-20, 0, 3.62377e-18, 0, 0
0.060249, 0, 7.29134e-18, 0, 1.41421, -7.29134e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68788e-20, 0, 1.16186e-22, 1.84513e-19, 0, 7.05983e-18, 0, 0
0.0681273, 0, 1.40792e-17, 0, 1.41421, -1.40792e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04778e-20, 0, 2.27703e-22, 3.62777e-19, 0, 1.36257e-17, 0, 0
0.0760056, 0, 2.69396e-17, 0, 1.41421, -2.69396e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73038e-19, 0, 4.42304e-22, 7.0695e-19, 0, 2.60592e-17, 0, 0
0.0838839, 0, 5.10901e-17, 0, 1.41421, -5.10901e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27996e-19, 0, 8.5173e-22, 1.3658e-18, 0, 4.93955e-17, 0, 0
0.0917623, 0, 9.6051e-17, 0, 1.41421, -9.6051e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1632e-19, 0, 1.62631e-21, 2.61661e-18, 0, 9.28164e-17, 0, 0
0.0996406, 0, 1.79046e-16, 0, 1.41421, -1.79046e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14824e-18, 0, 3.07968e-21, 4.97212e-18, 0, 1.72922e-16, 0, 0
0.107519, 0, 3.30974e-16, 0, 1.41421, -3.30974e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12137e-18, 0, 5.78476e-21, 9.37308e-18, 0, 3.19474e-16, 0, 0
0.115397, 0, 6.06816e-16, 0, 1.41421, -6.06816e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88708e-18, 0, 1.07798e-20, 1.75325e-17, 0, 5.85386e-16, 0, 0
0.123275, 0, 1.1036e-15, 0, 1.41421, -1.1036e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06498e-18, 0, 1.99316e-20, 3.25464e-17, 0, 1.06397e-15, 0, 0
0.131154, 0, 1.9912e-15, 0, 1.41421, -1.9912e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2739e-17, 0, 3.65713e-20, 5.99697e-17, 0, 1.91846e-15, 0, 0
0.139032, 0, 3.56462e-15, 0, 1.41421, -3.56462e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27896e-17, 0, 6.65971e-20, 1.09697e-16, 0, 3.43207e-15, 0, 0
0.14691, 0, 6.33218e-15, 0, 1.41421, -6.33218e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04545e-17, 0, 1.20375e-19, 1.9923e-16, 0, 6.09237e-15, 0, 0
0.154789, 0, 1.11629e-14, 0, 1.41421, -1.11629e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12634e-17, 0, 2.1599e-19, 3.59312e-16, 0, 1.07321e-14, 0, 0
0.162667, 0, 1.95309e-14, 0, 1.41421, -1.95309e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24586e-16, 0, 3.84764e-19, 6.43576e-16, 0, 1.87624e-14, 0, 0
0.170545, 0, 3.39178e-14, 0, 1.41421, -3.39178e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16178e-16, 0, 6.80569e-19, 1.14497e-15, 0, 3.2556e-14, 0, 0
0.178424, 0, 5.84685e-14, 0, 1.41421, -5.84685e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72328e-16, 0, 1.19537e-18, 2.02351e-15, 0, 5.60715e-14, 0, 0
