   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.16476, 0, 8.45978e-14, 0, 1.41421, -8.45978e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90125e-16, 0, 0, 1.41994e-18, 0, 2.91587e-15, 0, 8.12903e-14, 0, 0
0.172631, 0, 1.41455e-13, 0, 1.41421, -1.41455e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51699e-16, 0, 0, 2.42121e-18, 0, 5.00658e-15, 0, 1.35794e-13, 0, 0
0.180502, 0, 2.34962e-13, 0, 1.41421, -2.34962e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08141e-15, 0, 0, 4.10295e-18, 0, 8.54687e-15, 0, 2.25329e-13, 0, 0
0.188372, 0, 3.87724e-13, 0, 1.41421, -3.87724e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78259e-15, 0, 0, 6.9104e-18, 0, 1.45081e-14, 0, 3.71427e-13, 0, 0
0.196243, 0, 6.35646e-13, 0, 1.41421, -6.35646e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91911e-15, 0, 0, 1.15691e-17, 0, 2.44896e-14, 0, 6.08226e-13, 0, 0
0.204114, 0, 1.03537e-12, 0, 1.41421, -1.03537e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74905e-15, 0, 0, 1.92542e-17, 0, 4.11114e-14, 0, 9.89487e-13, 0, 0
0.211984, 0, 1.67564e-12, 0, 1.41421, -1.67564e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67605e-15, 0, 0, 3.18594e-17, 0, 6.8643e-14, 0, 1.59929e-12, 0, 0
0.219855, 0, 2.69458e-12, 0, 1.41421, -2.69458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23271e-14, 0, 0, 5.24208e-17, 0, 1.14006e-13, 0, 2.5682e-12, 0, 0
0.227726, 0, 4.30572e-12, 0, 1.41421, -4.30572e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96693e-14, 0, 0, 8.57784e-17, 0, 1.88365e-13, 0, 4.0976e-12, 0, 0
0.235596, 0, 6.83699e-12, 0, 1.41421, -6.83699e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11846e-14, 0, 0, 1.39615e-16, 0, 3.09647e-13, 0, 6.49602e-12, 0, 0
0.243467, 0, 1.07886e-11, 0, 1.41421, -1.07886e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91279e-14, 0, 0, 2.2607e-16, 0, 5.06499e-13, 0, 1.02327e-11, 0, 0
0.251338, 0, 1.69185e-11, 0, 1.41421, -1.69185e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69073e-14, 0, 0, 3.6425e-16, 0, 8.24504e-13, 0, 1.60168e-11, 0, 0
0.259209, 0, 2.63683e-11, 0, 1.41421, -2.63683e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1964e-13, 0, 0, 5.84115e-16, 0, 1.3359e-12, 0, 2.49122e-11, 0, 0
0.267079, 0, 4.08451e-11, 0, 1.41421, -4.08451e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84953e-13, 0, 0, 9.32491e-16, 0, 2.15468e-12, 0, 3.85045e-11, 0, 0
0.27495, 0, 6.28865e-11, 0, 1.41421, -6.28865e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84148e-13, 0, 0, 1.48238e-15, 0, 3.46015e-12, 0, 5.91407e-11, 0, 0
0.282821, 0, 9.62403e-11, 2.52234e-44, 1.41421, -9.62403e-11, 2.52234e-44, 0, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 2.52234e-44, 4.33849e-13, 2.52234e-44, 2.52234e-44, 2.34733e-15, 2.52234e-44, 5.53335e-12, 2.52234e-44, 9.02708e-11, 2.52234e-44, 2.52234e-44
