   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00318407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00467729, 0, 1.65034e-21, 0, 1.41421, -1.65034e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55476e-22, 0, 1.39486e-21, 0, 0
0.0125387, 0, 3.73503e-21, 0, 1.41421, -3.73503e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89345e-22, 0, 3.14569e-21, 0, 0
0.0204, 0, 8.33432e-21, 0, 1.41421, -8.33432e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33954e-21, 0, 6.99478e-21, 0, 0
0.0282614, 0, 1.83477e-20, 0, 1.41421, -1.83477e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00219e-21, 0, 1.53455e-20, 0, 0
0.0361228, 0, 3.98735e-20, 0, 1.41421, -3.98735e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63914e-21, 0, 3.32343e-20, 0, 0
0.0439841, 0, 8.55858e-20, 0, 1.41421, -8.55858e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44957e-20, 0, 7.10901e-20, 0, 0
0.0518455, 0, 1.81524e-19, 0, 1.41421, -1.81524e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12646e-20, 0, 1.5026e-19, 0, 0
0.0597068, 0, 3.80595e-19, 0, 1.41421, -3.80595e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66441e-20, 0, 3.13951e-19, 0, 0
0.0675682, 0, 7.89139e-19, 0, 1.41421, -7.89139e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40462e-19, 0, 6.48677e-19, 0, 0
0.0754296, 0, 1.61864e-18, 0, 1.41421, -1.61864e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92826e-19, 0, 1.32581e-18, 0, 0
0.0832909, 0, 3.28539e-18, 0, 1.41421, -3.28539e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04054e-19, 0, 2.68134e-18, 0, 0
0.0911523, 0, 6.6007e-18, 0, 1.41421, -6.6007e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23339e-18, 0, 5.36731e-18, 0, 0
0.0990137, 0, 1.31301e-17, 0, 1.41421, -1.31301e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49351e-18, 0, 1.06366e-17, 0, 0
0.106875, 0, 2.58658e-17, 0, 1.41421, -2.58658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99267e-18, 0, 2.08732e-17, 0, 0
0.114736, 0, 5.04727e-17, 0, 1.41421, -5.04727e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90318e-18, 0, 4.05695e-17, 0, 0
