   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_331.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00829735, 0, 6.46733e-21, 0, 1.41421, -6.46733e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10563e-21, 0, 5.3617e-21, 0, 0, 0
0.0161632, 0, 1.40925e-20, 0, 1.41421, -1.40925e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44634e-21, 0, 1.16461e-20, 0, 0, 0
0.0240291, 0, 3.03075e-20, 0, 1.41421, -3.03075e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34049e-21, 0, 2.4967e-20, 0, 0, 0
0.031895, 0, 6.43696e-20, 0, 1.41421, -6.43696e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15107e-20, 0, 5.28588e-20, 0, 0, 0
0.0397608, 0, 1.35087e-19, 0, 1.41421, -1.35087e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45102e-20, 0, 1.10577e-19, 0, 0, 0
0.0476267, 0, 2.80259e-19, 0, 1.41421, -2.80259e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15884e-20, 0, 2.2867e-19, 0, 0, 0
0.0554926, 0, 5.75051e-19, 0, 1.41421, -5.75051e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07381e-19, 0, 4.6767e-19, 0, 0, 0
0.0633584, 0, 1.16742e-18, 0, 1.41421, -1.16742e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21137e-19, 0, 9.4628e-19, 0, 0, 0
0.0712243, 0, 2.34569e-18, 0, 1.41421, -2.34569e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50744e-19, 0, 1.89495e-18, 0, 0, 0
0.0790902, 0, 4.66635e-18, 0, 1.41421, -4.66635e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09671e-19, 0, 3.75668e-18, 0, 0, 0
0.086956, 0, 9.1933e-18, 0, 1.41421, -9.1933e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8183e-18, 0, 7.375e-18, 0, 0, 0
