   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.177604, 0, 5.5672e-30, 0, 1.41421, -5.5672e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24441e-32, 0, 1.27056e-34, 1.2352e-35, 0, 5.47462e-30, 0, 0
0.185174, 0, 6.64153e-29, 0, 1.41421, -6.64153e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10279e-30, 0, 1.51568e-33, 2.94199e-33, 0, 6.53081e-29, 0, 0
0.192744, 0, 4.97256e-28, 0, 1.41421, -4.97256e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25646e-30, 0, 1.13477e-32, 3.36589e-32, 0, 4.88954e-28, 0, 0
0.200314, 0, 2.97213e-27, 0, 1.41421, -2.97213e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93486e-29, 0, 6.78933e-32, 2.46919e-31, 0, 2.92247e-27, 0, 0
0.207884, 0, 1.54436e-26, 0, 1.41421, -1.54436e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56419e-28, 0, 3.53617e-31, 1.45671e-30, 0, 1.51854e-26, 0, 0
0.215454, 0, 7.26732e-26, 0, 1.41421, -7.26732e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20663e-27, 0, 1.66959e-30, 7.4969e-30, 0, 7.14574e-26, 0, 0
0.223023, 0, 3.1691e-25, 0, 1.41421, -3.1691e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26176e-27, 0, 7.30963e-30, 3.5008e-29, 0, 3.11606e-25, 0, 0
0.230593, 0, 1.29917e-24, 0, 1.41421, -1.29917e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15704e-26, 0, 3.00978e-29, 1.51682e-28, 0, 1.27742e-24, 0, 0
0.238163, 0, 5.05541e-24, 0, 1.41421, -5.05541e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39357e-26, 0, 1.17673e-28, 6.18365e-28, 0, 4.97074e-24, 0, 0
0.245733, 0, 1.8802e-23, 0, 1.41421, -1.8802e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1217e-25, 0, 4.39845e-28, 2.3944e-27, 0, 1.8487e-23, 0, 0
0.253303, 0, 6.7178e-23, 0, 1.41421, -6.7178e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11535e-24, 0, 1.57983e-27, 8.8656e-27, 0, 6.60522e-23, 0, 0
0.260873, 0, 2.54374e-22, 0, 1.41421, -2.54374e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22333e-24, 0, 6.03561e-27, 3.51953e-26, 0, 2.50109e-22, 0, 0
0.268442, 0, 8.36757e-22, 0, 1.41421, -8.36757e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38925e-23, 0, 1.99676e-26, 1.1895e-25, 0, 8.22726e-22, 0, 0
0.276012, 0, 2.67515e-21, 0, 1.41421, -2.67515e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44149e-23, 0, 6.42194e-26, 3.9e-25, 0, 2.63029e-21, 0, 0
