   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_131.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.322108, 0, 3.93255e-11, 3.36312e-44, 1.41421, -3.93255e-11, 0, 3.36312e-44, 3.36312e-44, 3.36312e-44, 3.36312e-44, 3.36312e-44, 3.36312e-44, 3.36312e-44, 3.36312e-44, 1.92898e-13, 3.36312e-44, 2.68487e-15, 2.34095e-14, 3.36312e-44, 3.91066e-11, 3.36312e-44, 3.36312e-44
0.33002, 0, 6.44769e-11, 6.22177e-43, 1.41421, -6.44769e-11, 0, 6.22177e-43, 6.22177e-43, 6.22177e-43, 6.22177e-43, 6.22177e-43, 6.22177e-43, 6.22177e-43, 6.22177e-43, 3.16338e-13, 6.22177e-43, 4.5735e-15, 4.0129e-14, 6.22177e-43, 6.41159e-11, 6.22177e-43, 6.22177e-43
0.337931, 0, 1.04783e-10, 9.47278e-42, 1.41421, -1.04783e-10, 0, 9.47278e-42, 9.47278e-42, 9.47278e-42, 9.47278e-42, 9.47278e-42, 9.47278e-42, 9.47278e-42, 9.47278e-42, 5.14237e-13, 9.47278e-42, 7.7454e-15, 6.83773e-14, 9.47278e-42, 1.04193e-10, 9.47278e-42, 9.47278e-42
0.345843, 0, 1.68797e-10, 1.27263e-40, 1.41421, -1.68797e-10, 0, 1.27263e-40, 1.27263e-40, 1.27263e-40, 1.27263e-40, 1.27263e-40, 1.27263e-40, 1.27263e-40, 1.27263e-40, 8.28703e-13, 1.27263e-40, 1.30477e-14, 1.15857e-13, 1.27263e-40, 1.6784e-10, 1.27263e-40, 1.27263e-40
0.353755, 0, 2.69562e-10, 1.52991e-39, 1.41421, -2.69562e-10, 0, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.52991e-39, 1.32403e-12, 1.52991e-39, 2.18755e-14, 1.95283e-13, 1.52991e-39, 2.68021e-10, 1.52991e-39, 1.52991e-39
0.361667, 0, 4.26776e-10, 1.65756e-38, 1.41421, -4.26776e-10, 0, 1.65756e-38, 1.65756e-38, 1.65756e-38, 1.65756e-38, 1.65756e-38, 1.65756e-38, 1.65756e-38, 1.65756e-38, 2.09748e-12, 1.65756e-38, 3.65235e-14, 3.27595e-13, 1.65756e-38, 4.24315e-10, 1.65756e-38, 1.65756e-38
0.369578, 0, 6.69916e-10, 1.62745e-37, 1.41421, -6.69916e-10, 0, 1.62745e-37, 1.62745e-37, 1.62745e-37, 1.62745e-37, 1.62745e-37, 1.62745e-37, 1.62745e-37, 1.62745e-37, 3.2949e-12, 1.62745e-37, 6.07632e-14, 5.47189e-13, 1.62745e-37, 6.66013e-10, 1.62745e-37, 1.62745e-37
0.37749, 0, 1.04268e-09, 1.45583e-36, 1.41421, -1.04268e-09, 0, 1.45583e-36, 1.45583e-36, 1.45583e-36, 1.45583e-36, 1.45583e-36, 1.45583e-36, 1.45583e-36, 1.45583e-36, 5.13303e-12, 1.45583e-36, 1.00791e-13, 9.10491e-13, 1.45583e-36, 1.03653e-09, 1.45583e-36, 1.45583e-36
0.385402, 0, 1.60925e-09, 1.19274e-35, 1.41421, -1.60925e-09, 0, 1.19274e-35, 1.19274e-35, 1.19274e-35, 1.19274e-35, 1.19274e-35, 1.19274e-35, 1.19274e-35, 1.19274e-35, 7.93124e-12, 1.19274e-35, 1.66791e-13, 1.50994e-12, 1.19274e-35, 1.59964e-09, 1.19274e-35, 1.19274e-35
0.393314, 0, 2.46302e-09, 8.99262e-35, 1.41421, -2.46302e-09, 0, 8.99262e-35, 8.99262e-35, 8.99262e-35, 8.99262e-35, 8.99262e-35, 8.99262e-35, 8.99262e-35, 8.99262e-35, 1.2156e-11, 8.99262e-35, 2.75498e-13, 2.49682e-12, 8.99262e-35, 2.4481e-09, 8.99262e-35, 8.99262e-35
0.401226, 0, 3.73888e-09, 1.79996e-33, 1.41421, -3.73888e-09, 0, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.79996e-33, 1.84844e-11, 1.79996e-33, 4.55052e-13, 4.12386e-12, 1.79996e-33, 3.71582e-09, 1.79996e-33, 1.79996e-33
0.409137, 0, 5.62907e-09, 1.19507e-32, 1.41421, -5.62907e-09, 0, 1.19507e-32, 1.19507e-32, 1.19507e-32, 1.19507e-32, 1.19507e-32, 1.19507e-32, 1.19507e-32, 1.19507e-32, 2.78858e-11, 1.19507e-32, 7.49769e-13, 6.78766e-12, 1.19507e-32, 5.59365e-09, 1.19507e-32, 1.19507e-32
0.417049, 0, 8.40642e-09, 7.42111e-32, 1.41421, -8.40642e-09, 0, 7.42111e-32, 7.42111e-32, 7.42111e-32, 7.42111e-32, 7.42111e-32, 7.42111e-32, 7.42111e-32, 7.42111e-32, 4.17458e-11, 7.42111e-32, 1.23435e-12, 1.11518e-11, 7.42111e-32, 8.35229e-09, 7.42111e-32, 7.42111e-32
0.424961, 0, 1.24538e-08, 4.30661e-31, 1.41421, -1.24538e-08, 0, 4.30661e-31, 4.30661e-31, 4.30661e-31, 4.30661e-31, 4.30661e-31, 4.30661e-31, 4.30661e-31, 4.30661e-31, 6.20237e-11, 4.30661e-31, 2.03066e-12, 1.82923e-11, 4.30661e-31, 1.23715e-08, 4.30661e-31, 4.30661e-31
0.432873, 0, 1.83041e-08, 2.34067e-30, 1.41421, -1.83041e-08, 0, 2.34067e-30, 2.34067e-30, 2.34067e-30, 2.34067e-30, 2.34067e-30, 2.34067e-30, 2.34067e-30, 2.34067e-30, 9.14709e-11, 2.34067e-30, 3.33812e-12, 2.99582e-11, 2.34067e-30, 1.81794e-08, 2.34067e-30, 2.34067e-30
0.440784, 0, 2.66927e-08, 1.19515e-29, 1.41421, -2.66927e-08, 0, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.19515e-29, 1.33924e-10, 1.19515e-29, 5.4822e-12, 4.89861e-11, 1.19515e-29, 2.65044e-08, 1.19515e-29, 1.19515e-29
0.448696, 0, 3.86256e-08, 5.75121e-29, 1.41421, -3.86256e-08, 0, 5.75121e-29, 5.75121e-29, 5.75121e-29, 5.75121e-29, 5.75121e-29, 5.75121e-29, 5.75121e-29, 5.75121e-29, 1.94696e-10, 5.75121e-29, 8.99203e-12, 7.99577e-11, 5.75121e-29, 3.8342e-08, 5.75121e-29, 5.75121e-29
0.456608, 0, 5.54677e-08, 2.61634e-28, 1.41421, -5.54677e-08, 0, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.61634e-28, 2.81092e-10, 2.61634e-28, 1.47241e-11, 1.30241e-10, 2.61634e-28, 5.50416e-08, 2.61634e-28, 2.61634e-28
0.46452, 0, 7.90556e-08, 1.12853e-27, 1.41421, -7.90556e-08, 0, 1.12853e-27, 1.12853e-27, 1.12853e-27, 1.12853e-27, 1.12853e-27, 1.12853e-27, 1.12853e-27, 1.12853e-27, 4.031e-10, 1.12853e-27, 2.40577e-11, 2.11618e-10, 1.12853e-27, 7.84168e-08, 1.12853e-27, 1.12853e-27
0.472431, 0, 1.11841e-07, 4.62848e-27, 1.41421, -1.11841e-07, 0, 4.62848e-27, 4.62848e-27, 4.62848e-27, 4.62848e-27, 4.62848e-27, 4.62848e-27, 4.62848e-27, 4.62848e-27, 5.74278e-10, 4.62848e-27, 3.92004e-11, 3.42813e-10, 4.62848e-27, 1.10885e-07, 4.62848e-27, 4.62848e-27
0.480343, 0, 1.57069e-07, 1.80971e-26, 1.41421, -1.57069e-07, 0, 1.80971e-26, 1.80971e-26, 1.80971e-26, 1.80971e-26, 1.80971e-26, 1.80971e-26, 1.80971e-26, 1.80971e-26, 8.12927e-10, 1.80971e-26, 6.36627e-11, 5.5336e-10, 1.80971e-26, 1.55639e-07, 1.80971e-26, 1.80971e-26
0.488255, 0, 2.19005e-07, 6.7626e-26, 1.41421, -2.19005e-07, 0, 6.7626e-26, 6.7626e-26, 6.7626e-26, 6.7626e-26, 6.7626e-26, 6.7626e-26, 6.7626e-26, 6.7626e-26, 1.1436e-09, 6.7626e-26, 1.02987e-10, 8.89477e-10, 6.7626e-26, 2.16869e-07, 6.7626e-26, 6.7626e-26
0.496167, 0, 3.03206e-07, 2.43743e-25, 1.41421, -3.03206e-07, 0, 2.43743e-25, 2.43743e-25, 2.43743e-25, 2.43743e-25, 2.43743e-25, 2.43743e-25, 2.43743e-25, 2.43743e-25, 1.59902e-09, 2.43743e-25, 1.65858e-10, 1.42283e-09, 2.43743e-25, 3.00018e-07, 2.43743e-25, 2.43743e-25
