   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_705.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0129969, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00512007, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00275681, 0, 6.15316e-16, 0, 1.41421, -6.15316e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10047e-18, 0, 2.78651e-20, 0, 6.14188e-16, 0, 0, 0
0.0106337, 0, 1.03024e-15, 0, 1.41421, -1.03024e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.874e-18, 0, 4.79194e-20, 0, 1.02831e-15, 0, 0, 0
0.0185106, 0, 1.71502e-15, 0, 1.41421, -1.71502e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17351e-18, 0, 8.19758e-20, 0, 1.71177e-15, 0, 0, 0
0.0263874, 0, 2.83876e-15, 0, 1.41421, -2.83876e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34463e-18, 0, 1.39515e-19, 0, 2.83328e-15, 0, 0, 0
0.0342643, 0, 4.6724e-15, 0, 1.41421, -4.6724e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95232e-18, 0, 2.3624e-19, 0, 4.66321e-15, 0, 0, 0
0.0421412, 0, 7.64772e-15, 0, 1.41421, -7.64772e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4915e-17, 0, 3.9803e-19, 0, 7.63241e-15, 0, 0, 0
0.050018, 0, 1.24488e-14, 0, 1.41421, -1.24488e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47177e-17, 0, 6.67324e-19, 0, 1.24234e-14, 0, 0, 0
0.0578949, 0, 2.01534e-14, 0, 1.41421, -2.01534e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07498e-17, 0, 1.11339e-18, 0, 2.01116e-14, 0, 0, 0
