   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_500.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00302543, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00483872, 0, 4.51178e-26, 0, 1.41421, -4.51178e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99447e-27, 0, 3.91233e-26, 0, 0, 0
0.0127029, 0, 1.50276e-25, 0, 1.41421, -1.50276e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11685e-26, 0, 1.29107e-25, 0, 0, 0
0.020567, 0, 4.77559e-25, 0, 1.41421, -4.77559e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0589e-26, 0, 4.0697e-25, 0, 0, 0
0.0284312, 0, 1.4583e-24, 0, 1.41421, -1.4583e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24563e-25, 0, 1.23374e-24, 0, 0, 0
0.0362953, 0, 4.3013e-24, 0, 1.41421, -4.3013e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86423e-25, 0, 3.61488e-24, 0, 0, 0
0.0441595, 0, 1.23025e-23, 0, 1.41421, -1.23025e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02657e-24, 0, 1.02759e-23, 0, 0, 0
0.0520236, 0, 3.42262e-23, 0, 1.41421, -3.42262e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80185e-24, 0, 2.84244e-23, 0, 0, 0
0.0598878, 0, 9.28461e-23, 0, 1.41421, -9.28461e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61564e-23, 0, 7.66897e-23, 0, 0, 0
0.0677519, 0, 2.46083e-22, 0, 1.41421, -2.46083e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38705e-23, 0, 2.02212e-22, 0, 0, 0
0.0756161, 0, 6.38309e-22, 0, 1.41421, -6.38309e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16392e-22, 0, 5.21917e-22, 0, 0, 0
0.0834802, 0, 1.62267e-21, 0, 1.41421, -1.62267e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02234e-22, 0, 1.32044e-21, 0, 0, 0
0.0913444, 0, 4.04762e-21, 0, 1.41421, -4.04762e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6921e-22, 0, 3.27841e-21, 0, 0, 0
0.0992086, 0, 9.9172e-21, 0, 1.41421, -9.9172e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92114e-21, 0, 7.99606e-21, 0, 0, 0
0.107073, 0, 2.38885e-20, 0, 1.41421, -2.38885e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71343e-21, 0, 1.9175e-20, 0, 0, 0
0.114937, 0, 5.66162e-20, 0, 1.41421, -5.66162e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13705e-20, 0, 4.52457e-20, 0, 0, 0
0.122801, 0, 1.32147e-19, 0, 1.41421, -1.32147e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70036e-20, 0, 1.05143e-19, 0, 0, 0
0.130665, 0, 3.03865e-19, 0, 1.41421, -3.03865e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31483e-20, 0, 2.40717e-19, 0, 0, 0
0.138529, 0, 6.88742e-19, 0, 1.41421, -6.88742e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45505e-19, 0, 5.43237e-19, 0, 0, 0
0.146393, 0, 1.53957e-18, 0, 1.41421, -1.53957e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30536e-19, 0, 1.20903e-18, 0, 0, 0
0.154258, 0, 3.3955e-18, 0, 1.41421, -3.3955e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40644e-19, 0, 2.65485e-18, 0, 0, 0
0.162122, 0, 7.39166e-18, 0, 1.41421, -7.39166e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63775e-18, 0, 5.75391e-18, 0, 0, 0
0.169986, 0, 1.61385e-17, 0, 1.41421, -1.61385e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64394e-18, 0, 1.24946e-17, 0, 0, 0
0.17785, 0, 3.41997e-17, 0, 1.41421, -3.41997e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83995e-18, 0, 2.63597e-17, 0, 0, 0
0.185714, 0, 7.16193e-17, 0, 1.41421, -7.16193e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66685e-17, 0, 5.49509e-17, 0, 0, 0
0.193578, 0, 1.48252e-16, 0, 1.41421, -1.48252e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50305e-17, 0, 1.13221e-16, 0, 0, 0
0.201443, 0, 3.03408e-16, 0, 1.41421, -3.03408e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27916e-17, 0, 2.30616e-16, 0, 0, 0
0.209307, 0, 6.14055e-16, 0, 1.41421, -6.14055e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49593e-16, 0, 4.64462e-16, 0, 0, 0
0.217171, 0, 1.22921e-15, 0, 1.41421, -1.22921e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04117e-16, 0, 9.25094e-16, 0, 0, 0
0.225035, 0, 2.43425e-15, 0, 1.41421, -2.43425e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1174e-16, 0, 1.82251e-15, 0, 0, 0
0.232899, 0, 4.76979e-15, 0, 1.41421, -4.76979e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21782e-15, 0, 3.55197e-15, 0, 0, 0
0.240763, 0, 9.24914e-15, 0, 1.41421, -9.24914e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39984e-15, 0, 6.8493e-15, 0, 0, 0
0.248627, 0, 1.77517e-14, 0, 1.41421, -1.77517e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68219e-15, 0, 1.30695e-14, 0, 0, 0
0.256492, 0, 3.37272e-14, 0, 1.41421, -3.37272e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04624e-15, 0, 2.4681e-14, 0, 0, 0
0.264356, 0, 6.34433e-14, 0, 1.41421, -6.34433e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7311e-14, 0, 4.61323e-14, 0, 0, 0
0.27222, 0, 1.18172e-13, 0, 1.41421, -1.18172e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28162e-14, 0, 8.53558e-14, 0, 0, 0
0.280084, 0, 2.17985e-13, 0, 1.41421, -2.17985e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16379e-14, 0, 1.56348e-13, 0, 0, 0
0.287948, 0, 3.98273e-13, 0, 1.41421, -3.98273e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1473e-13, 0, 2.83543e-13, 0, 0, 0
0.295812, 0, 7.20839e-13, 0, 1.41421, -7.20839e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11681e-13, 0, 5.09158e-13, 0, 0, 0
0.303677, 0, 1.29258e-12, 0, 1.41421, -1.29258e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87202e-13, 0, 9.05382e-13, 0, 0, 0
0.311541, 0, 2.29667e-12, 0, 1.41421, -2.29667e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02315e-13, 0, 1.59436e-12, 0, 0, 0
0.319405, 0, 4.04414e-12, 0, 1.41421, -4.04414e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26347e-12, 0, 2.78067e-12, 0, 0, 0
0.327269, 0, 7.05839e-12, 0, 1.41421, -7.05839e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25498e-12, 0, 4.80341e-12, 0, 0, 0
0.335133, 0, 1.22128e-11, 0, 1.41421, -1.22128e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99378e-12, 0, 8.21898e-12, 0, 0, 0
0.342997, 0, 2.09522e-11, 7.14662e-43, 1.41421, -2.09522e-11, 7.14662e-43, 0, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.14662e-43, 7.02132e-12, 7.14662e-43, 1.39309e-11, 7.14662e-43, 7.14662e-43, 7.14662e-43
0.350861, 0, 3.56492e-11, 1.22572e-41, 1.41421, -3.56492e-11, 1.22572e-41, 0, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22572e-41, 1.22574e-11, 1.22572e-41, 2.33918e-11, 1.22572e-41, 1.22572e-41, 1.22572e-41
0.358726, 0, 6.01694e-11, 1.72472e-40, 1.41421, -6.01694e-11, 1.72472e-40, 0, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 1.72472e-40, 2.12563e-11, 1.72472e-40, 3.89132e-11, 1.72472e-40, 1.72472e-40, 1.72472e-40
0.36659, 0, 1.0077e-10, 2.15437e-39, 1.41421, -1.0077e-10, 2.15437e-39, 0, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 2.15437e-39, 3.66334e-11, 2.15437e-39, 6.41363e-11, 2.15437e-39, 2.15437e-39, 2.15437e-39
0.374454, 0, 1.67514e-10, 2.40894e-38, 1.41421, -1.67514e-10, 2.40894e-38, 0, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 2.40894e-38, 6.2774e-11, 2.40894e-38, 1.0474e-10, 2.40894e-38, 2.40894e-38, 2.40894e-38
0.382318, 0, 2.76502e-10, 2.43975e-37, 1.41421, -2.76502e-10, 2.43975e-37, 0, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 2.43975e-37, 1.07012e-10, 2.43975e-37, 1.69491e-10, 2.43975e-37, 2.43975e-37, 2.43975e-37
0.390182, 0, 4.53378e-10, 2.24891e-36, 1.41421, -4.53378e-10, 2.24891e-36, 0, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 2.24891e-36, 1.81588e-10, 2.24891e-36, 2.7179e-10, 2.24891e-36, 2.24891e-36, 2.24891e-36
0.398046, 0, 7.39372e-10, 5.68727e-35, 1.41421, -7.39372e-10, 5.68727e-35, 0, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 5.68727e-35, 3.07419e-10, 5.68727e-35, 4.31952e-10, 5.68727e-35, 5.68727e-35, 5.68727e-35
0.405911, 0, 1.19823e-09, 4.01304e-34, 1.41421, -1.19823e-09, 4.01304e-34, 0, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 4.01304e-34, 5.17914e-10, 4.01304e-34, 6.80314e-10, 4.01304e-34, 4.01304e-34, 4.01304e-34
