   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_431.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00766566, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000200518, 0, 2.68111e-21, 0, 1.41421, -2.68111e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55877e-26, 0, 4.10679e-22, 0, 2.27041e-21, 0, 0, 0
0.0080667, 0, 5.98831e-21, 0, 1.41421, -5.98831e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52275e-26, 0, 9.33044e-22, 0, 5.05523e-21, 0, 0, 0
0.0159329, 0, 1.31884e-20, 0, 1.41421, -1.31884e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85064e-26, 0, 2.08908e-21, 0, 1.10992e-20, 0, 0, 0
0.0237991, 0, 2.86594e-20, 0, 1.41421, -2.86594e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72642e-25, 0, 4.61316e-21, 0, 2.40461e-20, 0, 0, 0
0.0316652, 0, 6.14883e-20, 0, 1.41421, -6.14883e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74859e-25, 0, 1.00538e-20, 0, 5.14341e-20, 0, 0, 0
0.0395314, 0, 1.30314e-19, 0, 1.41421, -1.30314e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04074e-25, 0, 2.16377e-20, 0, 1.08676e-19, 0, 0, 0
0.0473976, 0, 2.72943e-19, 0, 1.41421, -2.72943e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70466e-24, 0, 4.60126e-20, 0, 2.26929e-19, 0, 0, 0
0.0552638, 0, 5.65214e-19, 0, 1.41421, -5.65214e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57337e-24, 0, 9.67239e-20, 0, 4.68487e-19, 0, 0, 0
0.06313, 0, 1.15766e-18, 0, 1.41421, -1.15766e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40941e-24, 0, 2.01082e-19, 0, 9.56571e-19, 0, 0, 0
0.0709961, 0, 2.34598e-18, 0, 1.41421, -2.34598e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52021e-23, 0, 4.13584e-19, 0, 1.93238e-18, 0, 0, 0
0.0788623, 0, 4.70522e-18, 0, 1.41421, -4.70522e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08732e-23, 0, 8.41911e-19, 0, 3.86328e-18, 0, 0, 0
0.0867285, 0, 9.34273e-18, 0, 1.41421, -9.34273e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20787e-23, 0, 1.69678e-18, 0, 7.64589e-18, 0, 0, 0
0.0945947, 0, 1.83705e-17, 0, 1.41421, -1.83705e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23625e-22, 0, 3.38667e-18, 0, 1.49837e-17, 0, 0, 0
0.102461, 0, 3.57791e-17, 0, 1.41421, -3.57791e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43881e-22, 0, 6.69633e-18, 0, 2.90825e-17, 0, 0, 0
0.110327, 0, 6.90391e-17, 0, 1.41421, -6.90391e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76719e-22, 0, 1.31198e-17, 0, 5.59188e-17, 0, 0, 0
0.118193, 0, 1.32012e-16, 0, 1.41421, -1.32012e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23531e-22, 0, 2.54776e-17, 0, 1.06533e-16, 0, 0, 0
0.126059, 0, 2.50187e-16, 0, 1.41421, -2.50187e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77349e-21, 0, 4.90484e-17, 0, 2.01137e-16, 0, 0, 0
0.133926, 0, 4.70037e-16, 0, 1.41421, -4.70037e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3766e-21, 0, 9.36314e-17, 0, 3.76402e-16, 0, 0, 0
0.141792, 0, 8.75559e-16, 0, 1.41421, -8.75559e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37486e-21, 0, 1.7727e-16, 0, 6.98283e-16, 0, 0, 0
0.149658, 0, 1.61732e-15, 0, 1.41421, -1.61732e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19364e-20, 0, 3.32926e-16, 0, 1.28438e-15, 0, 0, 0
0.157524, 0, 2.96294e-15, 0, 1.41421, -2.96294e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21692e-20, 0, 6.20347e-16, 0, 2.34258e-15, 0, 0, 0
0.16539, 0, 5.3843e-15, 0, 1.41421, -5.3843e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08468e-20, 0, 1.14701e-15, 0, 4.23725e-15, 0, 0, 0
