   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_151.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00298296, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00489144, 0, 1.77681e-18, 0, 1.41421, -1.77681e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01681e-21, 0, 2.13155e-23, 6.33253e-21, 0, 1.76244e-18, 0, 0
0.0127658, 0, 3.36102e-18, 0, 1.41421, -3.36102e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51636e-20, 0, 4.09223e-23, 1.2198e-20, 0, 3.33362e-18, 0, 0
0.0206402, 0, 6.30507e-18, 0, 1.41421, -6.30507e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84441e-20, 0, 7.79272e-23, 2.33065e-20, 0, 6.25324e-18, 0, 0
0.0285146, 0, 1.17324e-17, 0, 1.41421, -1.17324e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29249e-20, 0, 1.47222e-22, 4.4182e-20, 0, 1.16352e-17, 0, 0
0.036389, 0, 2.16594e-17, 0, 1.41421, -2.16594e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76982e-20, 0, 2.75993e-22, 8.31177e-20, 0, 2.14783e-17, 0, 0
0.0442634, 0, 3.96769e-17, 0, 1.41421, -3.96769e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78956e-19, 0, 5.13499e-22, 1.55207e-19, 0, 3.93422e-17, 0, 0
0.0521378, 0, 7.21325e-17, 0, 1.41421, -7.21325e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25316e-19, 0, 9.48349e-22, 2.87729e-19, 0, 7.15185e-17, 0, 0
0.0600122, 0, 1.30163e-16, 0, 1.41421, -1.30163e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86984e-19, 0, 1.7388e-21, 5.29647e-19, 0, 1.29044e-16, 0, 0
0.0678867, 0, 2.33163e-16, 0, 1.41421, -2.33163e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05139e-18, 0, 3.16551e-21, 9.68256e-19, 0, 2.3114e-16, 0, 0
