   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_474.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00748427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000384512, 0, 1.75876e-21, 0, 1.41421, -1.75876e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27171e-25, 1.14974e-22, 0, 1.64366e-21, 0, 0, 0
0.00825329, 0, 4.05579e-21, 0, 1.41421, -4.05579e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97011e-25, 2.7006e-22, 0, 3.78543e-21, 0, 0, 0
0.0161221, 0, 9.21367e-21, 0, 1.41421, -9.21367e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8344e-25, 6.24554e-22, 0, 8.58844e-21, 0, 0, 0
0.0239909, 0, 2.06349e-20, 0, 1.41421, -2.06349e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5506e-24, 1.4233e-21, 0, 1.92101e-20, 0, 0, 0
0.0318596, 0, 4.55902e-20, 0, 1.41421, -4.55902e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47103e-24, 3.19862e-21, 0, 4.23881e-20, 0, 0, 0
0.0397284, 0, 9.94236e-20, 0, 1.41421, -9.94236e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67055e-24, 7.09338e-21, 0, 9.23225e-20, 0, 0, 0
0.0475972, 0, 2.14131e-19, 0, 1.41421, -2.14131e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6743e-23, 1.55318e-20, 0, 1.98583e-19, 0, 0, 0
0.055466, 0, 4.55663e-19, 0, 1.41421, -4.55663e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61142e-23, 3.35967e-20, 0, 4.2203e-19, 0, 0, 0
0.0633348, 0, 9.58429e-19, 0, 1.41421, -9.58429e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70093e-23, 7.18257e-20, 0, 8.86526e-19, 0, 0, 0
0.0712035, 0, 1.99338e-18, 0, 1.41421, -1.99338e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62403e-22, 1.5183e-19, 0, 1.84139e-18, 0, 0, 0
0.0790723, 0, 4.1009e-18, 0, 1.41421, -4.1009e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38827e-22, 3.17467e-19, 0, 3.7831e-18, 0, 0, 0
0.0869411, 0, 8.34757e-18, 0, 1.41421, -8.34757e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99568e-22, 6.5683e-19, 0, 7.69004e-18, 0, 0, 0
0.0948099, 0, 1.68171e-17, 0, 1.41421, -1.68171e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42979e-21, 1.34512e-18, 0, 1.54706e-17, 0, 0, 0
0.102679, 0, 3.354e-17, 0, 1.41421, -3.354e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89345e-21, 2.7274e-18, 0, 3.08097e-17, 0, 0, 0
0.110547, 0, 6.62362e-17, 0, 1.41421, -6.62362e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79917e-21, 5.47695e-18, 0, 6.07535e-17, 0, 0, 0
0.118416, 0, 1.29551e-16, 0, 1.41421, -1.29551e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15137e-20, 1.08952e-17, 0, 1.18644e-16, 0, 0, 0
0.126285, 0, 2.51005e-16, 0, 1.41421, -2.51005e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26493e-20, 2.14755e-17, 0, 2.29507e-16, 0, 0, 0
0.134154, 0, 4.81834e-16, 0, 1.41421, -4.81834e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41529e-20, 4.19523e-17, 0, 4.39838e-16, 0, 0, 0
0.142023, 0, 9.16554e-16, 0, 1.41421, -9.16554e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.53109e-20, 8.1238e-17, 0, 8.35231e-16, 0, 0, 0
0.149891, 0, 1.72795e-15, 0, 1.41421, -1.72795e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63403e-19, 1.55969e-16, 0, 1.57182e-15, 0, 0, 0
0.15776, 0, 3.22906e-15, 0, 1.41421, -3.22906e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10306e-19, 2.9694e-16, 0, 2.93181e-15, 0, 0, 0
0.165629, 0, 5.98208e-15, 0, 1.41421, -5.98208e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8432e-19, 5.60691e-16, 0, 5.4208e-15, 0, 0, 0
0.173498, 0, 1.09878e-14, 0, 1.41421, -1.09878e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09119e-18, 1.05021e-15, 0, 9.93652e-15, 0, 0, 0
0.181366, 0, 2.0097e-14, 0, 1.41421, -2.0097e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03324e-18, 1.96458e-15, 0, 1.81304e-14, 0, 0, 0
0.189235, 0, 3.62811e-14, 0, 1.41421, -3.62811e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73344e-18, 3.62018e-15, 0, 3.26572e-14, 0, 0, 0
0.197104, 0, 6.49646e-14, 0, 1.41421, -6.49646e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80163e-18, 6.62064e-15, 0, 5.83372e-14, 0, 0, 0
0.204973, 0, 1.15388e-13, 0, 1.41421, -1.15388e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22955e-17, 1.20181e-14, 0, 1.03357e-13, 0, 0, 0
0.212842, 0, 2.03314e-13, 0, 1.41421, -2.03314e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20578e-17, 2.16566e-14, 0, 1.81635e-13, 0, 0, 0
0.22071, 0, 3.55411e-13, 0, 1.41421, -3.55411e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92739e-17, 3.87451e-14, 0, 3.16627e-13, 0, 0, 0
0.228579, 0, 6.16437e-13, 0, 1.41421, -6.16437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9411e-17, 6.88305e-14, 0, 5.47537e-13, 0, 0, 0
0.236448, 0, 1.06089e-12, 0, 1.41421, -1.06089e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21783e-16, 1.21433e-13, 0, 9.39337e-13, 0, 0, 0
0.244317, 0, 1.8118e-12, 0, 1.41421, -1.8118e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12148e-16, 2.12782e-13, 0, 1.59881e-12, 0, 0, 0
0.252186, 0, 3.07073e-12, 0, 1.41421, -3.07073e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66989e-16, 3.70371e-13, 0, 2.7e-12, 0, 0, 0
0.260054, 0, 5.16526e-12, 0, 1.41421, -5.16526e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30513e-16, 6.40471e-13, 0, 4.52416e-12, 0, 0, 0
0.267923, 0, 8.62377e-12, 0, 1.41421, -8.62377e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0761e-15, 1.1005e-12, 0, 7.52219e-12, 0, 0, 0
0.275792, 0, 1.42919e-11, 0, 1.41421, -1.42919e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82479e-15, 1.87923e-12, 0, 1.24108e-11, 0, 0, 0
0.283661, 0, 2.35129e-11, 0, 1.41421, -2.35129e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0752e-15, 3.18969e-12, 0, 2.03201e-11, 0, 0, 0
0.291529, 0, 3.84045e-11, 0, 1.41421, -3.84045e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15167e-15, 5.3824e-12, 0, 3.30169e-11, 0, 0, 0
0.299398, 0, 6.22817e-11, 0, 1.41421, -6.22817e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58147e-15, 9.03147e-12, 0, 5.32417e-11, 0, 0, 0
0.307267, 0, 1.00296e-10, 1.13505e-43, 1.41421, -1.00296e-10, 1.13505e-43, 0, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.13505e-43, 1.42185e-14, 1.50729e-11, 1.13505e-43, 8.52093e-11, 1.13505e-43, 1.13505e-43, 1.13505e-43
0.315136, 0, 1.60401e-10, 2.03328e-42, 1.41421, -1.60401e-10, 2.03328e-42, 0, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.03328e-42, 2.34413e-14, 2.50269e-11, 2.03328e-42, 1.35351e-10, 2.03328e-42, 2.03328e-42, 2.03328e-42
0.323005, 0, 2.54789e-10, 3.01672e-41, 1.41421, -2.54789e-10, 3.01672e-41, 0, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.01672e-41, 3.84695e-14, 4.13533e-11, 3.01672e-41, 2.13397e-10, 3.01672e-41, 3.01672e-41, 3.01672e-41
0.330873, 0, 4.02037e-10, 3.9414e-40, 1.41421, -4.02037e-10, 3.9414e-40, 0, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 3.9414e-40, 6.287e-14, 6.80206e-11, 3.9414e-40, 3.33954e-10, 3.9414e-40, 3.9414e-40, 3.9414e-40
0.338742, 0, 6.30284e-10, 4.61189e-39, 1.41421, -6.30284e-10, 4.61189e-39, 0, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 4.61189e-39, 1.02367e-13, 1.11415e-10, 4.61189e-39, 5.18767e-10, 4.61189e-39, 4.61189e-39, 4.61189e-39
0.346611, 0, 9.81907e-10, 4.87405e-38, 1.41421, -9.81907e-10, 4.87405e-38, 0, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 4.87405e-38, 1.66142e-13, 1.8179e-10, 4.87405e-38, 7.99951e-10, 4.87405e-38, 4.87405e-38, 4.87405e-38
0.35448, 0, 1.5204e-09, 4.67092e-37, 1.41421, -1.5204e-09, 4.67092e-37, 0, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 4.67092e-37, 2.68912e-13, 2.95585e-10, 4.67092e-37, 1.22455e-09, 4.67092e-37, 4.67092e-37, 4.67092e-37
0.362348, 0, 2.34049e-09, 4.0847e-36, 1.41421, -2.34049e-09, 4.0847e-36, 0, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.0847e-36, 4.34284e-13, 4.79121e-10, 4.0847e-36, 1.86093e-09, 4.0847e-36, 4.0847e-36, 4.0847e-36
0.370217, 0, 3.58285e-09, 3.27437e-35, 1.41421, -3.58285e-09, 3.27437e-35, 0, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 3.27437e-35, 7.00122e-13, 7.74499e-10, 3.27437e-35, 2.80765e-09, 3.27437e-35, 3.27437e-35, 3.27437e-35
0.378086, 0, 5.45579e-09, 2.41671e-34, 1.41421, -5.45579e-09, 2.41671e-34, 0, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 2.41671e-34, 1.1272e-12, 1.24901e-09, 2.41671e-34, 4.20565e-09, 2.41671e-34, 2.41671e-34, 2.41671e-34
0.385955, 0, 8.26689e-09, 1.6351e-33, 1.41421, -8.26689e-09, 1.6351e-33, 0, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.6351e-33, 1.81312e-12, 2.01016e-09, 1.6351e-33, 6.25491e-09, 1.6351e-33, 1.6351e-33, 1.6351e-33
0.393824, 0, 1.24694e-08, 9.75108e-33, 1.41421, -1.24694e-08, 9.75108e-33, 0, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 9.75108e-33, 2.91461e-12, 3.22954e-09, 9.75108e-33, 9.23695e-09, 9.75108e-33, 9.75108e-33, 9.75108e-33
0.401692, 0, 1.87304e-08, 5.90617e-32, 1.41421, -1.87304e-08, 5.90617e-32, 0, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 5.90617e-32, 4.68336e-12, 5.18081e-09, 5.90617e-32, 1.35449e-08, 5.90617e-32, 5.90617e-32, 5.90617e-32
0.409561, 0, 2.80312e-08, 3.20388e-31, 1.41421, -2.80312e-08, 3.20388e-31, 0, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 3.20388e-31, 7.52328e-12, 8.29998e-09, 3.20388e-31, 1.97237e-08, 3.20388e-31, 3.20388e-31, 3.20388e-31
0.41743, 0, 4.18148e-08, 1.69824e-30, 1.41421, -4.18148e-08, 1.69824e-30, 0, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.69824e-30, 1.20816e-11, 1.32803e-08, 1.69824e-30, 2.85224e-08, 1.69824e-30, 1.69824e-30, 1.69824e-30
0.425299, 0, 6.2205e-08, 8.57399e-30, 1.41421, -6.2205e-08, 8.57399e-30, 0, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 8.57399e-30, 1.93937e-11, 2.12221e-08, 8.57399e-30, 4.09635e-08, 8.57399e-30, 8.57399e-30, 8.57399e-30
0.433167, 0, 9.23286e-08, 4.09051e-29, 1.41421, -9.23286e-08, 4.09051e-29, 0, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 4.09051e-29, 3.11113e-11, 3.38661e-08, 4.09051e-29, 5.84314e-08, 4.09051e-29, 4.09051e-29, 4.09051e-29
0.441036, 0, 1.36793e-07, 1.87467e-28, 1.41421, -1.36793e-07, 1.87467e-28, 0, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 1.87467e-28, 4.98607e-11, 5.39569e-08, 1.87467e-28, 8.27867e-08, 1.87467e-28, 1.87467e-28, 1.87467e-28
0.448905, 0, 2.02394e-07, 8.24069e-28, 1.41421, -2.02394e-07, 8.24069e-28, 0, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 8.24069e-28, 7.98014e-11, 8.58028e-08, 8.24069e-28, 1.16512e-07, 8.24069e-28, 8.24069e-28, 8.24069e-28
0.456774, 0, 2.99152e-07, 3.45541e-27, 1.41421, -2.99152e-07, 3.45541e-27, 0, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 3.45541e-27, 1.2749e-10, 1.36132e-07, 3.45541e-27, 1.62892e-07, 3.45541e-27, 3.45541e-27, 3.45541e-27
0.464643, 0, 4.41843e-07, 1.38243e-26, 1.41421, -4.41843e-07, 1.38243e-26, 0, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 1.38243e-26, 2.03208e-10, 2.15391e-07, 1.38243e-26, 2.26248e-07, 1.38243e-26, 1.38243e-26, 1.38243e-26
0.472511, 0, 6.52231e-07, 5.2819e-26, 1.41421, -6.52231e-07, 5.2819e-26, 0, 5.2819e-26, 5.2819e-26, 5.2819e-26, 5.2819e-26, 5.2819e-26, 5.2819e-26, 6.23553e-14, 5.2819e-26, 5.2819e-26, 5.2819e-26, 5.2819e-26, 5.2819e-26, 3.22989e-10, 3.39694e-07, 5.2819e-26, 3.12214e-07, 5.2819e-26, 5.2819e-26, 5.2819e-26
0.48038, 0, 9.62315e-07, 1.93046e-25, 1.41421, -9.62315e-07, 1.93046e-25, 0, 1.93046e-25, 1.93046e-25, 1.93046e-25, 1.93046e-25, 1.93046e-25, 1.93046e-25, 2.08317e-13, 1.93046e-25, 1.93046e-25, 1.93046e-25, 1.93046e-25, 1.93046e-25, 5.11672e-10, 5.33714e-07, 1.93046e-25, 4.2809e-07, 1.93046e-25, 1.93046e-25, 1.93046e-25
