   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.000138224, 0, 2.46805e-29, 0, 1.41421, -2.46805e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5129e-31, 0, 0, 0, 2.66686e-30, 0, 2.13624e-29, 0, 0
0.00800011, 0, 1.60187e-28, 0, 1.41421, -1.60187e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97921e-30, 0, 0, 0, 2.56894e-29, 0, 1.30518e-28, 0, 0
0.015862, 0, 8.14649e-28, 0, 1.41421, -8.14649e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94559e-29, 0, 0, 0, 1.57039e-28, 0, 6.38154e-28, 0, 0
0.0237239, 0, 3.57522e-27, 0, 1.41421, -3.57522e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30144e-29, 0, 0, 0, 7.69329e-28, 0, 2.72288e-27, 0, 0
0.0315858, 0, 1.41811e-26, 0, 1.41421, -1.41811e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22255e-28, 0, 0, 0, 3.28884e-27, 0, 1.057e-26, 0, 0
0.0394477, 0, 5.21669e-26, 0, 1.41421, -5.21669e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16507e-27, 0, 0, 0, 1.27874e-26, 0, 3.82144e-26, 0, 0
0.0473095, 0, 2.23813e-25, 0, 1.41421, -2.23813e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87833e-27, 0, 0, 0, 5.89254e-26, 0, 1.6001e-25, 0, 0
0.0551714, 0, 7.17583e-25, 0, 1.41421, -7.17583e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54678e-26, 0, 0, 0, 1.9477e-25, 0, 5.07345e-25, 0, 0
0.0630333, 0, 2.2187e-24, 0, 1.41421, -2.2187e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73458e-26, 0, 0, 0, 6.18406e-25, 0, 1.55295e-24, 0, 0
0.0708952, 0, 6.64237e-24, 0, 1.41421, -6.64237e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40438e-25, 0, 0, 0, 1.89554e-24, 0, 4.60639e-24, 0, 0
0.0787571, 0, 1.93162e-23, 0, 1.41421, -1.93162e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04894e-25, 0, 0, 0, 5.63073e-24, 0, 1.32806e-23, 0, 0
0.086619, 0, 5.47011e-23, 0, 1.41421, -5.47011e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13736e-24, 0, 0, 0, 1.62583e-23, 0, 3.73054e-23, 0, 0
0.0944809, 0, 1.51164e-22, 0, 1.41421, -1.51164e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11897e-24, 0, 0, 0, 4.57423e-23, 0, 1.02303e-22, 0, 0
0.102343, 0, 4.08345e-22, 0, 1.41421, -4.08345e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.36377e-24, 0, 0, 0, 1.25649e-22, 0, 2.74332e-22, 0, 0
0.110205, 0, 1.07986e-21, 0, 1.41421, -1.07986e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19622e-23, 0, 0, 0, 3.37539e-22, 0, 7.20362e-22, 0, 0
0.118067, 0, 2.79905e-21, 0, 1.41421, -2.79905e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65391e-23, 0, 0, 0, 8.88023e-22, 0, 1.85449e-21, 0, 0
0.125928, 0, 7.11901e-21, 0, 1.41421, -7.11901e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42846e-22, 0, 0, 0, 2.29079e-21, 0, 4.68537e-21, 0, 0
