   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0495774, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0572089, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0648405, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.072472, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0801036, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0877351, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0953667, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.102998, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.11063, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.118261, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125893, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.133524, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.141156, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.148788, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.156419, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.164051, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.171682, 0, 1.11103e-29, 0, 1.41421, -1.11103e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09214e-32, 0, 0, 3.16877e-34, 0, 3.87442e-35, 0, 1.10191e-29, 0, 0, 0
0.179314, 0, 1.24605e-28, 0, 1.41421, -1.24605e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01964e-30, 0, 0, 3.55364e-33, 0, 8.10321e-33, 0, 1.23574e-28, 0, 0, 0
0.186945, 0, 8.79478e-28, 0, 1.41421, -8.79478e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19651e-30, 0, 0, 2.50811e-32, 0, 8.76249e-32, 0, 8.72169e-28, 0, 0, 0
0.194577, 0, 4.96887e-27, 0, 1.41421, -4.96887e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06578e-29, 0, 0, 1.41811e-31, 0, 6.08655e-31, 0, 4.92746e-27, 0, 0, 0
0.202208, 0, 2.44679e-26, 0, 1.41421, -2.44679e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00206e-28, 0, 0, 6.99706e-31, 0, 3.40655e-30, 0, 2.42636e-26, 0, 0, 0
0.20984, 0, 1.09384e-25, 0, 1.41421, -1.09384e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95013e-28, 0, 0, 3.13713e-30, 0, 1.66673e-29, 0, 1.0847e-25, 0, 0, 0
0.217472, 0, 4.54222e-25, 0, 1.41421, -4.54222e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71653e-27, 0, 0, 1.30724e-29, 0, 7.41525e-29, 0, 4.50419e-25, 0, 0, 0
0.225103, 0, 1.77716e-24, 0, 1.41421, -1.77716e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45409e-26, 0, 0, 5.13447e-29, 0, 3.06758e-28, 0, 1.76226e-24, 0, 0, 0
0.232735, 0, 6.61428e-24, 0, 1.41421, -6.61428e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41183e-26, 0, 0, 1.91893e-28, 0, 1.19651e-27, 0, 6.55878e-24, 0, 0, 0
0.240366, 0, 2.35769e-23, 0, 1.41421, -2.35769e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92906e-25, 0, 0, 6.87036e-28, 0, 4.44174e-27, 0, 2.33789e-23, 0, 0, 0
