   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_262.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00601404, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0018564, 0, 1.88945e-19, 0, 1.41421, -1.88945e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40189e-23, 3.3509e-20, 0, 1.55402e-19, 0, 0, 0
0.00972684, 0, 3.79349e-19, 0, 1.41421, -3.79349e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92617e-23, 6.8233e-20, 0, 3.11047e-19, 0, 0, 0
0.0175973, 0, 7.5396e-19, 0, 1.41421, -7.5396e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39595e-22, 1.37544e-19, 0, 6.16276e-19, 0, 0, 0
0.0254677, 0, 1.48394e-18, 0, 1.41421, -1.48394e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78615e-22, 2.74585e-19, 0, 1.20907e-18, 0, 0, 0
0.0333382, 0, 2.8932e-18, 0, 1.41421, -2.8932e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50858e-22, 5.43065e-19, 0, 2.34959e-18, 0, 0, 0
0.0412086, 0, 5.58941e-18, 0, 1.41421, -5.58941e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0792e-21, 1.06442e-18, 0, 4.52391e-18, 0, 0, 0
0.0490791, 0, 1.07026e-17, 0, 1.41421, -1.07026e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09561e-21, 2.06815e-18, 0, 8.63238e-18, 0, 0, 0
0.0569495, 0, 2.03169e-17, 0, 1.41421, -2.03169e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0343e-21, 3.98457e-18, 0, 1.63283e-17, 0, 0, 0
0.06482, 0, 3.82438e-17, 0, 1.41421, -3.82438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70146e-21, 7.6141e-18, 0, 3.0622e-17, 0, 0, 0
0.0726904, 0, 7.13989e-17, 0, 1.41421, -7.13989e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45818e-20, 1.44342e-17, 0, 5.69502e-17, 0, 0, 0
