   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_101.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0792001, 0, 3.32133e-30, 0, 1.41421, -3.32133e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45932e-32, 0, 0, 6.85723e-35, 0, 3.30666e-30, 0, 0
0.0870932, 0, 3.63273e-29, 0, 1.41421, -3.63273e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59614e-31, 0, 0, 7.50016e-34, 0, 3.61669e-29, 0, 0
0.0949862, 0, 2.49397e-28, 0, 1.41421, -2.49397e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09579e-30, 0, 0, 5.14906e-33, 0, 2.48296e-28, 0, 0
0.102879, 0, 1.36852e-27, 0, 1.41421, -1.36852e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01297e-30, 0, 0, 2.83057e-32, 0, 1.36248e-27, 0, 0
0.110772, 0, 6.54033e-27, 0, 1.41421, -6.54033e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87367e-29, 0, 0, 1.35843e-31, 0, 6.51145e-27, 0, 0
0.118665, 0, 2.83684e-26, 0, 1.41421, -2.83684e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24644e-28, 0, 0, 5.92675e-31, 0, 2.82431e-26, 0, 0
0.126558, 0, 1.14291e-25, 0, 1.41421, -1.14291e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0217e-28, 0, 0, 2.4043e-30, 0, 1.13787e-25, 0, 0
0.134451, 0, 4.33901e-25, 0, 1.41421, -4.33901e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90646e-27, 0, 0, 9.19672e-30, 0, 4.31985e-25, 0, 0
0.142344, 0, 1.56732e-24, 0, 1.41421, -1.56732e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.88644e-27, 0, 0, 3.34852e-29, 0, 1.5604e-24, 0, 0
0.150237, 0, 5.4235e-24, 0, 1.41421, -5.4235e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38296e-26, 0, 0, 1.16834e-28, 0, 5.39955e-24, 0, 0
0.15813, 0, 1.807e-23, 0, 1.41421, -1.807e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93955e-26, 0, 0, 3.92616e-28, 0, 1.79902e-23, 0, 0
0.166023, 0, 5.81944e-23, 0, 1.41421, -5.81944e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55693e-25, 0, 0, 1.27563e-27, 0, 5.79374e-23, 0, 0
0.173917, 0, 1.81711e-22, 0, 1.41421, -1.81711e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98398e-25, 0, 0, 4.01953e-27, 0, 1.80909e-22, 0, 0
0.18181, 0, 5.51492e-22, 0, 1.41421, -5.51492e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42313e-24, 0, 0, 1.2314e-26, 0, 5.49057e-22, 0, 0
0.189703, 0, 1.63019e-21, 0, 1.41421, -1.63019e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16269e-24, 0, 0, 3.67522e-26, 0, 1.62299e-21, 0, 0
0.197596, 0, 4.70138e-21, 0, 1.41421, -4.70138e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06568e-23, 0, 0, 1.07048e-25, 0, 4.68062e-21, 0, 0
0.205489, 0, 1.32472e-20, 0, 1.41421, -1.32472e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8205e-23, 0, 0, 3.04729e-25, 0, 1.31887e-20, 0, 0
0.213382, 0, 3.65151e-20, 0, 1.41421, -3.65151e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60439e-22, 0, 0, 8.48857e-25, 0, 3.63538e-20, 0, 0
0.221275, 0, 9.85669e-20, 0, 1.41421, -9.85669e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33079e-22, 0, 0, 2.31634e-24, 0, 9.81315e-20, 0, 0
0.229168, 0, 2.60796e-19, 0, 1.41421, -2.60796e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14588e-21, 0, 0, 6.19767e-24, 0, 2.59644e-19, 0, 0
0.237061, 0, 6.76909e-19, 0, 1.41421, -6.76909e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97418e-21, 0, 0, 1.62729e-23, 0, 6.73919e-19, 0, 0
0.244954, 0, 1.72475e-18, 0, 1.41421, -1.72475e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57815e-21, 0, 0, 4.19594e-23, 0, 1.71713e-18, 0, 0
0.252847, 0, 4.31681e-18, 0, 1.41421, -4.31681e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8967e-20, 0, 0, 1.06317e-22, 0, 4.29773e-18, 0, 0
0.26074, 0, 1.06188e-17, 0, 1.41421, -1.06188e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66562e-20, 0, 0, 2.64866e-22, 0, 1.05718e-17, 0, 0
0.268633, 0, 2.6068e-17, 0, 1.41421, -2.6068e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14536e-19, 0, 0, 6.60727e-22, 0, 2.59529e-17, 0, 0
0.276526, 0, 6.18967e-17, 0, 1.41421, -6.18967e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71957e-19, 0, 0, 1.59002e-21, 0, 6.16232e-17, 0, 0
0.284419, 0, 1.44677e-16, 0, 1.41421, -1.44677e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35665e-19, 0, 0, 3.76847e-21, 0, 1.44037e-16, 0, 0
0.292312, 0, 3.32996e-16, 0, 1.41421, -3.32996e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46307e-18, 0, 0, 8.79943e-21, 0, 3.31524e-16, 0, 0
0.300205, 0, 7.54941e-16, 0, 1.41421, -7.54941e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31693e-18, 0, 0, 2.02492e-20, 0, 7.51604e-16, 0, 0
0.308098, 0, 1.68631e-15, 0, 1.41421, -1.68631e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40891e-18, 0, 0, 4.59359e-20, 0, 1.67885e-15, 0, 0
0.315991, 0, 3.71201e-15, 0, 1.41421, -3.71201e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63087e-17, 0, 0, 1.02754e-19, 0, 3.6956e-15, 0, 0
0.323884, 0, 8.05428e-15, 0, 1.41421, -8.05428e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53859e-17, 0, 0, 2.26716e-19, 0, 8.01867e-15, 0, 0
0.331777, 0, 1.72295e-14, 0, 1.41421, -1.72295e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56952e-17, 0, 0, 4.93527e-19, 0, 1.71533e-14, 0, 0
0.33967, 0, 3.63432e-14, 0, 1.41421, -3.63432e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59665e-16, 0, 0, 1.06021e-18, 0, 3.61825e-14, 0, 0
0.347563, 0, 7.56046e-14, 0, 1.41421, -7.56046e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32142e-16, 0, 0, 2.24822e-18, 0, 7.52702e-14, 0, 0
0.355456, 0, 1.55136e-13, 0, 1.41421, -1.55136e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81521e-16, 0, 0, 4.70734e-18, 0, 1.5445e-13, 0, 0
0.363349, 0, 3.14035e-13, 0, 1.41421, -3.14035e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37954e-15, 0, 0, 9.73501e-18, 0, 3.12645e-13, 0, 0
0.371242, 0, 6.27185e-13, 0, 1.41421, -6.27185e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75514e-15, 0, 0, 1.98917e-17, 0, 6.2441e-13, 0, 0
0.379135, 0, 1.23599e-12, 4.62428e-44, 1.41421, -1.23599e-12, 4.62428e-44, 0, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 4.62428e-44, 5.42951e-15, 4.62428e-44, 4.62428e-44, 4.01745e-17, 4.62428e-44, 1.23052e-12, 4.62428e-44, 4.62428e-44
0.387028, 0, 2.40376e-12, 8.46384e-43, 1.41421, -2.40376e-12, 8.46384e-43, 0, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 8.46384e-43, 1.05593e-14, 8.46384e-43, 8.46384e-43, 8.02376e-17, 8.46384e-43, 2.39312e-12, 8.46384e-43, 8.46384e-43
0.394921, 0, 4.61386e-12, 1.26705e-41, 1.41421, -4.61386e-12, 1.26705e-41, 0, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 1.26705e-41, 2.02685e-14, 1.26705e-41, 1.26705e-41, 1.58557e-16, 1.26705e-41, 4.59343e-12, 1.26705e-41, 1.26705e-41
