   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0892044, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0970853, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.104966, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.112847, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.120728, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.128609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.13649, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.144371, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.152252, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.160133, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.168013, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.175894, 0, 8.92966e-30, 0, 1.41421, -8.92966e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77773e-32, 0, 0, 6.20974e-35, 0, 8.84182e-30, 0, 0, 0
0.183775, 0, 1.11795e-28, 0, 1.41421, -1.11795e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09893e-30, 0, 0, 7.77428e-34, 0, 1.10695e-28, 0, 0, 0
0.191656, 0, 8.77961e-28, 0, 1.41421, -8.77961e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63023e-30, 0, 0, 6.10539e-33, 0, 8.69324e-28, 0, 0, 0
0.199537, 0, 5.49844e-27, 0, 1.41421, -5.49844e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40489e-29, 0, 0, 3.82365e-32, 0, 5.44435e-27, 0, 0, 0
0.207418, 0, 2.9895e-26, 0, 1.41421, -2.9895e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93863e-28, 0, 0, 2.07957e-31, 0, 2.96009e-26, 0, 0, 0
0.215299, 0, 1.46974e-25, 0, 1.41421, -1.46974e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44474e-27, 0, 0, 1.02314e-30, 0, 1.45529e-25, 0, 0, 0
