   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_855.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0117536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00390719, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00393923, 0, 8.69478e-17, 0, 1.41421, -8.69478e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.26718e-19, 0, 0, 3.76342e-19, 0, 0, 8.56448e-17, 0, 0
0.0117856, 0, 1.47282e-16, 0, 1.41421, -1.47282e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56966e-18, 0, 0, 6.48865e-19, 0, 0, 1.45064e-16, 0, 0
0.0196321, 0, 2.48021e-16, 0, 1.41421, -2.48021e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64307e-18, 0, 0, 1.11227e-18, 0, 0, 2.44265e-16, 0, 0
0.0274785, 0, 4.1525e-16, 0, 1.41421, -4.1525e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42482e-18, 0, 0, 1.8958e-18, 0, 0, 4.08929e-16, 0, 0
0.0353249, 0, 6.91275e-16, 0, 1.41421, -6.91275e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36546e-18, 0, 0, 3.21324e-18, 0, 0, 6.80697e-16, 0, 0
0.0431713, 0, 1.14431e-15, 0, 1.41421, -1.14431e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21915e-17, 0, 0, 5.41627e-18, 0, 0, 1.1267e-15, 0, 0
0.0510177, 0, 1.88374e-15, 0, 1.41421, -1.88374e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00675e-17, 0, 0, 9.08022e-18, 0, 0, 1.85459e-15, 0, 0
0.0588641, 0, 3.08395e-15, 0, 1.41421, -3.08395e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28505e-17, 0, 0, 1.51414e-17, 0, 0, 3.03596e-15, 0, 0
0.0667106, 0, 5.02149e-15, 0, 1.41421, -5.02149e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34843e-17, 0, 0, 2.51154e-17, 0, 0, 4.94289e-15, 0, 0
0.074557, 0, 8.13237e-15, 0, 1.41421, -8.13237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66104e-17, 0, 0, 4.14439e-17, 0, 0, 8.00432e-15, 0, 0
0.0824034, 0, 1.31004e-14, 0, 1.41421, -1.31004e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39507e-16, 0, 0, 6.80391e-17, 0, 0, 1.28929e-14, 0, 0
0.0902498, 0, 2.09921e-14, 0, 1.41421, -2.09921e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23524e-16, 0, 0, 1.11137e-16, 0, 0, 2.06574e-14, 0, 0
0.0980962, 0, 3.34616e-14, 0, 1.41421, -3.34616e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56263e-16, 0, 0, 1.80632e-16, 0, 0, 3.29248e-14, 0, 0
0.105943, 0, 5.30613e-14, 0, 1.41421, -5.30613e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6488e-16, 0, 0, 2.9214e-16, 0, 0, 5.22042e-14, 0, 0
0.113789, 0, 8.3707e-14, 0, 1.41421, -8.3707e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91036e-16, 0, 0, 4.70195e-16, 0, 0, 8.23458e-14, 0, 0
0.121635, 0, 1.31376e-13, 0, 1.41421, -1.31376e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39831e-15, 0, 0, 7.5316e-16, 0, 0, 1.29224e-13, 0, 0
0.129482, 0, 2.05139e-13, 0, 1.41421, -2.05139e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18318e-15, 0, 0, 1.20074e-15, 0, 0, 2.01755e-13, 0, 0
0.137328, 0, 3.18695e-13, 0, 1.41421, -3.18695e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39132e-15, 0, 0, 1.90544e-15, 0, 0, 3.13398e-13, 0, 0
0.145175, 0, 4.92614e-13, 0, 1.41421, -4.92614e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24148e-15, 0, 0, 3.00997e-15, 0, 0, 4.84362e-13, 0, 0
0.153021, 0, 7.57622e-13, 0, 1.41421, -7.57622e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.06033e-15, 0, 0, 4.7336e-15, 0, 0, 7.44828e-13, 0, 0
0.160868, 0, 1.15937e-12, 0, 1.41421, -1.15937e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23332e-14, 0, 0, 7.41217e-15, 0, 0, 1.13963e-12, 0, 0
0.168714, 0, 1.76533e-12, 0, 1.41421, -1.76533e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87774e-14, 0, 0, 1.15574e-14, 0, 0, 1.735e-12, 0, 0
0.17656, 0, 2.67468e-12, 0, 1.41421, -2.67468e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84471e-14, 0, 0, 1.79467e-14, 0, 0, 2.62828e-12, 0, 0
0.184407, 0, 4.03243e-12, 0, 1.41421, -4.03243e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28836e-14, 0, 0, 2.77579e-14, 0, 0, 3.96178e-12, 0, 0
0.192253, 0, 6.04949e-12, 0, 1.41421, -6.04949e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43286e-14, 0, 0, 4.27689e-14, 0, 0, 5.94239e-12, 0, 0
0.2001, 0, 9.03097e-12, 0, 1.41421, -9.03097e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60252e-14, 0, 0, 6.56573e-14, 0, 0, 8.86929e-12, 0, 0
0.207946, 0, 1.3416e-11, 0, 1.41421, -1.3416e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4264e-13, 0, 0, 1.00447e-13, 0, 0, 1.31729e-11, 0, 0
0.215792, 0, 1.98392e-11, 0, 1.41421, -1.98392e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10922e-13, 0, 0, 1.53477e-13, 0, 0, 1.94748e-11, 0, 0
0.223639, 0, 2.9185e-11, 0, 1.41421, -2.9185e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10268e-13, 0, 0, 2.33331e-13, 0, 0, 2.86414e-11, 0, 0
0.231485, 0, 4.27259e-11, 0, 1.41421, -4.27259e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54209e-13, 0, 0, 3.53751e-13, 0, 0, 4.19179e-11, 0, 0
0.239332, 0, 6.2248e-11, 0, 1.41421, -6.2248e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61738e-13, 0, 0, 5.34972e-13, 0, 0, 6.10513e-11, 0, 0
0.247178, 0, 9.02548e-11, 5.60519e-44, 1.41421, -9.02548e-11, 0, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 5.60519e-44, 9.59482e-13, 5.60519e-44, 5.60519e-44, 8.07223e-13, 5.60519e-44, 5.60519e-44, 8.84881e-11, 5.60519e-44, 5.60519e-44
0.255025, 0, 1.30237e-10, 9.08041e-43, 1.41421, -1.30237e-10, 0, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 9.08041e-43, 1.38458e-12, 9.08041e-43, 9.08041e-43, 1.21567e-12, 9.08041e-43, 9.08041e-43, 1.27636e-10, 9.08041e-43, 9.08041e-43
0.262871, 0, 1.87035e-10, 1.26986e-41, 1.41421, -1.87035e-10, 0, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.26986e-41, 1.98855e-12, 1.26986e-41, 1.26986e-41, 1.82778e-12, 1.26986e-41, 1.26986e-41, 1.83219e-10, 1.26986e-41, 1.26986e-41
0.270717, 0, 2.67331e-10, 1.5752e-40, 1.41421, -2.67331e-10, 0, 1.5752e-40, 1.5752e-40, 1.5752e-40, 1.5752e-40, 1.5752e-40, 1.5752e-40, 1.5752e-40, 1.5752e-40, 2.84254e-12, 1.5752e-40, 1.5752e-40, 2.74448e-12, 1.5752e-40, 1.5752e-40, 2.61744e-10, 1.5752e-40, 1.5752e-40
0.278564, 0, 3.80296e-10, 1.75419e-39, 1.41421, -3.80296e-10, 0, 1.75419e-39, 1.75419e-39, 1.75419e-39, 1.75419e-39, 1.75419e-39, 1.75419e-39, 1.75419e-39, 1.75419e-39, 4.04427e-12, 1.75419e-39, 1.75419e-39, 4.11674e-12, 1.75419e-39, 1.75419e-39, 3.72135e-10, 1.75419e-39, 1.75419e-39
0.28641, 0, 5.38458e-10, 1.76455e-38, 1.41421, -5.38458e-10, 0, 1.76455e-38, 1.76455e-38, 1.76455e-38, 1.76455e-38, 1.76455e-38, 1.76455e-38, 1.76455e-38, 1.76455e-38, 5.72726e-12, 1.76455e-38, 1.76455e-38, 6.17068e-12, 1.76455e-38, 1.76455e-38, 5.2656e-10, 1.76455e-38, 1.76455e-38
0.294257, 0, 7.58842e-10, 1.61172e-37, 1.41421, -7.58842e-10, 0, 1.61172e-37, 1.61172e-37, 1.61172e-37, 1.61172e-37, 1.61172e-37, 1.61172e-37, 1.61172e-37, 1.61172e-37, 8.07315e-12, 1.61172e-37, 1.61172e-37, 9.24529e-12, 1.61172e-37, 1.61172e-37, 7.41523e-10, 1.61172e-37, 1.61172e-37
0.302103, 0, 1.06447e-09, 1.34323e-36, 1.41421, -1.06447e-09, 0, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.34323e-36, 1.13277e-11, 1.34323e-36, 1.34323e-36, 1.38492e-11, 1.34323e-36, 1.34323e-36, 1.0393e-09, 1.34323e-36, 1.34323e-36
0.309949, 0, 1.48633e-09, 1.02685e-35, 1.41421, -1.48633e-09, 0, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.02685e-35, 1.5822e-11, 1.02685e-35, 1.02685e-35, 2.0746e-11, 1.02685e-35, 1.02685e-35, 1.44976e-09, 1.02685e-35, 1.02685e-35
0.317796, 0, 2.06591e-09, 7.23585e-35, 1.41421, -2.06591e-09, 0, 7.23585e-35, 7.23585e-35, 7.23585e-35, 7.23585e-35, 7.23585e-35, 7.23585e-35, 7.23585e-35, 7.23585e-35, 2.19997e-11, 7.23585e-35, 7.23585e-35, 3.1083e-11, 7.23585e-35, 7.23585e-35, 2.01283e-09, 7.23585e-35, 7.23585e-35
0.325642, 0, 2.85852e-09, 4.77578e-34, 1.41421, -2.85852e-09, 0, 4.77578e-34, 4.77578e-34, 4.77578e-34, 4.77578e-34, 4.77578e-34, 4.77578e-34, 4.77578e-34, 4.77578e-34, 3.0453e-11, 4.77578e-34, 4.77578e-34, 4.65838e-11, 4.77578e-34, 4.77578e-34, 2.78148e-09, 4.77578e-34, 4.77578e-34
0.333489, 0, 3.93753e-09, 3.12732e-33, 1.41421, -3.93753e-09, 0, 3.12732e-33, 3.12732e-33, 3.12732e-33, 3.12732e-33, 3.12732e-33, 3.12732e-33, 3.12732e-33, 3.12732e-33, 4.19678e-11, 3.12732e-33, 3.12732e-33, 6.98378e-11, 3.12732e-33, 3.12732e-33, 3.82573e-09, 3.12732e-33, 3.12732e-33
0.341335, 0, 5.39988e-09, 1.94196e-32, 1.41421, -5.39988e-09, 0, 1.94196e-32, 1.94196e-32, 1.94196e-32, 1.94196e-32, 1.94196e-32, 1.94196e-32, 1.94196e-32, 1.94196e-32, 5.75838e-11, 1.94196e-32, 1.94196e-32, 1.04733e-10, 1.94196e-32, 1.94196e-32, 5.23756e-09, 1.94196e-32, 1.94196e-32
0.349182, 0, 7.37305e-09, 1.12583e-31, 1.41421, -7.37305e-09, 0, 1.12583e-31, 1.12583e-31, 1.12583e-31, 1.12583e-31, 1.12583e-31, 1.12583e-31, 1.12583e-31, 1.12583e-31, 7.86691e-11, 1.12583e-31, 1.12583e-31, 1.571e-10, 1.12583e-31, 1.12583e-31, 7.13728e-09, 1.12583e-31, 1.12583e-31
0.357028, 0, 1.0024e-08, 6.11212e-31, 1.41421, -1.0024e-08, 0, 6.11212e-31, 6.11212e-31, 6.11212e-31, 6.11212e-31, 6.11212e-31, 6.11212e-31, 6.11212e-31, 6.11212e-31, 1.07017e-10, 6.11212e-31, 6.11212e-31, 2.35672e-10, 6.11212e-31, 6.11212e-31, 9.68131e-09, 6.11212e-31, 6.11212e-31
0.364874, 0, 1.35705e-08, 3.11127e-30, 1.41421, -1.35705e-08, 0, 3.11127e-30, 3.11127e-30, 3.11127e-30, 3.11127e-30, 3.11127e-30, 3.11127e-30, 3.11127e-30, 3.11127e-30, 1.44967e-10, 3.11127e-30, 3.11127e-30, 3.53502e-10, 3.11127e-30, 3.11127e-30, 1.30721e-08, 3.11127e-30, 3.11127e-30
0.372721, 0, 1.82957e-08, 1.48892e-29, 1.41421, -1.82957e-08, 0, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.48892e-29, 1.95561e-10, 1.48892e-29, 1.48892e-29, 5.30056e-10, 1.48892e-29, 1.48892e-29, 1.75701e-08, 1.48892e-29, 1.48892e-29
0.380567, 0, 2.45662e-08, 6.72579e-29, 1.41421, -2.45662e-08, 0, 6.72579e-29, 6.72579e-29, 6.72579e-29, 6.72579e-29, 6.72579e-29, 6.72579e-29, 6.72579e-29, 6.72579e-29, 2.62734e-10, 6.72579e-29, 6.72579e-29, 7.94275e-10, 6.72579e-29, 6.72579e-29, 2.35092e-08, 6.72579e-29, 6.72579e-29
0.388414, 0, 3.28552e-08, 2.87521e-28, 1.41421, -3.28552e-08, 0, 2.87521e-28, 2.87521e-28, 2.87521e-28, 2.87521e-28, 2.87521e-28, 2.87521e-28, 2.87521e-28, 2.87521e-28, 3.51563e-10, 2.87521e-28, 2.87521e-28, 1.18905e-09, 2.87521e-28, 2.87521e-28, 3.13146e-08, 2.87521e-28, 2.87521e-28
0.39626, 0, 4.37717e-08, 1.16625e-27, 1.41421, -4.37717e-08, 0, 1.16625e-27, 1.16625e-27, 1.16625e-27, 1.16625e-27, 1.16625e-27, 1.16625e-27, 1.16625e-27, 1.16625e-27, 4.68564e-10, 1.16625e-27, 1.16625e-27, 1.77773e-09, 1.16625e-27, 1.16625e-27, 4.15254e-08, 1.16625e-27, 1.16625e-27
0.404106, 0, 5.80972e-08, 4.50037e-27, 1.41421, -5.80972e-08, 0, 4.50037e-27, 4.50037e-27, 4.50037e-27, 4.50037e-27, 4.50037e-27, 4.50037e-27, 4.50037e-27, 4.50037e-27, 6.22076e-10, 4.50037e-27, 4.50037e-27, 2.65347e-09, 4.50037e-27, 4.50037e-27, 5.48217e-08, 4.50037e-27, 4.50037e-27
0.411953, 0, 7.68327e-08, 1.65629e-26, 1.41421, -7.68327e-08, 0, 1.65629e-26, 1.65629e-26, 1.65629e-26, 1.65629e-26, 1.65629e-26, 1.65629e-26, 1.65629e-26, 1.65629e-26, 8.22725e-10, 1.65629e-26, 1.65629e-26, 3.95268e-09, 1.65629e-26, 1.65629e-26, 7.20573e-08, 1.65629e-26, 1.65629e-26
0.419799, 0, 1.01257e-07, 5.82804e-26, 1.41421, -1.01257e-07, 0, 5.82804e-26, 5.82804e-26, 5.82804e-26, 5.82804e-26, 5.82804e-26, 5.82804e-26, 5.82804e-26, 5.82804e-26, 1.08401e-09, 5.82804e-26, 5.82804e-26, 5.87421e-09, 5.82804e-26, 5.82804e-26, 9.42984e-08, 5.82804e-26, 5.82804e-26
0.427646, 0, 1.33e-07, 1.97957e-25, 1.41421, -1.33e-07, 0, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.97957e-25, 1.42298e-09, 1.97957e-25, 1.97957e-25, 8.70638e-09, 1.97957e-25, 1.97957e-25, 1.2287e-07, 1.97957e-25, 1.97957e-25
0.435492, 0, 1.74461e-07, 8.54753e-12, 1.41421, -1.74461e-07, 8.54753e-12, 8.55245e-12, 1.07702e-11, 1.02773e-11, 3.73246e-11, 1.79341e-10, 1.47523e-11, 1.79087e-11, 7.6608e-11, 1.86975e-09, 9.77706e-12, 8.62553e-12, 1.28739e-08, 8.66426e-12, 8.54756e-12, 1.59436e-07, 8.54753e-12, 1.79764e-11
0.443339, 0, 2.28295e-07, 2.62636e-11, 1.41421, -2.28295e-07, 2.62636e-11, 2.62785e-11, 3.3001e-11, 3.1507e-11, 1.13494e-10, 5.43978e-10, 4.50717e-11, 5.46394e-11, 2.3257e-10, 2.45195e-09, 2.99906e-11, 2.65e-11, 1.89761e-08, 2.88279e-11, 2.62637e-11, 2.06014e-07, 2.62636e-11, 5.48447e-11
0.451185, 0, 2.98219e-07, 6.20573e-11, 1.41421, -2.98219e-07, 6.20573e-11, 6.20922e-11, 7.78239e-11, 7.43278e-11, 2.66191e-10, 1.2736e-09, 1.06071e-10, 1.28462e-10, 5.44852e-10, 3.21227e-09, 7.07791e-11, 6.26106e-11, 2.7874e-08, 6.98176e-11, 6.20575e-11, 2.65136e-07, 6.20573e-11, 1.28942e-10
0.459031, 0, 3.89115e-07, 1.32933e-10, 1.41421, -3.89115e-07, 1.32933e-10, 1.33007e-10, 1.66484e-10, 1.59044e-10, 5.6733e-10, 2.7111e-09, 2.26595e-10, 2.74241e-10, 1.16032e-09, 4.20988e-09, 1.51493e-10, 1.3411e-10, 4.07955e-08, 1.51762e-10, 1.32933e-10, 3.3986e-07, 1.32933e-10, 2.75264e-10
0.466878, 0, 5.07596e-07, 2.70858e-10, 1.41421, -5.07596e-07, 2.70858e-10, 2.71008e-10, 3.38914e-10, 3.23823e-10, 1.152e-09, 5.50047e-09, 4.60844e-10, 5.57491e-10, 2.35483e-09, 5.52907e-09, 3.08505e-10, 2.73246e-10, 5.94817e-08, 3.12258e-10, 2.70858e-10, 4.33964e-07, 2.70858e-10, 5.59565e-10
