   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.182363, 0, 1.24456e-12, 0, 1.41421, -1.24456e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78913e-14, 0, 0, 1.60507e-16, 0, 4.11355e-15, 0, 1.19239e-12, 0, 0, 0
0.190217, 0, 1.97755e-12, 0, 1.41421, -1.97755e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60917e-14, 0, 0, 2.60904e-16, 0, 6.74945e-15, 0, 1.89444e-12, 0, 0, 0
0.19807, 0, 3.12393e-12, 0, 1.41421, -3.12393e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20194e-13, 0, 0, 4.2194e-16, 0, 1.1021e-14, 0, 2.99229e-12, 0, 0, 0
0.205924, 0, 4.90624e-12, 0, 1.41421, -4.90624e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88758e-13, 0, 0, 6.79013e-16, 0, 1.79106e-14, 0, 4.69889e-12, 0, 0, 0
0.213778, 0, 7.66094e-12, 0, 1.41421, -7.66094e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94726e-13, 0, 0, 1.08746e-15, 0, 2.8972e-14, 0, 7.33615e-12, 0, 0, 0
0.221631, 0, 1.18935e-11, 0, 1.41421, -1.18935e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57544e-13, 0, 0, 1.73353e-15, 0, 4.66513e-14, 0, 1.13876e-11, 0, 0, 0
0.229485, 0, 1.83589e-11, 0, 1.41421, -1.83589e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06253e-13, 0, 0, 2.7511e-15, 0, 7.47846e-14, 0, 1.75751e-11, 0, 0, 0
0.237338, 0, 2.81883e-11, 0, 1.41421, -2.81883e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08441e-12, 0, 0, 4.35586e-15, 0, 1.19601e-13, 0, 2.69799e-11, 0, 0, 0
0.245192, 0, 4.30149e-11, 0, 1.41421, -4.30149e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65485e-12, 0, 0, 6.85545e-15, 0, 1.90076e-13, 0, 4.11631e-11, 0, 0, 0
0.253046, 0, 6.52691e-11, 0, 1.41421, -6.52691e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51117e-12, 0, 0, 1.07486e-14, 0, 3.0085e-13, 0, 6.24463e-11, 0, 0, 0
0.260899, 0, 9.84788e-11, 0, 1.41421, -9.84788e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7893e-12, 0, 0, 1.67935e-14, 0, 4.7431e-13, 0, 9.41984e-11, 0, 0, 0
0.268753, 0, 1.47751e-10, 1.55544e-43, 1.41421, -1.47751e-10, 0, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 5.68613e-12, 1.55544e-43, 1.55544e-43, 2.61534e-14, 1.55544e-43, 7.4495e-13, 1.55544e-43, 1.41294e-10, 1.55544e-43, 1.55544e-43, 1.55544e-43
0.276606, 0, 2.20437e-10, 2.68489e-42, 1.41421, -2.20437e-10, 0, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 2.68489e-42, 8.48525e-12, 2.68489e-42, 2.68489e-42, 4.06115e-14, 2.68489e-42, 1.16578e-12, 2.68489e-42, 2.10746e-10, 2.68489e-42, 2.68489e-42, 2.68489e-42
0.28446, 0, 3.27048e-10, 3.8844e-41, 1.41421, -3.27048e-10, 0, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 3.8844e-41, 1.25926e-11, 3.8844e-41, 3.8844e-41, 6.29e-14, 3.8844e-41, 1.81804e-12, 3.8844e-41, 3.12574e-10, 3.8844e-41, 3.8844e-41, 3.8844e-41
0.292314, 0, 4.82526e-10, 4.97342e-40, 1.41421, -4.82526e-10, 0, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 4.97342e-40, 1.8586e-11, 4.97342e-40, 4.97342e-40, 9.72045e-14, 4.97342e-40, 2.82596e-12, 4.97342e-40, 4.61017e-10, 4.97342e-40, 4.97342e-40, 4.97342e-40
0.300167, 0, 7.07984e-10, 5.70529e-39, 1.41421, -7.07984e-10, 0, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 5.70529e-39, 2.72828e-11, 5.70529e-39, 5.70529e-39, 1.49938e-13, 5.70529e-39, 4.37911e-12, 5.70529e-39, 6.76172e-10, 5.70529e-39, 5.70529e-39, 5.70529e-39
0.308021, 0, 1.03307e-09, 5.90628e-38, 1.41421, -1.03307e-09, 0, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 5.90628e-38, 3.98334e-11, 5.90628e-38, 5.90628e-38, 2.30934e-13, 5.90628e-38, 6.76622e-12, 5.90628e-38, 9.86241e-10, 5.90628e-38, 5.90628e-38, 5.90628e-38
0.315874, 0, 1.49918e-09, 5.54561e-37, 1.41421, -1.49918e-09, 0, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.54561e-37, 5.78464e-11, 5.54561e-37, 5.54561e-37, 3.55276e-13, 5.54561e-37, 1.04263e-11, 5.54561e-37, 1.43055e-09, 5.54561e-37, 5.54561e-37, 5.54561e-37
0.323728, 0, 2.16373e-09, 4.74783e-36, 1.41421, -2.16373e-09, 0, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 4.74783e-36, 8.356e-11, 4.74783e-36, 4.74783e-36, 5.46127e-13, 4.74783e-36, 1.60258e-11, 4.74783e-36, 2.06359e-09, 4.74783e-36, 4.74783e-36, 4.74783e-36
0.331582, 0, 3.10594e-09, 3.72568e-35, 1.41421, -3.10594e-09, 0, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 3.72568e-35, 1.2007e-10, 3.72568e-35, 3.72568e-35, 8.39083e-13, 3.72568e-35, 2.45754e-11, 3.72568e-35, 2.96046e-09, 3.72568e-35, 3.72568e-35, 3.72568e-35
0.339435, 0, 4.43446e-09, 2.69195e-34, 1.41421, -4.43446e-09, 0, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 2.69195e-34, 1.71638e-10, 2.69195e-34, 2.69195e-34, 1.28888e-12, 2.69195e-34, 3.7605e-11, 2.69195e-34, 4.22393e-09, 2.69195e-34, 2.69195e-34, 2.69195e-34
0.347289, 0, 6.29738e-09, 1.81222e-33, 1.41421, -6.29738e-09, 0, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 1.81222e-33, 2.44095e-10, 1.81222e-33, 1.81222e-33, 1.97974e-12, 1.81222e-33, 5.74281e-11, 1.81222e-33, 5.99388e-09, 1.81222e-33, 1.81222e-33, 1.81222e-33
0.355142, 0, 8.89545e-09, 1.21663e-32, 1.41421, -8.89545e-09, 0, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 1.21663e-32, 3.45383e-10, 1.21663e-32, 1.21663e-32, 3.04123e-12, 1.21663e-32, 8.75376e-11, 1.21663e-32, 8.45949e-09, 1.21663e-32, 1.21663e-32, 1.21663e-32
0.362996, 0, 1.24992e-08, 7.73773e-32, 1.41421, -1.24992e-08, 0, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 7.73773e-32, 4.86259e-10, 7.73773e-32, 7.73773e-32, 4.67269e-12, 7.73773e-32, 1.332e-10, 7.73773e-32, 1.18751e-08, 7.73773e-32, 7.73773e-32, 7.73773e-32
0.370849, 0, 1.74714e-08, 4.60024e-31, 1.41421, -1.74714e-08, 0, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 4.60024e-31, 6.81233e-10, 4.60024e-31, 4.60024e-31, 7.18053e-12, 4.60024e-31, 2.0234e-10, 4.60024e-31, 1.65806e-08, 4.60024e-31, 4.60024e-31, 4.60024e-31
0.378703, 0, 2.42951e-08, 2.55671e-30, 1.41421, -2.42951e-08, 0, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 2.55671e-30, 9.49767e-10, 2.55671e-30, 2.55671e-30, 1.10351e-11, 2.55671e-30, 3.06861e-10, 2.55671e-30, 2.30275e-08, 2.55671e-30, 2.55671e-30, 2.55671e-30
0.386557, 0, 3.36114e-08, 1.3311e-29, 1.41421, -3.36114e-08, 0, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.3311e-29, 1.31786e-09, 1.3311e-29, 1.3311e-29, 1.69572e-11, 1.3311e-29, 4.64602e-10, 1.3311e-29, 3.1812e-08, 1.3311e-29, 1.3311e-29, 1.3311e-29
