   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0156106, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00775838, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.38225e-05, 0, 2.32623e-17, 0, 1.41421, -2.32623e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38678e-19, 0, 0, 8.73951e-20, 0, 1.03749e-20, 0, 2.30259e-17, 0, 0
0.00794602, 0, 4.09057e-17, 0, 1.41421, -4.09057e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4384e-19, 0, 0, 1.56269e-19, 0, 1.86335e-20, 0, 4.04869e-17, 0, 0
0.0157982, 0, 7.14545e-17, 0, 1.41421, -7.14545e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25911e-19, 0, 0, 2.77612e-19, 0, 3.32589e-20, 0, 7.07178e-17, 0, 0
0.0236504, 0, 1.24005e-16, 0, 1.41421, -1.24005e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39086e-19, 0, 0, 4.90041e-19, 0, 5.90043e-20, 0, 1.22717e-16, 0, 0
0.0315026, 0, 2.13823e-16, 0, 1.41421, -2.13823e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27431e-18, 0, 0, 8.59609e-19, 0, 1.04058e-19, 0, 2.11585e-16, 0, 0
0.0393548, 0, 3.66367e-16, 0, 1.41421, -3.66367e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18324e-18, 0, 0, 1.49862e-18, 0, 1.82449e-19, 0, 3.62502e-16, 0, 0
0.047207, 0, 6.23823e-16, 0, 1.41421, -6.23823e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.71714e-18, 0, 0, 2.59684e-18, 0, 3.18071e-19, 0, 6.17191e-16, 0, 0
0.0550592, 0, 1.05566e-15, 0, 1.41421, -1.05566e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28977e-18, 0, 0, 4.47297e-18, 0, 5.51399e-19, 0, 1.04435e-15, 0, 0
0.0629114, 0, 1.77557e-15, 0, 1.41421, -1.77557e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05781e-17, 0, 0, 7.65917e-18, 0, 9.5063e-19, 0, 1.75639e-15, 0, 0
0.0707636, 0, 2.96847e-15, 0, 1.41421, -2.96847e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76833e-17, 0, 0, 1.30388e-17, 0, 1.63004e-18, 0, 2.93612e-15, 0, 0
0.0786158, 0, 4.93327e-15, 0, 1.41421, -4.93327e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93848e-17, 0, 0, 2.20694e-17, 0, 2.78013e-18, 0, 4.87904e-15, 0, 0
0.086468, 0, 8.15025e-15, 0, 1.41421, -8.15025e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85418e-17, 0, 0, 3.71437e-17, 0, 4.71681e-18, 0, 8.05985e-15, 0, 0
0.0943202, 0, 1.33864e-14, 0, 1.41421, -1.33864e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97196e-17, 0, 0, 6.2166e-17, 0, 7.96122e-18, 0, 1.32366e-14, 0, 0
