   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_142.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00311108, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00476088, 0, 8.50737e-21, 0, 1.41421, -8.50737e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98055e-23, 0, 0, 1.69041e-25, 1.56815e-22, 0, 8.27058e-21, 0, 0, 0
0.0126328, 0, 1.86038e-20, 0, 1.41421, -1.86038e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74453e-22, 0, 0, 3.74167e-25, 3.49706e-22, 0, 1.80793e-20, 0, 0, 0
0.0205048, 0, 4.01419e-20, 0, 1.41421, -4.01419e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76282e-22, 0, 0, 8.17315e-25, 7.69098e-22, 0, 3.89957e-20, 0, 0, 0
0.0283768, 0, 8.55148e-20, 0, 1.41421, -8.55148e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01303e-22, 0, 0, 1.76291e-24, 1.66929e-21, 0, 8.30425e-20, 0, 0, 0
0.0362487, 0, 1.79956e-19, 0, 1.41421, -1.79956e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68563e-21, 0, 0, 3.7569e-24, 3.57792e-21, 0, 1.74689e-19, 0, 0, 0
0.0441207, 0, 3.74269e-19, 0, 1.41421, -3.74269e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50443e-21, 0, 0, 7.91408e-24, 7.57749e-21, 0, 3.63179e-19, 0, 0, 0
0.0519927, 0, 7.6962e-19, 0, 1.41421, -7.6962e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20355e-21, 0, 0, 1.64867e-23, 1.58648e-20, 0, 7.46535e-19, 0, 0, 0
0.0598646, 0, 1.56537e-18, 0, 1.41421, -1.56537e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46461e-20, 0, 0, 3.39788e-23, 3.28521e-20, 0, 1.51784e-18, 0, 0, 0
0.0677366, 0, 3.15034e-18, 0, 1.41421, -3.15034e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94641e-20, 0, 0, 6.93069e-23, 6.73111e-20, 0, 3.05349e-18, 0, 0, 0
0.0756085, 0, 6.27529e-18, 0, 1.41421, -6.27529e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86676e-20, 0, 0, 1.39953e-22, 1.36512e-19, 0, 6.07997e-18, 0, 0, 0
0.0834805, 0, 1.23758e-17, 0, 1.41421, -1.23758e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15654e-19, 0, 0, 2.79873e-22, 2.74136e-19, 0, 1.19858e-17, 0, 0, 0
