   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_831.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00432688, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00353551, 0, 1.14952e-21, 0, 1.41421, -1.14952e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03067e-23, 0, 0, 0, 2.39036e-22, 0, 9.0018e-22, 0, 0, 0
0.0113979, 0, 2.63825e-21, 0, 1.41421, -2.63825e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35659e-23, 0, 0, 0, 5.56457e-22, 0, 2.05823e-21, 0, 0, 0
0.0192603, 0, 5.96532e-21, 0, 1.41421, -5.96532e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30872e-23, 0, 0, 0, 1.27562e-21, 0, 4.63661e-21, 0, 0, 0
0.0271227, 0, 1.32982e-20, 0, 1.41421, -1.32982e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1791e-22, 0, 0, 0, 2.88201e-21, 0, 1.02982e-20, 0, 0, 0
0.0349851, 0, 2.92469e-20, 0, 1.41421, -2.92469e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58376e-22, 0, 0, 0, 6.42206e-21, 0, 2.25665e-20, 0, 0, 0
0.0428474, 0, 6.34965e-20, 0, 1.41421, -6.34965e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58901e-22, 0, 0, 0, 1.41234e-20, 0, 4.88142e-20, 0, 0, 0
0.0507098, 0, 1.36153e-19, 0, 1.41421, -1.36153e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19404e-21, 0, 0, 0, 3.0672e-20, 0, 1.04287e-19, 0, 0, 0
0.0585722, 0, 2.88481e-19, 0, 1.41421, -2.88481e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5206e-21, 0, 0, 0, 6.58127e-20, 0, 2.20148e-19, 0, 0, 0
0.0664346, 0, 6.04228e-19, 0, 1.41421, -6.04228e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25971e-21, 0, 0, 0, 1.39587e-19, 0, 4.59381e-19, 0, 0, 0
0.074297, 0, 1.25153e-18, 0, 1.41421, -1.25153e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08531e-20, 0, 0, 0, 2.92773e-19, 0, 9.47904e-19, 0, 0, 0
0.0821594, 0, 2.56442e-18, 0, 1.41421, -2.56442e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21524e-20, 0, 0, 0, 6.07483e-19, 0, 1.93478e-18, 0, 0, 0
0.0900218, 0, 5.1997e-18, 0, 1.41421, -5.1997e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47399e-20, 0, 0, 0, 1.2474e-18, 0, 3.90756e-18, 0, 0, 0
0.0978841, 0, 1.0436e-17, 0, 1.41421, -1.0436e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94317e-20, 0, 0, 0, 2.53564e-18, 0, 7.81092e-18, 0, 0, 0
0.105747, 0, 2.07381e-17, 0, 1.41421, -2.07381e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76978e-19, 0, 0, 0, 5.10394e-18, 0, 1.54572e-17, 0, 0, 0
