   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_433.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00443043, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00343489, 0, 5.26674e-21, 0, 1.41421, -5.26674e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05642e-21, 0, 4.21032e-21, 0, 0
0.0113002, 0, 1.15288e-20, 0, 1.41421, -1.15288e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34381e-21, 0, 9.18499e-21, 0, 0
0.0191655, 0, 2.49091e-20, 0, 1.41421, -2.49091e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13117e-21, 0, 1.97779e-20, 0, 0
0.0270309, 0, 5.31515e-20, 0, 1.41421, -5.31515e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10917e-20, 0, 4.20597e-20, 0, 0
0.0348962, 0, 1.12067e-19, 0, 1.41421, -1.12067e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36874e-20, 0, 8.83794e-20, 0, 0
0.0427615, 0, 2.33584e-19, 0, 1.41421, -2.33584e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0003e-20, 0, 1.83581e-19, 0, 0
0.0506268, 0, 4.81497e-19, 0, 1.41421, -4.81497e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04384e-19, 0, 3.77113e-19, 0, 0
0.0584922, 0, 9.81953e-19, 0, 1.41421, -9.81953e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15583e-19, 0, 7.6637e-19, 0, 0
0.0663575, 0, 1.9819e-18, 0, 1.41421, -1.9819e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40658e-19, 0, 1.54124e-18, 0, 0
0.0742228, 0, 3.96002e-18, 0, 1.41421, -3.96002e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91752e-19, 0, 3.06826e-18, 0, 0
0.0820881, 0, 7.8354e-18, 0, 1.41421, -7.8354e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78723e-18, 0, 6.04817e-18, 0, 0
0.0899535, 0, 1.53562e-17, 0, 1.41421, -1.53562e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54842e-18, 0, 1.18078e-17, 0, 0
0.0978188, 0, 2.98174e-17, 0, 1.41421, -2.98174e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98114e-18, 0, 2.28363e-17, 0, 0
0.105684, 0, 5.73733e-17, 0, 1.41421, -5.73733e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36131e-17, 0, 4.37602e-17, 0, 0
0.113549, 0, 1.09419e-16, 0, 1.41421, -1.09419e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63168e-17, 0, 8.31024e-17, 0, 0
0.121415, 0, 2.0687e-16, 0, 1.41421, -2.0687e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04477e-17, 0, 1.56422e-16, 0, 0
0.12928, 0, 3.87794e-16, 0, 1.41421, -3.87794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59116e-17, 0, 2.91882e-16, 0, 0
0.137145, 0, 7.20891e-16, 0, 1.41421, -7.20891e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80885e-16, 0, 5.40006e-16, 0, 0
0.145011, 0, 1.32914e-15, 0, 1.41421, -1.32914e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38463e-16, 0, 9.90677e-16, 0, 0
0.152876, 0, 2.43088e-15, 0, 1.41421, -2.43088e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28446e-16, 0, 1.80243e-15, 0, 0
0.160741, 0, 4.41067e-15, 0, 1.41421, -4.41067e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15809e-15, 0, 3.25259e-15, 0, 0
0.168607, 0, 7.97847e-15, 0, 1.41421, -7.97847e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13279e-15, 0, 5.84567e-15, 0, 0
0.176472, 0, 1.42458e-14, 0, 1.41421, -1.42458e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87049e-15, 0, 1.03754e-14, 0, 0
0.184337, 0, 2.52455e-14, 0, 1.41421, -2.52455e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97442e-15, 0, 1.82711e-14, 0, 0
