   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000533493, 0, 1.48359e-14, 0, 1.41421, -1.48359e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50507e-16, 0, 0, 9.37128e-17, 0, 1.27799e-17, 0, 1.45789e-14, 0, 0
0.00838889, 0, 2.30159e-14, 0, 1.41421, -2.30159e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33459e-16, 0, 0, 1.48088e-16, 0, 2.043e-17, 0, 2.26139e-14, 0, 0
0.0162443, 0, 3.55467e-14, 0, 1.41421, -3.55467e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6051e-16, 0, 0, 2.33008e-16, 0, 3.25285e-17, 0, 3.49207e-14, 0, 0
0.0240997, 0, 5.46563e-14, 0, 1.41421, -5.46563e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54233e-16, 0, 0, 3.65071e-16, 0, 5.15855e-17, 0, 5.36854e-14, 0, 0
0.0319551, 0, 8.36689e-14, 0, 1.41421, -8.36689e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.48298e-16, 0, 0, 5.69585e-16, 0, 8.14845e-17, 0, 8.21695e-14, 0, 0
0.0398105, 0, 1.27521e-13, 0, 1.41421, -1.27521e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2927e-15, 0, 0, 8.84983e-16, 0, 1.2821e-16, 0, 1.25215e-13, 0, 0
0.0476658, 0, 1.93512e-13, 0, 1.41421, -1.93512e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96133e-15, 0, 0, 1.36939e-15, 0, 2.00948e-16, 0, 1.8998e-13, 0, 0
0.0555212, 0, 2.92381e-13, 0, 1.41421, -2.92381e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96292e-15, 0, 0, 2.11038e-15, 0, 3.13754e-16, 0, 2.86994e-13, 0, 0
0.0633766, 0, 4.39863e-13, 0, 1.41421, -4.39863e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4567e-15, 0, 0, 3.23934e-15, 0, 4.88027e-16, 0, 4.31679e-13, 0, 0
0.071232, 0, 6.58903e-13, 0, 1.41421, -6.58903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67485e-15, 0, 0, 4.95268e-15, 0, 7.56237e-16, 0, 6.46519e-13, 0, 0
0.0790874, 0, 9.82812e-13, 0, 1.41421, -9.82812e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.95434e-15, 0, 0, 7.54289e-15, 0, 1.16747e-15, 0, 9.64147e-13, 0, 0
0.0869428, 0, 1.45973e-12, 0, 1.41421, -1.45973e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47821e-14, 0, 0, 1.14447e-14, 0, 1.79566e-15, 0, 1.43171e-12, 0, 0
