   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.230793, 0, 1.52515e-16, 0, 1.41421, -1.52515e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84669e-18, 0, 0, 1.59229e-21, 2.739e-20, 0, 1.5064e-16, 0, 0, 0
0.238449, 0, 3.1651e-16, 0, 1.41421, -3.1651e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83237e-18, 0, 0, 3.35593e-21, 5.77395e-20, 0, 3.12617e-16, 0, 0, 0
0.246104, 0, 6.49181e-16, 0, 1.41421, -6.49181e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86036e-18, 0, 0, 6.99321e-21, 1.20318e-19, 0, 6.41193e-16, 0, 0, 0
0.253759, 0, 1.31623e-15, 0, 1.41421, -1.31623e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5937e-17, 0, 0, 1.44113e-20, 2.47897e-19, 0, 1.30003e-15, 0, 0, 0
0.261415, 0, 2.63852e-15, 0, 1.41421, -2.63852e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19471e-17, 0, 0, 2.93747e-20, 5.05114e-19, 0, 2.60604e-15, 0, 0, 0
0.26907, 0, 5.23029e-15, 0, 1.41421, -5.23029e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33276e-17, 0, 0, 5.92342e-20, 1.01808e-18, 0, 5.16588e-15, 0, 0, 0
0.276725, 0, 1.02539e-14, 0, 1.41421, -1.02539e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24151e-16, 0, 0, 1.18194e-19, 2.03015e-18, 0, 1.01276e-14, 0, 0, 0
0.284381, 0, 1.98843e-14, 0, 1.41421, -1.98843e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40752e-16, 0, 0, 2.33409e-19, 4.00612e-18, 0, 1.96393e-14, 0, 0, 0
0.292036, 0, 3.81459e-14, 0, 1.41421, -3.81459e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61853e-16, 0, 0, 4.56267e-19, 7.82428e-18, 0, 3.76757e-14, 0, 0, 0
0.299691, 0, 7.24022e-14, 0, 1.41421, -7.24022e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76608e-16, 0, 0, 8.83047e-19, 1.51276e-17, 0, 7.15096e-14, 0, 0, 0
0.307347, 0, 1.35978e-13, 0, 1.41421, -1.35978e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64634e-15, 0, 0, 1.69236e-18, 2.89588e-17, 0, 1.34301e-13, 0, 0, 0
0.315002, 0, 2.52722e-13, 0, 1.41421, -2.52722e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05981e-15, 0, 0, 3.2125e-18, 5.48974e-17, 0, 2.49604e-13, 0, 0, 0
0.322657, 0, 4.64852e-13, 0, 1.41421, -4.64852e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62819e-15, 0, 0, 6.0413e-18, 1.03081e-16, 0, 4.59115e-13, 0, 0, 0
0.330313, 0, 8.46302e-13, 0, 1.41421, -8.46302e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02467e-14, 0, 0, 1.12582e-17, 1.91754e-16, 0, 8.35852e-13, 0, 0, 0
0.337968, 0, 1.52513e-12, 0, 1.41421, -1.52513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84662e-14, 0, 0, 2.07958e-17, 3.53455e-16, 0, 1.50629e-12, 0, 0, 0
0.345624, 0, 2.7208e-12, 0, 1.41421, -2.7208e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29448e-14, 0, 0, 3.80886e-17, 6.45727e-16, 0, 2.68717e-12, 0, 0, 0
0.353279, 0, 4.80532e-12, 2.24208e-44, 1.41421, -4.80532e-12, 0, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 5.81891e-14, 2.24208e-44, 2.24208e-44, 6.91961e-17, 1.16948e-15, 2.24208e-44, 4.74589e-12, 2.24208e-44, 2.24208e-44, 2.24208e-44
0.360934, 0, 8.40265e-12, 3.90962e-43, 1.41421, -8.40265e-12, 0, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 3.90962e-43, 1.0176e-13, 3.90962e-43, 3.90962e-43, 1.24744e-16, 2.10035e-15, 3.90962e-43, 8.29867e-12, 3.90962e-43, 3.90962e-43, 3.90962e-43
0.36859, 0, 1.45482e-11, 5.57296e-42, 1.41421, -1.45482e-11, 0, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 5.57296e-42, 1.76209e-13, 5.57296e-42, 5.57296e-42, 2.2326e-16, 3.7418e-15, 5.57296e-42, 1.4368e-11, 5.57296e-42, 5.57296e-42, 5.57296e-42
0.376245, 0, 2.49415e-11, 7.03228e-41, 1.41421, -2.49415e-11, 0, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 7.03228e-41, 3.02152e-13, 7.03228e-41, 7.03228e-41, 3.96895e-16, 6.61479e-15, 7.03228e-41, 2.46324e-11, 7.03228e-41, 7.03228e-41, 7.03228e-41
0.3839, 0, 4.2344e-11, 7.97688e-40, 1.41421, -4.2344e-11, 0, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 7.97688e-40, 5.13103e-13, 7.97688e-40, 7.97688e-40, 7.01245e-16, 1.16087e-14, 7.97688e-40, 4.18186e-11, 7.97688e-40, 7.97688e-40, 7.97688e-40
0.391556, 0, 7.11929e-11, 8.19789e-39, 1.41421, -7.11929e-11, 0, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.19789e-39, 8.62969e-13, 8.19789e-39, 8.19789e-39, 1.23215e-15, 2.02341e-14, 8.19789e-39, 7.03084e-11, 8.19789e-39, 8.19789e-39, 8.19789e-39
0.399211, 0, 1.18546e-10, 7.67269e-38, 1.41421, -1.18546e-10, 0, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 7.67269e-38, 1.43759e-12, 7.67269e-38, 7.67269e-38, 2.15451e-15, 3.50478e-14, 7.67269e-38, 1.17071e-10, 7.67269e-38, 7.67269e-38, 7.67269e-38
0.406866, 0, 1.9551e-10, 6.57195e-37, 1.41421, -1.9551e-10, 0, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 6.57195e-37, 2.37227e-12, 6.57195e-37, 6.57195e-37, 3.75177e-15, 6.03649e-14, 6.57195e-37, 1.93074e-10, 6.57195e-37, 6.57195e-37, 6.57195e-37
0.414522, 0, 3.19381e-10, 5.17658e-36, 1.41421, -3.19381e-10, 0, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 5.17658e-36, 3.87808e-12, 5.17658e-36, 5.17658e-36, 6.51074e-15, 1.03456e-13, 5.17658e-36, 3.15392e-10, 5.17658e-36, 5.17658e-36, 5.17658e-36
0.422177, 0, 5.16814e-10, 3.76641e-35, 1.41421, -5.16814e-10, 0, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 3.76641e-35, 6.28115e-12, 3.76641e-35, 3.76641e-35, 1.12677e-14, 1.76564e-13, 3.76641e-35, 5.10345e-10, 3.76641e-35, 3.76641e-35, 3.76641e-35
0.429832, 0, 8.28522e-10, 6.35483e-34, 1.41421, -8.28522e-10, 0, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 6.35483e-34, 1.00813e-11, 6.35483e-34, 6.35483e-34, 1.94916e-14, 3.00799e-13, 6.35483e-34, 8.1812e-10, 6.35483e-34, 6.35483e-34, 6.35483e-34
