   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_804.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00534117, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00252225, 0, 1.58519e-21, 0, 1.41421, -1.58519e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83062e-23, 0, 0, 0, 4.87579e-22, 0, 1.06931e-21, 0, 0
0.0103857, 0, 3.59721e-21, 0, 1.41421, -3.59721e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38422e-23, 0, 0, 0, 1.12164e-21, 0, 2.41173e-21, 0, 0
0.0182491, 0, 8.4759e-21, 0, 1.41421, -8.4759e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.491e-22, 0, 0, 0, 2.69434e-21, 0, 5.63246e-21, 0, 0
0.0261125, 0, 1.85802e-20, 0, 1.41421, -1.85802e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24969e-22, 0, 0, 0, 5.97906e-21, 0, 1.22761e-20, 0, 0
0.0339759, 0, 4.0208e-20, 0, 1.41421, -4.0208e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99218e-22, 0, 0, 0, 1.30948e-20, 0, 2.6414e-20, 0, 0
0.0418393, 0, 8.59428e-20, 0, 1.41421, -8.59428e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.486e-21, 0, 0, 0, 2.83212e-20, 0, 5.61356e-20, 0, 0
0.0497028, 0, 1.8153e-19, 0, 1.41421, -1.8153e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1207e-21, 0, 0, 0, 6.052e-20, 0, 1.17889e-19, 0, 0
0.0575662, 0, 3.79066e-19, 0, 1.41421, -3.79066e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47882e-21, 0, 0, 0, 1.2784e-19, 0, 2.44747e-19, 0, 0
0.0654296, 0, 7.82843e-19, 0, 1.41421, -7.82843e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33016e-20, 0, 0, 0, 2.67054e-19, 0, 5.02488e-19, 0, 0
0.073293, 0, 1.59949e-18, 0, 1.41421, -1.59949e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70162e-20, 0, 0, 0, 5.51903e-19, 0, 1.02057e-18, 0, 0
